system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,gp,50,100,0.97,0.2364095228414016,0.2208049161943738,0.98,0.14070529413628968,0.2021054651374284,0.16852788942255076,0.99,0.1,0.03971536694219935,0.06577231142629604,1.0,0.0
2dof,gp,100,100,0.9,0.4709471379787339,0.30120410438546413,0.91,0.28762349126466136,0.3757956277991458,0.23079511540456674,0.98,0.1407052941362897,0.043107837790530255,0.06013718696053001,1.0,0.0
2dof,gp,150,100,0.93,0.49185356295853894,0.2542236965264186,0.96,0.19694638556693236,0.42544920689426424,0.24548217449277018,0.97,0.17144660799776532,0.02912043750469839,0.02598397325949254,1.0,0.0
2dof,gp,200,100,0.85,0.553050219395525,0.3257639557217987,0.89,0.31446603773522014,0.4810836111934945,0.27743621063298346,0.94,0.23868325657594203,0.027209209305782408,0.022760158774909216,1.0,0.0
2dof,gp,250,100,0.86,0.5502586467457347,0.3186413728347432,0.89,0.3144660377352202,0.44342200922096564,0.26407557362693895,0.97,0.17144660799776526,0.026380878592786105,0.03141571293125029,1.0,0.0
2dof,gp,300,100,0.84,0.5304367590444037,0.29804956281481837,0.94,0.23868325657594203,0.5554359755205018,0.318496231020987,0.89,0.3144660377352201,0.023968065049036986,0.02086182456697067,1.0,0.0
2dof,gp,350,100,0.78,0.5918239774061878,0.3190597252811852,0.87,0.3379976689896312,0.6000106176036339,0.27759244798723703,0.87,0.3379976689896311,0.025052681388249537,0.023567048588009235,1.0,0.0
2dof,gp,400,100,0.86,0.5394457910848987,0.29805436289934506,0.93,0.2564323999762428,0.5968433112770458,0.2567110051297296,0.92,0.2726599243442907,0.03421882920364263,0.03372875494443879,1.0,0.0
2dof,gp,450,100,0.75,0.5756426553298177,0.33574566799515343,0.92,0.27265992434429076,0.7150211473469793,0.27626108356254236,0.82,0.3861229196653691,0.03883771912530209,0.0471103061140971,1.0,0.0
2dof,gp,500,100,0.62,0.6911988255841196,0.42937328943518677,0.77,0.42295258468165076,0.7844757183516267,0.3248732969600897,0.76,0.42923469599092784,0.046893025808294866,0.054635584146977764,1.0,0.0
