system,policy,length,n_samples,all3_win_rate,ratio_nmse_q_mean,ratio_nmse_q_std,imp_nmse_q_mean,imp_nmse_q_std,ratio_nmse_p_mean,ratio_nmse_p_std,imp_nmse_p_mean,imp_nmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,gp,50,100,0.96,0.11167379124355968,0.3441353180491351,0.98,0.14070529413628968,0.08175967875491942,0.23082503321820186,0.98,0.14070529413628968,0.03971536694219935,0.06577231142629604,1.0,0.0
2dof,gp,100,100,0.9,0.3224432841447442,0.4724960000116019,0.91,0.28762349126466136,0.19892859245643377,0.2958751995601934,0.97,0.1714466079977653,0.043107837790530255,0.06013718696053001,1.0,0.0
2dof,gp,150,100,0.89,0.3321909148309614,0.36116859294862985,0.94,0.23868325657594205,0.2613144280040561,0.35424524187815826,0.95,0.21904291355759034,0.02912043750469839,0.02598397325949254,1.0,0.0
2dof,gp,200,100,0.82,0.45175298856696045,0.618297682679714,0.88,0.32659863237109044,0.3465150264463071,0.44974607257482896,0.9,0.30151134457776363,0.027209209305782408,0.022760158774909216,1.0,0.0
2dof,gp,250,100,0.86,0.438292948623664,0.5581098054688199,0.89,0.3144660377352202,0.268453626660429,0.4316976185520739,0.97,0.17144660799776526,0.026380878592786105,0.03141571293125029,1.0,0.0
2dof,gp,300,100,0.78,0.41195103286568907,0.6262782337196701,0.91,0.2876234912646614,0.44627606502521794,0.5246842417570684,0.85,0.3588702812826367,0.023968065049036986,0.02086182456697067,1.0,0.0
2dof,gp,350,100,0.75,0.4726574371757837,0.5405452900069347,0.88,0.3265986323710904,0.47084908985025764,0.4291936445670761,0.82,0.38612291966536905,0.025052681388249537,0.023567048588009235,1.0,0.0
2dof,gp,400,100,0.83,0.41109039637382805,0.6389376067270551,0.92,0.2726599243442907,0.4436574274522244,0.3985509780007944,0.88,0.3265986323710903,0.03421882920364263,0.03372875494443879,1.0,0.0
2dof,gp,450,100,0.73,0.48298366504360685,0.694736630391282,0.89,0.3144660377352202,0.6074970314697657,0.46261487715113553,0.81,0.3942772444036626,0.03883771912530209,0.0471103061140971,1.0,0.0
2dof,gp,500,100,0.58,0.7319247415182915,1.012385582550982,0.77,0.4229525846816506,0.7693704278186365,0.6027608737615604,0.73,0.4461960433384737,0.046893025808294866,0.054635584146977764,1.0,0.0
2dof,gp,550,100,0.55,0.748363449478928,1.1553939533533768,0.81,0.3942772444036626,0.8780742834660566,0.6524974807387934,0.62,0.4878317312145634,0.046936338240222385,0.054117456568303746,1.0,0.0
2dof,gp,600,100,0.56,0.8441915170466455,1.335861572797626,0.77,0.42295258468165065,0.8977953648263773,0.7407373966121069,0.68,0.4688261722621507,0.04439575321543931,0.04453119528472871,1.0,0.0
2dof,gp,650,100,0.55,0.8961342908889034,1.9049711625000656,0.77,0.42295258468165065,0.9659379573335483,0.7323505327281385,0.64,0.4824181513244217,0.04899622324552493,0.04648267942872429,1.0,0.0
2dof,gp,700,100,0.51,0.775598877094722,1.1908605028081956,0.78,0.4163331998932264,0.9618758112592657,0.685124191276426,0.61,0.4902071300001974,0.06186803412117392,0.03501899692521027,1.0,0.0
2dof,gp,750,100,0.49,0.911204263609564,1.7737232356599297,0.78,0.4163331998932265,0.8908937480140209,0.6153943963459498,0.62,0.4878317312145633,0.09566007947755112,0.060582685076416815,1.0,0.0
2dof,gp,800,100,0.59,0.8677110338463393,1.3378694775756592,0.81,0.39427724440366246,0.908942211140083,0.6293900512549586,0.65,0.4793724854411023,0.1096883284490249,0.0730301311791031,1.0,0.0
2dof,gp,850,100,0.58,0.7041085312372601,0.8232610394308982,0.76,0.4292346959909279,0.8994171506704451,0.6559468395586665,0.7,0.46056618647183817,0.1139906748705397,0.08567525570530761,1.0,0.0
2dof,gp,900,100,0.51,0.9874148723599508,1.5082017852570415,0.7,0.46056618647183817,0.8801275880871379,0.4668209801968436,0.65,0.47937248544110217,0.13182068062988073,0.08906268206112432,1.0,0.0
2dof,gp,950,100,0.45,1.0673059502946227,1.178224630444105,0.64,0.4824181513244217,0.8953361403969101,0.4606896542204933,0.64,0.48241815132442184,0.18256857585307185,0.10918990045869335,1.0,0.0
2dof,gp,1000,100,0.52,0.8578835305471394,1.0495069994637183,0.73,0.4461960433384738,0.8397473428073476,0.41563386128601576,0.65,0.4793724854411023,0.18399590006873226,0.08982700055282462,1.0,0.0
2dof,sinusoidal,50,100,0.97,0.17276873592700384,0.6619089128858165,0.98,0.14070529413628968,0.09769451328462328,0.23934126852010393,0.99,0.1,0.03788003460290399,0.05913549038200425,1.0,0.0
2dof,sinusoidal,100,100,0.87,0.281157440708379,0.34563552024850147,0.92,0.2726599243442907,0.20818574177213542,0.3122735616401211,0.94,0.23868325657594205,0.036436388825619864,0.04256478264609781,1.0,0.0
2dof,sinusoidal,150,100,0.86,0.39682144282898535,0.4672578798020302,0.91,0.28762349126466136,0.2819794086862386,0.31337298864613783,0.94,0.23868325657594208,0.030057824808115856,0.03293828993054119,1.0,0.0
2dof,sinusoidal,200,100,0.84,0.4356359547938511,0.5735589447450858,0.91,0.28762349126466136,0.36266327031975293,0.4165917787616274,0.91,0.28762349126466136,0.026938292806599554,0.026133647838555516,1.0,0.0
