combo,system,policy,length,num_samples,seed,ung_nmse_q_mean,ung_nmse_q_std,ung_nmse_q_p25,ung_nmse_q_median,ung_nmse_q_p75,ung_nmse_q_p99,gui_nmse_q_mean,gui_nmse_q_std,gui_nmse_q_p25,gui_nmse_q_median,gui_nmse_q_p75,gui_nmse_q_p99,d_nmse_q_mean,d_nmse_q_std,d_nmse_q_p25,d_nmse_q_median,d_nmse_q_p75,d_nmse_q_p99,ung_nmse_p_mean,ung_nmse_p_std,ung_nmse_p_p25,ung_nmse_p_median,ung_nmse_p_p75,ung_nmse_p_p99,gui_nmse_p_mean,gui_nmse_p_std,gui_nmse_p_p25,gui_nmse_p_median,gui_nmse_p_p75,gui_nmse_p_p99,d_nmse_p_mean,d_nmse_p_std,d_nmse_p_p25,d_nmse_p_median,d_nmse_p_p75,d_nmse_p_p99,ung_hamres_mean,ung_hamres_std,ung_hamres_p25,ung_hamres_median,ung_hamres_p75,ung_hamres_p99,gui_hamres_mean,gui_hamres_std,gui_hamres_p25,gui_hamres_median,gui_hamres_p75,gui_hamres_p99,d_hamres_mean,d_hamres_std,d_hamres_p25,d_hamres_median,d_hamres_p75,d_hamres_p99,all3_win_count,win_nmse_q_count,win_nmse_p_count,win_hamres_count
2dof_sinusoidal_L50_N100_seed10,2dof,sinusoidal,50,100,10,45.961566095710815,334.4744754692532,0.15088344305602938,0.4390602898577639,1.4020470530583096,555.3912362074174,0.9750463344484019,4.946589766702299,0.005525339760042606,0.01345871256475091,0.05186736320707051,28.37540315701563,-44.986519761262414,331.6034006296066,-1.3440740944112965,-0.3992663450673859,-0.14883528496121295,0.012305769227347474,10197.182811823715,57991.969430387195,17.59879041944613,89.09586370898583,355.1360322332537,232046.67463368725,68.8240516428907,257.2786485856462,0.6751583878800054,2.243457974147184,11.837883556703012,1429.0350086496696,-10128.358760180823,57831.48130391706,-347.39016476898405,-87.55699019241568,-15.509176164293393,-0.14002736521490483,7.102093793153763,5.411763482995132,2.114250421524048,5.9680495262146,11.075101613998413,21.550917491912852,0.13214728772640227,0.12928981269884907,0.05072775483131409,0.0852404236793518,0.16696809232234955,0.5204712617397317,-6.969946505427361,5.372809702271174,-11.015661865472794,-5.782440602779388,-2.020002394914627,-0.4239502948522567,97,98,99,100
2dof_sinusoidal_L100_N100_seed10,2dof,sinusoidal,100,100,10,0.44380851159305384,2.5228752469379327,0.015710786776854654,0.037677668260283084,0.09718881105826863,3.174358204657737,0.0507038927397474,0.20067653305177607,0.0027816204954453846,0.007250598771898334,0.014194759673617482,0.9972079743560746,-0.39310461885330655,2.4133470335855582,-0.08294521597319171,-0.026578909198626578,-0.012023968209511468,0.005347198814187589,304.2051985782922,1510.4540602122077,1.083277672649599,3.9235982991014184,15.329824712234036,9514.352752200046,15.991455077923687,74.95849322950394,0.11234310044934814,0.2864605433598575,1.6626033604773665,499.6751366216838,-288.2137435003686,1452.359078089718,-11.98951658658103,-2.7207179676050526,-0.7269667606923921,0.9578512701657537,1.7960218358039857,1.6858177746675285,0.5863287895917892,1.2744296789169312,2.577897846698761,7.228399829864514,0.045107113122940065,0.06464690056698638,0.014319553971290588,0.02565377950668335,0.05314628779888153,0.1935692304372807,-1.7509147226810455,1.649256284800523,-2.521382987499237,-1.2603553533554077,-0.5516745299100876,-0.2184064155817031,87,92,94,100
2dof_sinusoidal_L150_N100_seed10,2dof,sinusoidal,150,100,10,0.8500045065858456,5.049412250059354,0.005143388126021182,0.014613408770182234,0.05424425839896495,35.286589029910324,0.13870476020154066,0.8613507503922189,0.0014751313477251212,0.003372650976752858,0.010004666419393099,4.719146245382777,-0.7112997463843052,4.219602989838925,-0.03403234629901717,-0.00841508525763093,-0.0023407006395014664,0.03043860230005455,112.51948159049407,788.262337232182,0.5060922936350282,1.8617992824209662,6.515445949743717,2285.3096232566836,3.5001327847190855,19.359032641530657,0.11148149205268044,0.22196818644011576,0.8175933179321287,30.118237312828356,-109.01934880577497,769.8504902923266,-4.9435428439815645,-1.5277950271176124,-0.25647338236457434,0.5224063063576918,2.093811948299408,1.8853972713531373,0.6482596546411514,1.5209466218948364,3.111643135547638,9.204335546493539,0.042062143683433535,0.04537834120612699,0.012843057513237,0.02979254722595215,0.05140791833400726,0.19698773682117518,-2.0517498046159743,1.86036851042358,-3.0620786249637604,-1.4564655721187592,-0.6210882067680359,-0.20405078053474382,86,91,94,100
2dof_sinusoidal_L200_N100_seed10,2dof,sinusoidal,200,100,10,3.253864250732811,25.55697257407807,0.002845263383424103,0.008998403858204492,0.04388041587826859,48.24390320353567,0.31439148036148357,1.782217752113218,0.0007349038685996838,0.0016184433053158874,0.005845821326383325,6.510276683973063,-2.939472770371326,25.289876233234814,-0.02218904059643113,-0.005372292896732339,-0.001034055802447383,0.25582682061607787,167.81166602911614,1469.8922141900166,0.4249170757889691,1.062005952884396,7.7946388229637265,740.4072956400456,19.82801318810073,179.43550597038697,0.09901672530005928,0.27436504045547816,0.8647425768351076,62.497489020559094,-147.98365284101544,1290.643423558503,-7.124584945559587,-0.7212052241936965,-0.27164473748833157,0.20053038663045256,1.962534105181694,2.018649198636064,0.57225601375103,1.1815562844276428,2.877915918827057,9.003004598617556,0.03166093647480011,0.02855466229243294,0.014649942517280579,0.021431446075439453,0.03757067024707794,0.1469295507669449,-1.9308731687068938,2.0015056565082863,-2.8498400300741196,-1.1520087122917175,-0.563067153096199,-0.12916423320770262,84,91,91,100
2dof_sinusoidal_L250_N100_seed10,2dof,sinusoidal,250,100,10,0.29095017417616803,2.2299892126744503,0.0039814866298834226,0.012021547125681016,0.03524298660282191,3.7503740151157516,0.01894009754542294,0.05308086723954631,0.000911723470468097,0.002502285706394632,0.009781704883886274,0.2761777642088335,-0.27201007663074506,2.190011183071687,-0.018575670537568117,-0.006188975069212529,-0.0023367733695109608,0.024880191429827617,98.43119430136149,815.5972735714049,0.5223595920424832,1.3049178161828872,5.784607842334157,396.14040737357317,5.320293768679086,25.162486417560526,0.09394414370789603,0.2393629707463556,0.5787375949993152,104.4626960427657,-93.11090053268242,792.7801766073109,-4.705432075716541,-1.0335001418924874,-0.3086046846695729,-0.009381428000252628,2.599903964996338,2.097812744628822,1.0687090754508972,2.1982545852661133,3.4257498383522034,9.876542482376099,0.03416712105274201,0.029271695628407767,0.016822680830955505,0.02554464340209961,0.04100458323955536,0.13536045432090787,-2.5657368439435957,2.0784502825138547,-3.4077617824077606,-2.178295463323593,-1.0433917045593262,-0.17404143452644333,95,95,99,100
2dof_sinusoidal_L300_N100_seed10,2dof,sinusoidal,300,100,10,1.4840329656186995,10.92887131581921,0.0034017619627493517,0.00884334012799096,0.0318793013521141,26.346274537217496,0.24986005214747983,1.564514796066654,0.0008203703900527028,0.0029679684205927434,0.008094256817360165,8.548596361861186,-1.2341729134712198,9.593185707783475,-0.024000112754935254,-0.005484185445737989,-0.0018199105784582948,0.012227857582584708,40.097866502154325,324.968486532041,0.30491879863731924,1.0334031876509346,3.3410718979804335,194.93726319946148,19.20028080060503,170.61309342433253,0.07837839450740013,0.22576201574017485,0.8413989354115159,61.21684287403761,-20.89758570154931,154.9205109301688,-2.5713646428093644,-0.6643127690996504,-0.11648939851653492,0.9529039089424133,2.2762939274311065,2.016156488109203,0.6999128758907318,1.8375813961029053,3.1703301668167114,9.313231430053714,0.0251692533493042,0.01957963620877594,0.011465072631835938,0.021704375743865967,0.029345571994781494,0.09988690912723545,-2.2511246740818023,2.0023367167511577,-3.1407448798418045,-1.8283018469810486,-0.686061292886734,-0.16263147592544552,82,90,91,100
2dof_sinusoidal_L350_N100_seed10,2dof,sinusoidal,350,100,10,0.6094554995454492,3.5757876644317883,0.0029614410118635713,0.011888149991302555,0.04801837199510267,10.338400910927485,0.1277693629913004,0.5376937851188535,0.0008710350595982899,0.0036772023834778823,0.017814458552777128,2.0443038639548803,-0.4816861365541489,3.0795633912390565,-0.024708721713898082,-0.004797341488552039,-0.0014408813544673593,0.030832013018679705,80.12575519019947,737.1963778404884,0.3037297834973036,1.130621833501093,5.9149757827857625,193.41863763899684,7.642029985229844,59.73136969307385,0.08127611330770099,0.2951372704126402,1.431884861764397,28.852936606175383,-72.48372520496964,677.567635192974,-3.670715591672934,-0.6575273847791147,-0.11161870786407978,0.8677627245782941,2.6437998110055925,2.339977005885726,0.7712090611457825,1.715867817401886,3.6719329357147217,9.368849668502808,0.027854779958724974,0.02297851925259134,0.013757646083831787,0.021359115839004517,0.0313086211681366,0.13857562422752387,-2.6159450310468673,2.3268930560470897,-3.653432250022888,-1.6903493404388428,-0.764626145362854,-0.17590865731239316,78,85,89,100
2dof_sinusoidal_L400_N100_seed10,2dof,sinusoidal,400,100,10,0.06419085596347661,0.21565935835369385,0.002202740740046496,0.006926871492224412,0.02188309839851755,1.2659925229185274,0.02153442621018537,0.08527929383081614,0.0005845427807689349,0.002090339970514243,0.0082011239430567,0.2223428930193585,-0.04265642975329124,0.15518436098070928,-0.014973655975428365,-0.0027528943042416107,-0.0009266213506224505,0.01588782318427596,5.62775332329678,25.651425873525472,0.3808782869194576,1.158071847358603,2.7839597983294095,39.2917516756695,2.227158077769871,7.291362916024611,0.08766351169326514,0.24033598639691273,0.9421709612610802,40.5450472272113,-3.4005952455269086,24.158261446701857,-1.6821668484139445,-0.6798496499441784,-0.1045497802561199,11.198670656621603,2.790754880309105,2.45376163944277,0.5900405943393707,2.400720715522766,4.158182382583618,8.614822168350232,0.032001121044158934,0.03395840992517618,0.015172913670539856,0.024014770984649658,0.03750374913215637,0.13530004560947498,-2.758753759264946,2.432152141405863,-4.110908031463623,-2.3855063915252686,-0.5633736252784729,-0.14945457458496078,73,84,86,100
2dof_sinusoidal_L450_N100_seed10,2dof,sinusoidal,450,100,10,0.3284799640882711,1.503261048354699,0.00364850571975088,0.009261793234240312,0.06482083478272734,6.126383729984513,0.10201854587901726,0.39034756492157097,0.0009304269177403436,0.003757475257000556,0.021913237709754663,1.904729036403751,-0.22646141820925383,1.2233229275665731,-0.021971867693211904,-0.004535379305817592,-0.001024306690535964,0.04107805356706971,13.178923110743993,88.05190960041054,0.208117852728216,0.8787974104120817,3.4469219676492253,77.8279344446267,3.012357064291203,14.055186552921473,0.05968962594023365,0.21212079877483644,1.115796731773993,82.36154644003992,-10.166566046452786,76.42103004637545,-2.116812681820499,-0.4041308290263842,-0.0731469768134034,1.0458494905470792,3.4347024083137514,3.020060223454671,0.9286258369684219,2.544638514518738,4.663044571876526,11.163963346481326,0.041178445219993594,0.03409206622915461,0.01583532989025116,0.027951717376708984,0.05843260884284973,0.15597969472408302,-3.3935239630937577,2.9946898788248766,-4.622987315058708,-2.4954619705677032,-0.9007705599069595,-0.19062257945537564,75,85,88,100
2dof_sinusoidal_L500_N100_seed10,2dof,sinusoidal,500,100,10,1.7036281180527666,12.290478288357855,0.002645189868750984,0.009352953617687664,0.0311896150522753,27.86106616819651,0.6026300380435089,3.7140962343938364,0.0010249049593073535,0.003285433424077601,0.010752543570375623,11.288429765655204,-1.100998080009258,8.680148028856337,-0.013494479767986057,-0.0038412084551055986,-0.0007665228562030952,0.7523343533833697,4.460621947191908,14.323183516507019,0.3719421837112453,1.0117518588947314,2.808604067207227,40.20273481762571,3.7686811667221773,22.24909544425727,0.07772183132583489,0.28990499498764366,0.9016437266585742,30.30610991623022,-0.6919407804697295,9.668663979204565,-1.7675644732544715,-0.42908900767693203,-0.10898252991504714,11.58470845217081,2.9896852642297747,2.7654429900753232,0.8402507156133652,2.185624599456787,4.639988899230957,10.778018207550062,0.033076159954071045,0.027502031973406862,0.015795007348060608,0.02387017011642456,0.04519599676132202,0.15061406672000888,-2.9566091042757034,2.745000222053866,-4.590807020664215,-2.163135200738907,-0.8186295926570892,-0.2619374233484267,75,84,86,100
