combo,system,policy,length,num_samples,seed,ung_nrmse_range_q_mean,ung_nrmse_range_q_std,ung_nrmse_range_q_p25,ung_nrmse_range_q_median,ung_nrmse_range_q_p75,ung_nrmse_range_q_p99,gui_nrmse_range_q_mean,gui_nrmse_range_q_std,gui_nrmse_range_q_p25,gui_nrmse_range_q_median,gui_nrmse_range_q_p75,gui_nrmse_range_q_p99,d_nrmse_range_q_mean,d_nrmse_range_q_std,d_nrmse_range_q_p25,d_nrmse_range_q_median,d_nrmse_range_q_p75,d_nrmse_range_q_p99,ung_nrmse_range_p_mean,ung_nrmse_range_p_std,ung_nrmse_range_p_p25,ung_nrmse_range_p_median,ung_nrmse_range_p_p75,ung_nrmse_range_p_p99,gui_nrmse_range_p_mean,gui_nrmse_range_p_std,gui_nrmse_range_p_p25,gui_nrmse_range_p_median,gui_nrmse_range_p_p75,gui_nrmse_range_p_p99,d_nrmse_range_p_mean,d_nrmse_range_p_std,d_nrmse_range_p_p25,d_nrmse_range_p_median,d_nrmse_range_p_p75,d_nrmse_range_p_p99
2dof_gp_L50_N100_seed10,2dof,gp,50,100,10,0.22832071077357163,0.15171557948062753,0.11452156258183538,0.19375573078975217,0.29809183914001547,0.6685642060263249,0.04737103707155648,0.0432621912589078,0.02071378275012694,0.03196642855977333,0.061455020547070145,0.21932664415792727,-0.1809496737020152,0.1259850284190294,-0.2376478085688268,-0.1579251571523861,-0.09733548712277261,0.02423298138429177,2.8328623870637824,2.837979963961647,0.9550002791973291,1.7188603702380592,4.19511139836737,10.56813143579825,0.3852545861873577,0.290026206944034,0.203590723366436,0.3132543266869391,0.525443225381884,1.6268577259173345,-2.447607800876425,2.656121763801785,-3.7782090537447983,-1.4348971667371346,-0.7159365301684574,-0.08538201142236342
2dof_gp_L100_N100_seed10,2dof,gp,100,100,10,0.07623940174210918,0.07670738616574069,0.034368760759409,0.04838865252706483,0.08214384565332114,0.40056177573071994,0.029570441934190228,0.03142836559584811,0.014307862703344665,0.021309067309452884,0.03304648703019776,0.14526286664372448,-0.04666895980791894,0.05502829482280514,-0.05736688480513363,-0.03242217466095762,-0.01788654887760413,0.008303379746414817,0.7187405331253881,0.937737280248855,0.28508199964741027,0.4669009359671057,0.7899700361914317,4.083431836591355,0.21679859101076296,0.24272193293954086,0.09284995789585518,0.1451871234320783,0.23847725846086912,0.8352473395964661,-0.5019419421146251,0.7373436443032364,-0.5589379600398793,-0.3043629714250244,-0.14879783526468934,0.06975559577259927
2dof_gp_L150_N100_seed10,2dof,gp,150,100,10,0.05656606089992272,0.062417423049646044,0.022004797987152852,0.03436261115777796,0.060629835916469005,0.297060213216636,0.0231142641385526,0.024882254040550385,0.009561963050398161,0.015722505633053933,0.02308994784466901,0.12418804170515135,-0.03345179676137013,0.04843831537493357,-0.03421956716672425,-0.018043591421543385,-0.009705002561142595,0.005967997078459004,0.5419890764996785,0.542268093174155,0.23868842333572451,0.3632902426117263,0.5878475635245265,2.019923135764721,0.18576240614759393,0.15123491592745078,0.0836210425406026,0.1369947501951131,0.22027589514231322,0.7302719662728419,-0.3562266703520846,0.4551852008064627,-0.40590613494349215,-0.20722036539935146,-0.1197355787834856,0.024762683340185554
2dof_gp_L200_N100_seed10,2dof,gp,200,100,10,0.0480763336854822,0.06602820607531805,0.01578284323392738,0.026633780716443678,0.05171403370612397,0.3771417357546069,0.02356548852078593,0.034563769635034304,0.007432839997284675,0.012176231457154126,0.018193347409887213,0.164161973374231,-0.02451084516469626,0.05094390145307178,-0.02778898969407563,-0.013225724763841144,-0.004952487001252148,0.023061467574778477,0.4820700170818028,0.49077966457246935,0.1985040929049322,0.32741902998851247,0.5600643149559335,2.1720137616272566,0.20171591069700434,0.20881589165563577,0.07405476861522885,0.15313786510798616,0.2387779379401811,1.1275208914871098,-0.2803541063847984,0.3671407270824448,-0.3664057536498441,-0.16844582903081118,-0.07123440902017852,0.054301783989898114
2dof_gp_L250_N100_seed10,2dof,gp,250,100,10,0.0428904237348736,0.04608431779626366,0.01935380911276731,0.02724120251928665,0.04898359950100842,0.2224627892055905,0.02151000538178819,0.02534102014735192,0.008496866948491253,0.013000664210556614,0.024354226179942942,0.11782057028482294,-0.021380418353085413,0.03028831058745912,-0.023816536745544594,-0.013719600728641042,-0.007964614383207641,0.007610669741055108,0.4531472843936711,0.34420097161851937,0.19996320750256935,0.36539674344451684,0.5543444796992577,1.808884910463075,0.18073336183996996,0.18609292025029223,0.08002425446147043,0.14083316249222938,0.2063261886211845,0.741545497576047,-0.27241392255370117,0.29726275365693705,-0.3788104794095968,-0.2017530010910576,-0.092550226416346,0.3240181327164171
2dof_gp_L300_N100_seed10,2dof,gp,300,100,10,0.049691048086688526,0.0616073765701933,0.01763008412388706,0.030082861669777607,0.052166062736766286,0.2981433464460684,0.02432737703364336,0.03596511017141761,0.007959735698629213,0.01338346570005752,0.02200369700962858,0.1982512661400579,-0.025363671053045156,0.03734706367042871,-0.029388152156400598,-0.013415634352476804,-0.007343247964275043,0.012470377698818818,0.4594742235231935,0.5080860583273115,0.23221395307660497,0.3241986999754952,0.5292849769130311,1.5503473408553619,0.21306801767672634,0.18940766424001687,0.09776113047586045,0.15506644758167148,0.2547107791234705,1.0719733285430995,-0.24640620584646716,0.47171883912593116,-0.28701493796603617,-0.1510232259434861,-0.06588164221768916,0.11183017922839687
2dof_gp_L350_N100_seed10,2dof,gp,350,100,10,0.05145782775071269,0.059275595630135375,0.016010081137091264,0.027719463156377397,0.061273450827200794,0.243865011469775,0.02743029385025188,0.034925779760778916,0.008744874057106089,0.014129626884085932,0.029482526231274273,0.12053158325089178,-0.024027533900460817,0.03278081036925939,-0.028486366709017392,-0.013830695019148617,-0.005246962333396492,0.008774210027557062,0.381104096279313,0.25980282411958694,0.21120552409420523,0.3065243922758579,0.47956260438371884,1.5034035861168247,0.21365033390455435,0.1650127129844757,0.09556055638500997,0.16850876922695796,0.25426922512314487,0.6864923538343277,-0.16745376237475856,0.17245790405401648,-0.20658250775416548,-0.12716872527051504,-0.04964344892335611,0.03826360559437726
2dof_gp_L400_N100_seed10,2dof,gp,400,100,10,0.06388984962765075,0.10860508186917808,0.015573749298905941,0.028328922349864557,0.05810179184008586,0.525041276484092,0.03642722597003512,0.07687645841672314,0.006827272364490161,0.012945998496062157,0.02933508374280179,0.4221566538849809,-0.027462623657615606,0.040941098823702,-0.030907021577485923,-0.01170609051026891,-0.007353799129288976,0.00939693182215112,0.4381754465257754,0.517457676344003,0.24075169670137261,0.31230721357265445,0.535150878957645,1.1533484021113607,0.2586536538813931,0.32658865701936146,0.10766839339811646,0.17637754969275699,0.29418864608306117,0.784528421254175,-0.17952179264438226,0.23535595794586628,-0.22994563853907596,-0.13888945073011472,-0.0637568991290644,0.11146043639534159
2dof_gp_L450_N100_seed10,2dof,gp,450,100,10,0.06136685698373329,0.07248339771440851,0.016876303968320627,0.03255725338563689,0.07238350642418206,0.33906355174785363,0.03335404819375902,0.044417837258941134,0.009000622641489141,0.014983341024369632,0.03194258157104091,0.21084293814182523,-0.02801280878997427,0.03792768900615034,-0.03669923819730613,-0.014801566921812703,-0.00613874091745807,0.006682919958390968,0.38380743425848984,0.24338460718785065,0.20385241614575184,0.305513522955831,0.5192670198087287,1.3388126792931534,0.2705617408752465,0.21034673497812337,0.1305873300592736,0.2024480066015651,0.3217990199909171,1.1075811723455824,-0.11324569338324336,0.1334562704569998,-0.1717062350203327,-0.09308480290730767,-0.02162818843596409,0.11381026896442674
2dof_gp_L500_N100_seed10,2dof,gp,500,100,10,0.0410088883530506,0.04106399230060113,0.015005318476665823,0.023440881901580862,0.05025244224391127,0.1805891949964876,0.024932483005920755,0.030651091301394522,0.008033468055761385,0.014105491617287193,0.028153037308274245,0.17808101924398692,-0.016076405347129837,0.02953135347279736,-0.02452076640536832,-0.009347844539044838,-0.0003679289610010667,0.015374406227557116,0.34488023653410343,0.21150307864045342,0.20379986085084528,0.3174061251962764,0.4225056527820903,0.9827921115004457,0.25768715513166807,0.17846579543307925,0.11818982310965742,0.21517675507097095,0.35941377056428814,0.9498519495945229,-0.0871930814024353,0.1666340621114174,-0.14209727516207998,-0.055159170835130056,-0.0006478424170683582,0.18249643962643708
