combo,system,policy,length,num_samples,seed,gui_nmse_q_mean_old,gui_nmse_p_mean_old,gui_hamres_mean_old,all3_win_count_old,win_nmse_q_count_old,win_nmse_p_count_old,win_hamres_count_old,gui_nmse_q_mean_new,gui_nmse_p_mean_new,gui_hamres_mean_new,all3_win_count_new,win_nmse_q_count_new,win_nmse_p_count_new,win_hamres_count_new,d_gui_nmse_q_mean,d_gui_nmse_p_mean,d_gui_hamres_mean,all3_win_rate_old,all3_win_rate_new,d_all3_win_rate,better_q,better_p,better_h,better_all3
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,96.20897076190948,2.9064385024688635,0.1264421015442349,80,81,99,100,96.34649345821984,2.9175684151477146,0.1264313874882646,80,81,99,100,0.13752269631035574,0.011129912678851106,-1.0714055970306724e-05,0.8,0.8,0.0,False,False,True,False
3dof_sinusoidal_L100_N100_seed10,3dof,sinusoidal,100,100,10,16.67544874489167,0.1142495230179776,0.0064056357723893,70,73,97,100,16.667237427307096,0.1143236647231164,0.0063978654086531,70,73,97,100,-0.008211317584574829,7.414170513880824e-05,-7.77036373619984e-06,0.7,0.7,0.0,True,False,True,False
3dof_sinusoidal_L150_N100_seed10,3dof,sinusoidal,150,100,10,4.801867456004304,0.0519329368429218,0.0069658385527145,69,72,96,100,4.800392576995219,0.0519042915418753,0.0070180045881716,69,72,96,100,-0.0014748790090850505,-2.864530104650098e-05,5.216603545710012e-05,0.69,0.69,0.0,True,True,False,False
3dof_sinusoidal_L200_N100_seed10,3dof,sinusoidal,200,100,10,6.223156250991183,0.1253928482780014,0.0090830993046984,72,77,94,100,6.217032228453953,0.1254744846675715,0.0090345918334787,72,77,94,100,-0.006124022537229656,8.163638957009445e-05,-4.8507471219698395e-05,0.72,0.72,0.0,True,False,True,False
3dof_sinusoidal_L250_N100_seed10,3dof,sinusoidal,250,100,10,6.3708678862844375,0.1364842704710512,0.0169543733003956,61,64,93,100,6.36819489229751,0.1363193436886408,0.0168699500377988,61,64,93,100,-0.002672993986927885,-0.00016492678241039616,-8.442326259679861e-05,0.61,0.61,0.0,True,True,True,False
3dof_sinusoidal_L300_N100_seed10,3dof,sinusoidal,300,100,10,3.161738574103075,0.4147641608868684,0.0067398696599411,73,77,92,100,3.1640090504432004,0.4144790139031605,0.0067031616311578,73,77,92,100,0.002270476340125338,-0.0002851469837079068,-3.6708028783300276e-05,0.73,0.73,0.0,False,True,True,False
3dof_sinusoidal_L350_N100_seed10,3dof,sinusoidal,350,100,10,4.801202466594864,0.0991606004634682,0.0116299270470335,52,59,82,98,4.786342438297383,0.0992391549194035,0.0116364537949266,52,59,82,98,-0.014860028297481342,7.855445593529797e-05,6.526747893099635e-06,0.52,0.52,0.0,True,False,False,False
3dof_sinusoidal_L400_N100_seed10,3dof,sinusoidal,400,100,10,3.1041462781124194,0.2257248075452258,0.0073352176485059,75,82,85,100,3.104404264877856,0.2258597871715441,0.0073401640974043,75,82,85,100,0.0002579867654364243,0.0001349796263182823,4.946448898399819e-06,0.75,0.75,0.0,False,False,False,False
3dof_sinusoidal_L450_N100_seed10,3dof,sinusoidal,450,100,10,10.28979424879422,0.0651936744448703,0.0065560859473771,68,72,80,100,10.343773621993972,0.0652023040009714,0.0065778460347792,68,72,80,100,0.05397937319975199,8.629556101105718e-06,2.1760087402100323e-05,0.68,0.68,0.0,False,False,False,False
3dof_sinusoidal_L500_N100_seed10,3dof,sinusoidal,500,100,10,4.3479243442681,0.3399926183379331,0.0091186332349025,72,76,88,99,4.354279723515002,0.3398049677614079,0.0090796249023696,72,76,88,100,0.006355379246901549,-0.00018765057652520012,-3.9008332532898884e-05,0.72,0.72,0.0,False,True,True,False
