system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ung_nrmse_q_mean,ung_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ung_nrmse_p_mean,ung_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std,ung_hamres_mean,ung_hamres_std
2dof,gp,50,100,0.97,0.23640952284140135,0.22080491619437387,0.98,0.14070529413628968,0.2283207107735716,0.1524798945419953,0.20210546513742833,0.16852788942255076,0.99,0.1,2.8328623870637824,2.8522771827294315,0.03971536694219935,0.06577231142629604,1.0,0.0,7.093134554624558,5.439336591577447
2dof,gp,100,100,0.9,0.4709471379787334,0.30120410438546463,0.91,0.28762349126466136,0.07623940174210914,0.07709382380626076,0.37579562779914577,0.2307951154045667,0.98,0.1407052941362897,0.7187405331253881,0.9424614274284248,0.043107837790530255,0.06013718696053001,1.0,0.0,1.878793515563011,1.8920702312128863
2dof,gp,150,100,0.93,0.4918535629585382,0.2542236965264187,0.96,0.19694638556693236,0.05656606089992268,0.06273187049592624,0.4254492068942642,0.24548217449277016,0.97,0.17144660799776532,0.5419890764996785,0.5449999396485318,0.02912043750469839,0.02598397325949254,1.0,0.0,2.085776655077934,1.8569707886007285
2dof,gp,200,100,0.85,0.553050219395524,0.3257639557217989,0.89,0.31446603773522014,0.04807633368548214,0.0663608439794227,0.4810836111934944,0.27743621063298346,0.94,0.23868325657594203,0.4820700170818027,0.49325212185556366,0.027209209305782408,0.022760158774909216,1.0,0.0,2.0623173725605013,1.9719332455797076
2dof,gp,250,100,0.86,0.5502586467457339,0.3186413728347432,0.89,0.3144660377352202,0.04289042373487355,0.04631648207566806,0.4434220092209656,0.26407557362693895,0.97,0.17144660799776526,0.45314728439367113,0.34593499252557486,0.026380878592786105,0.03141571293125029,1.0,0.0,2.6624975210428237,2.2225515484305953
2dof,gp,300,100,0.84,0.5304367590444027,0.2980495628148198,0.94,0.23868325657594203,0.04969104808668847,0.061917743151958665,0.5554359755205017,0.3184962310209872,0.89,0.3144660377352201,0.45947422352319345,0.5106457020249456,0.023968065049036986,0.02086182456697067,1.0,0.0,2.3409214544296266,2.012479386959664
2dof,gp,350,100,0.78,0.5918239774061872,0.31905972528118615,0.87,0.3379976689896312,0.051457827750712656,0.05957421513029976,0.6000106176036339,0.27759244798723703,0.87,0.3379976689896311,0.3811040962793129,0.261111662751323,0.025052681388249537,0.023567048588009235,1.0,0.0,2.7067301309108736,2.373256050991949
2dof,gp,400,100,0.86,0.5394457910848979,0.298054362899346,0.93,0.2564323999762428,0.0638898496276507,0.10915221420784663,0.5968433112770458,0.25671100512972966,0.92,0.2726599243442907,0.4381754465257754,0.5200645325218854,0.03421882920364263,0.03372875494443879,1.0,0.0,2.7964331090450285,2.3977849806484133
2dof,gp,450,100,0.75,0.575642655329817,0.3357456679951545,0.92,0.27265992434429076,0.061366856983733245,0.0728485556814537,0.7150211473469793,0.2762610835625424,0.82,0.3861229196653691,0.38380743425848984,0.24461073387579899,0.03883771912530209,0.0471103061140971,1.0,0.0,3.484367248415947,3.1614573294093833
2dof,gp,500,100,0.62,0.6911988255841188,0.4293732894351881,0.77,0.42295258468165076,0.04100888835305055,0.04127086510761727,0.7844757183516267,0.3248732969600898,0.76,0.42923469599092784,0.3448802365341034,0.21256859207739867,0.046893025808294866,0.054635584146977764,1.0,0.0,3.022701417207718,2.9149739981719605
2dof,gp,550,100,0.63,0.674062181361621,0.4712241495687032,0.82,0.38612291966536916,0.05622555141055398,0.08915076179853315,0.8323827521839486,0.3243994014963352,0.71,0.4560480215720686,0.32896096535293684,0.19675929441201132,0.046936338240222385,0.054117456568303746,1.0,0.0,3.3536458510160445,3.232404256492817
2dof,gp,600,100,0.57,0.7287776108217899,0.5005183232548309,0.78,0.41633319989322654,0.04628652179122463,0.04721677466079593,0.8580749732404495,0.3416580082607695,0.68,0.4688261722621507,0.29054234455164296,0.15637964079373534,0.04439575321543931,0.04453119528472871,1.0,0.0,3.8827668577432632,3.4421920272477236
2dof,gp,650,100,0.59,0.7197355398121681,0.5651340423012343,0.79,0.4093601807403323,0.046755195831109334,0.06626149744710916,0.8894155657591531,0.3236755856007408,0.66,0.47609522856952324,0.3158853008056165,0.1516193293353217,0.04899622324552493,0.04648267942872429,1.0,0.0,3.0184041905403136,2.7400509186208963
2dof,gp,700,100,0.56,0.7099985592299882,0.48150628162702347,0.78,0.4163331998932265,0.05240898607298151,0.09051130600741072,0.9014991483439502,0.31249039206114076,0.65,0.47937248544110217,0.31353215670096374,0.16263181940796842,0.06186803412117392,0.03501899692521027,1.0,0.0,4.5308204674720765,3.4260853522135837
2dof,gp,750,100,0.52,0.7319283829990353,0.5041413985434847,0.8,0.40201512610368484,0.06871836159740746,0.1263227051390457,0.8783260872170295,0.29062385393608425,0.64,0.48241815132442184,0.3231619498376553,0.18983501793611093,0.09566007947755112,0.060582685076416815,1.0,0.0,4.819269210696221,3.6070067862659894
2dof,gp,800,100,0.62,0.7657613487049345,0.45981829277549835,0.8,0.4020151261036848,0.04741976309766455,0.07734831036297375,0.8810845837395902,0.29655276548882625,0.69,0.4648231987117318,0.3260594872281917,0.17675802162960366,0.1096883284490249,0.0730301311791031,1.0,0.0,4.8453809201717375,3.807142188245901
2dof,gp,850,100,0.62,0.7287678745714535,0.3522173364086407,0.82,0.38612291966536905,0.06397270081961111,0.11880279895757842,0.8762703237850213,0.31045329208918715,0.73,0.4461960433384736,0.32693740421498757,0.16330797147790732,0.1139906748705397,0.08567525570530761,1.0,0.0,4.541063251495362,3.7404947229434145
2dof,gp,900,100,0.54,0.8084248605321275,0.5020133258575726,0.72,0.451260859854213,0.05009272363162614,0.09424009697426027,0.8928008905643019,0.24267764802846975,0.67,0.47258156262526074,0.340320285310011,0.1877871075102119,0.13182068062988073,0.08906268206112432,1.0,0.0,5.1542957675457,3.7840518405759505
2dof,gp,950,100,0.49,0.8743782966670345,0.4371227573495223,0.68,0.4688261722621506,0.0493584938977523,0.08911934096250052,0.9034582356593687,0.22429403551503121,0.69,0.4648231987117317,0.32441310389453093,0.1583404676712542,0.18256857585307185,0.10918990045869335,1.0,0.0,5.314091509580612,4.273672467676978
2dof,gp,1000,100,0.54,0.813655636640912,0.381427018410864,0.75,0.4351941398892447,0.04275499059649523,0.04379835199679358,0.8875908169610977,0.21383814863084047,0.66,0.4760952285695232,0.32659891049646006,0.17130153663513037,0.18399590006873226,0.08982700055282462,1.0,0.0,6.235249980688095,4.49359458321532
2dof,sinusoidal,50,100,0.97,0.2694040693816204,0.29598513865067194,0.98,0.14070529413628968,0.21453261863810397,0.1513411148785101,0.22351108494370733,0.18204566012703816,0.99,0.1,2.910477574202433,2.739925080819548,0.03788003460290399,0.05913549038200425,1.0,0.0,7.102093793153763,5.439026947649013
2dof,sinusoidal,100,100,0.89,0.452424032000555,0.25820196607218177,0.92,0.2726599243442907,0.07382613568064635,0.0761389113275886,0.3685991210441454,0.23826143996400168,0.96,0.19694638556693242,0.7782686418237198,0.9311879344565667,0.036436388825619864,0.04256478264609781,1.0,0.0,1.7960218358039857,1.6943106131769992
2dof,sinusoidal,150,100,0.88,0.5363751316208161,0.2847250535345334,0.91,0.28762349126466136,0.047841539851295786,0.0460705724482582,0.4599445142256794,0.25351652071078523,0.96,0.1969463855669324,0.6086734714954127,0.7770861055320648,0.030057824808115856,0.03293828993054119,1.0,0.0,2.093811948299408,1.8948955544964368
2dof,sinusoidal,200,100,0.85,0.54992468184324,0.3209460221928313,0.91,0.28762349126466136,0.052407531993705854,0.07002925245846468,0.5074362987134785,0.2739454929377731,0.93,0.2564323999762428,0.5369009013390681,0.7188532084734629,0.026938292806599554,0.026133647838555516,1.0,0.0,1.962534105181694,2.0288187803719486
2dof,sinusoidal,250,100,0.94,0.5390291380286997,0.2703422332135463,0.95,0.21904291355759034,0.03907132572825094,0.03560590811489359,0.4570117757416537,0.23569300912398528,0.98,0.1407052941362897,0.577520796081809,0.729255117511721,0.02155281321498868,0.02365287191996366,1.0,0.0,2.599903964996338,2.1083811376846824
2dof,sinusoidal,300,100,0.83,0.5568643462467143,0.28158038840407773,0.9,0.30151134457776363,0.048686567670874766,0.08076638513196208,0.5715839798381694,0.3103860477041957,0.92,0.27265992434429076,0.43886409732811127,0.5238093870781004,0.01819025443749142,0.016823395340365924,1.0,0.0,2.2762939274311065,2.0263135120299585
2dof,sinusoidal,350,100,0.77,0.6235784914165162,0.3756511824605388,0.86,0.348735088019777,0.054761112684734485,0.0930498696648272,0.6097518146364238,0.3805210184631262,0.88,0.3265986323710905,0.4573999256058876,0.5426335282459426,0.020285241815587864,0.0227116273495503,1.0,0.0,2.6437998110055925,2.351765377752183
2dof,sinusoidal,400,100,0.77,0.6179184833792306,0.3514926906518229,0.87,0.3379976689896311,0.03670846016870585,0.044973771374396766,0.6101856055930572,0.3160614912720453,0.87,0.3379976689896311,0.3561582546452084,0.2833483980207726,0.024064043188020853,0.028684731643398242,1.0,0.0,2.790754880309105,2.4661232372724244
2dof,sinusoidal,450,100,0.79,0.6184100440921577,0.3062608703250645,0.9,0.30151134457776363,0.058418780434360974,0.08271744198797638,0.5830365706789025,0.29021989867112885,0.88,0.3265986323710904,0.3998441193363439,0.4836438939033746,0.02081407383433515,0.019619755532625485,1.0,0.0,3.4347024083137514,3.035274728932131
2dof,sinusoidal,500,100,0.75,0.6634889637096569,0.3262583420965506,0.84,0.36845294917747057,0.055170382519688005,0.08425231115721148,0.6015068907783369,0.33616487311029536,0.87,0.33799766898963113,0.36385073257171463,0.32315314763704267,0.018840696847929845,0.01762217289031323,1.0,0.0,2.9896852642297747,2.7793747809692055
2dof,sinusoidal,550,100,0.74,0.6700457913075468,0.37661557871621015,0.86,0.34873508801977704,0.04972481755393691,0.1008295690157196,0.6609304097702488,0.3394952577808198,0.85,0.3588702812826367,0.3631618781788077,0.6056161292215639,0.02288056417635499,0.025302047914177134,1.0,0.0,3.555083375573158,3.2635395428354768
2dof,sinusoidal,600,100,0.72,0.712638697044878,0.45080821693890033,0.81,0.3942772444036626,0.04296790349532321,0.06470994622644606,0.6861607172983142,0.3270096307903724,0.85,0.3588702812826367,0.343858142271104,0.35242116581236105,0.024153308277684117,0.020663199502532262,1.0,0.0,3.7871040964126585,3.594546113992286
2dof,sinusoidal,650,100,0.76,0.6372974043001223,0.34804545868213366,0.89,0.31446603773522014,0.044610781506522285,0.06382177560322234,0.6703616983740696,0.3083925765161517,0.86,0.3487350880197771,0.3492857154553696,0.3218798869389812,0.0242039370933082,0.024002551247551945,1.0,0.0,2.9825030261278154,2.7944576093323543
2dof,sinusoidal,700,100,0.77,0.6588248270397498,0.35217196449773575,0.89,0.3144660377352201,0.053492814702910785,0.09473151616917816,0.7508333858936482,0.30662046676810034,0.84,0.36845294917747057,0.352600661214969,0.26905042454082956,0.0395088128070374,0.023960160272765065,1.0,0.0,4.337520374059677,3.418551286135914
2dof,sinusoidal,750,100,0.75,0.7158956084502861,0.4635826192969187,0.88,0.32659863237109044,0.055824164652479996,0.11244937356007204,0.7090761734071235,0.26493778903496196,0.87,0.33799766898963113,0.33242989770525916,0.2839469767352021,0.0642592879845353,0.03347908361207825,1.0,0.0,4.751507592201233,3.6441356816737493
