combo,system,policy,length,num_samples,seed,ung_nmse_q_mean,ung_nmse_q_std,ung_nmse_q_p25,ung_nmse_q_median,ung_nmse_q_p75,ung_nmse_q_p99,gui_nmse_q_mean,gui_nmse_q_std,gui_nmse_q_p25,gui_nmse_q_median,gui_nmse_q_p75,gui_nmse_q_p99,d_nmse_q_mean,d_nmse_q_std,d_nmse_q_p25,d_nmse_q_median,d_nmse_q_p75,d_nmse_q_p99,ung_nmse_p_mean,ung_nmse_p_std,ung_nmse_p_p25,ung_nmse_p_median,ung_nmse_p_p75,ung_nmse_p_p99,gui_nmse_p_mean,gui_nmse_p_std,gui_nmse_p_p25,gui_nmse_p_median,gui_nmse_p_p75,gui_nmse_p_p99,d_nmse_p_mean,d_nmse_p_std,d_nmse_p_p25,d_nmse_p_median,d_nmse_p_p75,d_nmse_p_p99,ung_hamres_mean,ung_hamres_std,ung_hamres_p25,ung_hamres_median,ung_hamres_p75,ung_hamres_p99,gui_hamres_mean,gui_hamres_std,gui_hamres_p25,gui_hamres_median,gui_hamres_p75,gui_hamres_p99,d_hamres_mean,d_hamres_std,d_hamres_p25,d_hamres_median,d_hamres_p75,d_hamres_p99,all3_win_count,win_nmse_q_count,win_nmse_p_count,win_hamres_count
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,174.9269311384097,859.9221577428594,4.303595958072751,8.129798101174767,22.38802795981624,2512.236106816451,96.34649345821983,461.9467533481217,1.5804765550326518,2.978368570934886,8.98060211184145,2812.069043712935,-78.5804376801898,900.078212204747,-14.036288168777892,-2.7806353803914106,-0.8871994327951789,2788.810043312431,45.71486146138181,306.35724020155453,0.3511197189184536,0.7326512501194502,2.2259957243396684,770.3843310172468,2.9175684151477146,15.526244275766878,0.0438022677494852,0.13871403513572278,0.49370931779157123,23.21637327569267,-42.79729304623411,302.6956259846656,-1.643606667605531,-0.5663728368797513,-0.26765750345635814,-0.00017759285795586858,0.41914478106424213,0.5197600765613334,0.19736500084400177,0.33268097043037415,0.46479903906583786,3.685803484916687,0.1264313874882646,0.43497090202064775,0.014407794224098325,0.024236581288278103,0.06512542814016342,2.7786868834495566,-0.29271339357597753,0.18166546632762923,-0.3829012606292963,-0.2852223701775074,-0.15636027976870537,-0.01861482938751576,80,81,99,100
3dof_sinusoidal_L100_N100_seed10,3dof,sinusoidal,100,100,10,22.77766302765814,76.97011852036442,1.6680883876471013,4.319324030242976,13.357754419597072,219.27572441398473,16.667237427307096,68.98843681190283,0.3203431559036588,1.817282397435626,7.815330008599845,176.49146669548878,-6.110425600351049,100.54374429868112,-5.828927148854911,-1.5560365425779459,0.4844727350571701,166.09507570603276,1.5409771148044078,5.216751151253814,0.02748326340375312,0.05960085998532823,0.5090715928537153,22.381515304671765,0.11432366472311649,0.4230653052643699,0.002280190745406711,0.00598812486971014,0.02431267314887889,2.2833015923957456,-1.4266534500812915,4.909222117136769,-0.49691025103145087,-0.05642986691102051,-0.02339487141861872,0.00165892702039853,0.04683368740137667,0.05664993278016619,0.010537744266912341,0.033991239964962006,0.0572245828807354,0.2886563137173658,0.006397865408653161,0.018227384849819103,0.0009197493636747822,0.002220292924903333,0.006144136190414429,0.03950013931840729,-0.040435821992723504,0.047761017834241436,-0.05350916697352659,-0.02719817729666829,-0.00696226982108783,-0.0011784918198827633,70,73,97,100
3dof_sinusoidal_L150_N100_seed10,3dof,sinusoidal,150,100,10,32.49398900124572,135.66154213466956,1.5391068499823297,3.725458999939387,9.758246284070704,775.7929562165765,4.800392576995219,8.281525916672093,0.30563943850075864,1.0937078469515995,5.854984336484182,43.02587501754091,-27.693596424250494,135.102360640874,-5.15666009808354,-1.3047921487176297,0.10855567014326614,32.99425077101143,0.966506692582423,3.1646237474399563,0.011387786517846998,0.05094776255309562,0.17276190692069018,16.851309966561754,0.05190429154187532,0.17603411287831383,0.001459826885575889,0.004206811702183635,0.02043222748917451,0.7767045163386972,-0.9146024010405478,3.088433055067101,-0.15218391594750463,-0.042506829926701774,-0.009333707013092775,0.003523918127269149,0.060392292354954406,0.0752755808296384,0.014133314369246364,0.0317396130412817,0.07572294399142265,0.3300966709852227,0.0070180045881716065,0.02478153617008009,0.0008651415846543387,0.00169128185370937,0.004598309635184705,0.08971287228167127,-0.053374287766782796,0.07059761164439146,-0.06700547836953774,-0.028563282743562013,-0.011438081739470363,-0.0012951175787020456,69,72,96,100
3dof_sinusoidal_L200_N100_seed10,3dof,sinusoidal,200,100,10,10.559709407066466,15.345583002457817,0.8910538667473549,3.3967742078223404,13.111070203563688,69.38813846035818,6.217032228453953,27.015693283958022,0.17793670873106368,0.7762265326748328,3.686065004754162,34.49459268969936,-4.3426771786125125,29.479457364887327,-7.455166198573336,-1.4087131005211941,-0.09222971608669514,23.82955869251049,0.48548813637105304,1.5604717341457734,0.006144102448863801,0.02318809025041981,0.08652546075570844,7.189945224407501,0.12547448466757152,0.5664187119661606,0.0007422948649663734,0.0025214071120578606,0.012382859120233564,3.8939667334201227,-0.3600136517034816,1.130400749230344,-0.06228744066461343,-0.019217612362550446,-0.0022320154509620493,0.05368521380712347,0.04743200160097331,0.08782816282252835,0.010236551752313972,0.021192054264247417,0.050620466470718384,0.2476968219876318,0.009034591833478772,0.05126371966858137,0.000767290621297434,0.0015619000187143683,0.003486216184683144,0.05044449988752843,-0.038397409767494534,0.05032932485771045,-0.0472928490198683,-0.016167541645700112,-0.007288684544619173,-0.0009319478622637676,72,77,94,100
3dof_sinusoidal_L250_N100_seed10,3dof,sinusoidal,250,100,10,12.708550618543955,60.99615794589999,0.40668724736947803,2.315262711276084,7.599799448823382,94.17189339989693,6.36819489229751,26.906437909567536,0.18649033024196987,0.9944019522137861,4.257687405235719,52.979625618388305,-6.340355726246446,65.70277161548476,-3.636062800322531,-0.30324842602638724,0.32825290047239186,49.77304555609572,0.4972268832091256,2.0724775555454635,0.004577690682185161,0.01532389079586085,0.0825459702972809,12.464376727716793,0.13631934368864088,0.5367697377732472,0.0011369933600011818,0.003732227112118227,0.02514292473499298,3.27686366643311,-0.3609075395204847,1.7013810660742898,-0.06773264941994038,-0.008316511041541257,-0.0017460461894971296,0.08722995589786549,0.0883613442373462,0.11093097440769281,0.016804765444248915,0.06485007330775261,0.11549517512321472,0.524782686829568,0.016869950037798846,0.06614023421373019,0.001320680050412193,0.0030175845604389906,0.007520636194385588,0.4253366017341617,-0.07149139419954736,0.07985601319885355,-0.10046865785261616,-0.044895015307702124,-0.014035334723303095,-0.001402446751017123,61,64,93,100
3dof_sinusoidal_L300_N100_seed10,3dof,sinusoidal,300,100,10,10.00548627881291,27.198506539597044,0.385914208983138,2.7261555788087906,6.877629200985377,97.00339391281823,3.1640090504432004,7.862401132494782,0.05969502586036779,0.8171222664428344,2.721621083428622,42.75849289899819,-6.841477228369709,27.918059337681417,-3.800851300187843,-0.5377803690458399,-0.008125069764794088,32.13912426406212,0.5120149822628242,3.035871923029009,0.006007521115290071,0.031162840974072768,0.1383584120374008,4.803486620643288,0.4144790139031605,3.270868699553348,0.000959829529290243,0.004347820972609616,0.026025255126258952,2.5414227272255205,-0.09753596835966351,4.1359092964026365,-0.10197731673574324,-0.010454774631995813,-0.002905027473633842,2.443251988957803,0.049738817720208314,0.06952438165978662,0.010156641248613596,0.02485551591962576,0.05676146596670151,0.3400695803761487,0.006703161631157854,0.02002430352848578,0.0006205141835380346,0.0016997655620798469,0.004076937912032008,0.07550631128251604,-0.04303565608905046,0.06073927497973948,-0.047282478597480804,-0.01948310977604706,-0.0077541968785226345,-0.0010264547922997727,73,77,92,100
3dof_sinusoidal_L350_N100_seed10,3dof,sinusoidal,350,100,10,14.602380504017193,97.0845239859805,0.2771526263239144,1.7085909294501243,4.204513550391001,71.9892294689135,4.786342438297383,18.051264179461572,0.11310234785092782,0.4711126879105895,2.9599564021126374,40.8789000318962,-9.816038065719809,97.05925666712452,-1.4592524986618594,-0.15626851443528159,0.3707154286651443,27.53147417539842,0.33489751972012727,1.5332426435087279,0.007145710214686448,0.03788622274810076,0.13511755762240665,4.684159718487844,0.09923915491940355,0.4669823575082948,0.0021073031853844674,0.0059892752809658795,0.0234948713177918,2.0290116960006768,-0.23565836480072366,1.5659668701482765,-0.09537475236223603,-0.025839048664787555,-0.0018066261477745053,0.5434493425674269,0.04924779306864366,0.05826041789554207,0.013545454479753971,0.027397156693041325,0.06609738990664482,0.2783803772926335,0.011636453794926638,0.030154153425418412,0.0008584460010752082,0.002508024452254176,0.006953746196813881,0.14938982382416763,-0.03761133927371702,0.049227628051903394,-0.05114072095238953,-0.01779117205296643,-0.00736952805891633,0.0013376569375395885,52,59,82,98
3dof_sinusoidal_L400_N100_seed10,3dof,sinusoidal,400,100,10,8.131374459496955,18.96616471828378,0.3605145528145249,1.800950591824197,6.790947392176024,81.48491569470065,3.104404264877856,15.194936097955921,0.11726772895827953,0.4385854573130823,1.3281394750467377,19.24549247337315,-5.026970194619099,23.912209738506622,-5.205961871180457,-0.7516222787762808,-0.05100791230808277,12.98129048979853,0.5870983717965474,2.4544705404435523,0.010258741926176984,0.03448104530175236,0.17047548289841644,6.1827055510750535,0.22585978717154412,1.2701120420465875,0.0020887150181129483,0.009071101884765002,0.03270747440603998,3.45751751874655,-0.36123858462500336,2.4545213951239617,-0.0757274954373491,-0.017009990130466335,-0.002778322273115783,0.9565684636927438,0.05419223504373804,0.06962728578867909,0.010062227956950665,0.029886881820857525,0.07167585007846355,0.3246475419402127,0.00734016409740434,0.019983846257293353,0.0009855827083811164,0.002174119115807116,0.0061978300800547,0.06581785738468228,-0.046852070946333695,0.06157794772345604,-0.05832517235830892,-0.02299181729904376,-0.007638623239472508,-0.001328241429291664,75,82,85,100
3dof_sinusoidal_L450_N100_seed10,3dof,sinusoidal,450,100,10,6.160393249854903,13.61879007356594,0.3416217002731273,1.4426515336140837,4.999814570263799,68.0715861319222,10.343773621993973,42.89711649028208,0.13096284049988524,0.5567062824157751,1.696028342558023,254.52043301105147,4.18338037213907,43.833554113886464,-1.8082921808812737,-0.34368191897879063,0.04367816562949157,254.3312623234772,0.9308834497407291,3.801817902282222,0.010017831072517282,0.03694318911934169,0.19501375464956414,16.96001808363477,0.06520230400097148,0.15501835120713253,0.0034139730693667097,0.012600194904037281,0.04278372716005327,0.6562324746810381,-0.8656811457397576,3.7335902786609743,-0.11282135579059403,-0.02045612938324786,-0.0021638149854847784,0.03410716166617828,0.07482689404510894,0.08098472858156802,0.01310603879392147,0.045151930302381516,0.11223560757935047,0.3514408597350127,0.006577846034779213,0.01107263721115383,0.0011839767103083432,0.003157933708280325,0.006728172651492059,0.04815970748662966,-0.06824904801032972,0.07586640538206274,-0.10971557459561154,-0.03932603445718996,-0.005994011415168643,-0.0012105407763738165,68,72,80,100
3dof_sinusoidal_L500_N100_seed10,3dof,sinusoidal,500,100,10,9.216933011622048,52.814535237069705,0.13511973588337028,0.8419943894572004,4.009398687503855,56.812962092853276,4.354279723515002,15.271377024140653,0.052817559283557906,0.22641115580163618,1.232420959663758,94.09955140505309,-4.862653288107044,53.92052796006134,-0.8721920246363408,-0.15784151687071163,-0.010095368256962155,51.031777020459245,0.6783759656052549,3.1960950583897954,0.009242894364193385,0.039398144138156455,0.14708171812107063,16.183899233418515,0.33980496776140795,1.6400897374648686,0.0032231078972740066,0.009941661815019617,0.03617647886716725,5.20472083223136,-0.3385709978438472,2.6071932946017227,-0.0906361601481442,-0.01957617013858599,-0.0025389060656698763,2.3950943968193457,0.06205662400228903,0.12846386694784673,0.009688149206340313,0.02531085442751646,0.06075996160507202,0.5219816517829926,0.009079624902369687,0.028448272291183654,0.001125872164266184,0.0022614996414631605,0.005182971595786512,0.15878356665372884,-0.05297699909991934,0.10432431188378459,-0.05597509030485526,-0.022207200760021806,-0.005967816250631586,-0.00017100971192121473,72,76,88,100
