method,length,sample_idx,rmse_p,range_p,nrmse_p
unguided_dpf,50,0,0.03213812766725863,0.18777114914471416,0.21194865204920668
guided_dpf,50,0,0.008951932555780945,0.18689036010281432,0.059986500141071125
unguided_dpf,50,1,0.019410002217211564,0.20177150518321865,0.10936461006229152
guided_dpf,50,1,0.007132071707610478,0.21093052857056502,0.04498466755730975
unguided_dpf,50,2,0.03565877457911492,0.13153864072539426,0.5860161118533578
guided_dpf,50,2,0.004813946316765264,0.13296086533117685,0.07595707308325578
unguided_dpf,50,3,0.033132980019493254,0.10622401561000634,0.48523677798178655
guided_dpf,50,3,0.02305107259878871,0.11714704217708675,0.24100674797525715
unguided_dpf,50,4,0.022700707912742858,0.18767046305404808,0.14111673055557963
guided_dpf,50,4,0.009379212027245827,0.17870861113383305,0.05306005221604477
unguided_dpf,50,5,0.03529315145387502,0.254539112700263,0.1374023101889775
guided_dpf,50,5,0.011982456092219757,0.24164313688497088,0.051026333653802956
unguided_dpf,50,6,0.02756889047199197,0.2097251286236871,0.24176271299453936
guided_dpf,50,6,0.008028297624680618,0.2105619460410494,0.056893997837204724
unguided_dpf,50,7,0.0355979596655037,0.2248662376905659,0.16165685869844293
guided_dpf,50,7,0.008689241605624906,0.21421979037150016,0.06851271573838197
unguided_dpf,50,8,0.016685352264709616,0.25109028704313324,0.06562814107788782
guided_dpf,50,8,0.00412125080636752,0.25644598532193685,0.015641383717808766
unguided_dpf,50,9,0.02482089791586319,0.21854100344996993,0.15643185997853837
guided_dpf,50,9,0.006703272728103237,0.2290371670128607,0.03812259990004471
unguided_dpf,50,10,0.0162259456351293,0.18997720014667893,0.13733726407937327
guided_dpf,50,10,0.006094225072680713,0.18892327214460028,0.03776381010596599
unguided_dpf,50,11,0.034262182125154805,0.16522113953935336,0.47299402171197996
guided_dpf,50,11,0.012280361445588582,0.164578403531913,0.12216566859305474
unguided_dpf,50,12,0.03585729897289433,0.35041482578067856,0.1295569391359349
guided_dpf,50,12,0.020743246779653324,0.3282508591710436,0.08486117999309893
unguided_dpf,50,13,0.042272739575268975,0.15106532439487627,0.3494543662733574
guided_dpf,50,13,0.007773368297213253,0.15587629703170994,0.06905406462902537
unguided_dpf,50,14,0.04084300183650089,0.2807033510618668,0.1370212668614198
guided_dpf,50,14,0.0041442719658065395,0.2770912931749044,0.014398868314756758
unguided_dpf,50,15,0.05285294930625092,0.19200929555390114,0.6021233709129078
guided_dpf,50,15,0.01195145617830195,0.19874924441910993,0.10960692267962546
unguided_dpf,50,16,0.01914934999607293,0.2243670031502024,0.10812038001082479
guided_dpf,50,16,0.004055466361636839,0.22687504916604015,0.015821600551641838
unguided_dpf,50,17,0.047093579907085924,0.29816640040979564,0.24170406302222966
guided_dpf,50,17,0.015110952764203952,0.2898251193356505,0.06099860083544987
unguided_dpf,50,18,0.03854547162327438,0.20095365350595615,0.20883655000172108
guided_dpf,50,18,0.007288903133600643,0.20083018035224443,0.0657788068619227
unguided_dpf,50,19,0.01951272877815983,0.06079599228490492,0.7487234331643356
guided_dpf,50,19,0.0058331530675603425,0.05776302347473855,0.10615399802170689
unguided_dpf,100,0,0.007418991846507621,0.4345170722493695,0.04793995738353082
guided_dpf,100,0,0.0062149106124276855,0.4354790156960174,0.028878282435302632
unguided_dpf,100,1,0.013072810398515678,0.2535476613071144,0.10775584230989467
guided_dpf,100,1,0.0048252498535184376,0.25361866013904816,0.020244084249971483
unguided_dpf,100,2,0.026310950912917987,0.5388764058713611,0.04544688847869555
guided_dpf,100,2,0.010135674387799018,0.5636480611576966,0.019081860958133415
