guidance_lr,guidance_steps,guidance_after_steps,hamres_mean,hamres_median,hamres_std,nmse_mean,nmse_std,num_samples
0.001,50,45,0.09101998929422088,0.06713429980628757,0.06675023428502688,0.016905956369923272,0.01795696561094458,5
0.001,50,35,0.08918558055540293,0.06764754052088226,0.06316107717526531,0.01626449350630265,0.017246615852675624,5
0.001,50,40,0.09000335551299499,0.06767426202889697,0.06472603997755942,0.016608989180961327,0.01750259311761645,5
0.001,25,45,0.12652490281352766,0.0935843236269896,0.07264234435731555,0.015813239395958113,0.01593412907078848,5
0.001,25,35,0.1261962233652044,0.0955787087726204,0.070341720238223,0.015760192675907538,0.015957754400002123,5
0.001,25,40,0.1271073747827307,0.09759643361018133,0.07129425826757144,0.01570912976327666,0.015813648881441694,5
0.005,50,40,0.18707442875492383,0.171096252112441,0.06438996360180015,0.014139147605689743,0.016433240484306368,5
0.005,50,35,0.18659385950483862,0.17302295866082296,0.06336319145259757,0.013543055819686817,0.016396935615772334,5
0.005,50,45,0.19090155930867256,0.1740534590882496,0.0689088108923736,0.014763542536571351,0.016121950812324627,5
0.001,10,40,0.36061320296428695,0.3225429402658505,0.08336984145278865,0.01727835006227797,0.01580276042301199,5
0.001,10,35,0.3583864981443504,0.32553588772772424,0.08054705037539205,0.017735091882757282,0.01616848672457813,5
0.001,10,45,0.364069860673626,0.3284932245062058,0.08224020573209134,0.016835286858447124,0.01607839500818123,5
0.01,50,35,0.5270563086158336,0.4893911432560693,0.07831229000945006,0.012816256906923304,0.017496866188277033,5
0.01,50,40,0.5428806441924192,0.5013328275337117,0.07338028697409432,0.012944712082569688,0.01659028425434522,5
0.01,50,45,0.5423857148184238,0.5143735877761689,0.07515734108572728,0.01336421245513159,0.015649583476322265,5
0.005,25,40,0.6403814627199692,0.611337197953072,0.08019947783669772,0.015012911009139046,0.01650034014221433,5
0.005,25,35,0.6518563614873547,0.6310933536177582,0.07112487297244295,0.01466715101913219,0.01718579752538355,5
0.005,25,45,0.6369835709012277,0.6439158996966828,0.04952617539019135,0.015107886634977164,0.0172784254780948,5
0.01,25,45,2.063132216672888,1.953486377985235,0.15580128334538343,0.014875339433962775,0.017804565440479193,5
0.01,25,40,2.022657866698526,2.023356346181998,0.14986453737946986,0.014845357895594592,0.016672115570115106,5
0.01,25,35,2.0847261761298728,2.13490998237365,0.15428626906201448,0.01657208203573419,0.020183403519326504,5
0.005,10,35,8.203855284278173,8.425098133244646,0.37554162631012156,0.01467896113498712,0.016289350973371565,5
0.005,10,45,8.159049854055164,8.45122068600988,0.4269225715904135,0.014361226936423027,0.014045315175892541,5
0.005,10,40,8.231466312522036,8.496358519104902,0.38782553919912616,0.015460960254096334,0.015608481939659021,5
0.01,10,35,33.15826579182326,32.69031410105227,1.2143543184855152,0.04984628108776605,0.09119433762701158,5
0.01,10,40,33.47057006116865,33.038876429946775,1.3254289287162653,0.04284001076884486,0.07570511389912142,5
0.01,10,45,33.43001490935618,34.225719342744256,1.6149581051522621,0.04547549873640979,0.07379734135247545,5
