trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,1.825643406815937e-06,2.210519989186514e-06,0.0001837967129802039,0.00028293513451650585,0.0011240315286323963,0.0072145277919939115,0.0008530620075048409,0.004470022839943669,5.45246498333396e-07,1.147106987045217e-06,0.000105465436380906,0.00021567310373792224,0.0003091266704757514,0.002067822099779324,0.010462077083734167,0.09898159863303718
100,7.533086612909619e-07,8.434921087202422e-07,6.203787793983685e-05,8.633031945117718e-05,0.00028600961822879204,0.0015218369608003526,0.001781912992627037,0.015404960037882045,1.4933832218234048e-07,1.8019448858945147e-07,2.1738298854805416e-05,3.432484782259783e-05,0.0001300945091994114,0.00044388425556383883,0.00018956694121695586,0.001047273318969859
150,5.467605347546171e-07,5.964004872345679e-07,5.745163115792218e-05,7.767366855963642e-05,7.290974346401342e-05,0.00031609564903564463,0.0004467724308416711,0.002346473393350542,1.0840326387251803e-07,1.312905218835104e-07,1.743240915841982e-05,1.601187071285203e-05,6.3183364939999845e-06,1.9439174967142935e-05,8.209671500030675e-05,0.0003498165158205568
200,6.612137132717481e-07,8.224466886051931e-07,7.743119696920163e-05,9.988765622810002e-05,0.00040229344621225195,0.002623697521376356,0.001362599963400087,0.009464662011003051,1.8781961226998616e-07,2.92911884907186e-07,2.7268504443769945e-05,2.8102727537064142e-05,0.00013054475841162003,0.0007535863077091678,0.008193348975141835,0.06480293394862906
250,7.815584803375028e-07,1.2812678241111065e-06,8.16342295729095e-05,8.136248497146645e-05,7.566771740519092e-05,0.0002921021249855544,0.00014286829416880234,0.0005634560510210919,2.9538174901717897e-07,6.120419347981728e-07,3.5220272044522995e-05,4.39094924186455e-05,0.00014165362208439799,0.000776700198224757,4.515388483385397e-05,0.00010971103129654235
300,9.43458320790935e-07,1.5153294892405127e-06,8.108531574279992e-05,6.02269891206637e-05,0.0004133698835799783,0.0017756503628178894,0.0064388662340473255,0.06191139363674615,3.0793842360489517e-07,4.969413817776893e-07,4.920121418491809e-05,4.3078678595096676e-05,0.0003100537496229807,0.0016000018667722362,0.00011622575453210762,0.000445003424005769
350,9.481170318186547e-07,8.873213693179966e-07,0.00010801946865704886,9.708329971119715e-05,0.00028700873167481313,0.0011071556216543253,0.0011209342869763696,0.006044274210752491,3.937169903840608e-07,5.100702701917792e-07,6.712664763696281e-05,6.571901571299266e-05,0.0001566868486681558,0.0008161954940302417,0.002258593327391143,0.01654256971300351
400,1.4483708115333884e-06,2.0596565920682578e-06,0.00012199621454069061,9.836328652679603e-05,0.001149763509207874,0.00966195119351762,0.01428204743753295,0.10863647210498925,6.325992901386024e-07,6.57059012390133e-07,6.488634437940617e-05,5.306730763656018e-05,0.00018366731487570243,0.0009048997901902733,0.026021030035113312,0.16049763308696602
450,1.7121215376718885e-06,1.9535981898230233e-06,0.00013902452952256186,0.00013300899555417588,0.00021849858485547175,0.0008843407044651414,0.01112414368407314,0.0641338272747894,8.250079634576877e-07,1.1162042431334994e-06,9.133632391901795e-05,9.917173720775218e-05,0.00018773879860396061,0.0007163270288239856,0.00700322295453215,0.0469131209274432
500,2.156024926751804e-06,2.7383088328057917e-06,0.00017260189362557272,0.0002204924832189454,0.0003309008987893453,0.001637265237341124,0.007766472484121689,0.05683630847631781,1.2296334044680171e-06,1.5617705284517676e-06,0.00010187837074042511,8.580646994156241e-05,0.0002250006925602485,0.0008245840452726566,0.0015648810961518336,0.007397340063234103
550,2.0045491907144075e-06,2.5948081326801806e-06,0.00013255808189494353,0.00012466831466705986,0.0003040763829975104,0.0013620595294335867,0.0008988400308873761,0.003824332234692885,1.3043691578560854e-06,2.129665510452448e-06,0.00011089620795168883,0.00011246018258811556,0.0002000119813324205,0.0009216682505856856,0.00036741617346421307,0.001528725516518678
600,2.252375509604289e-06,2.2524563277355983e-06,0.00015543223208564245,0.00013233280582441144,0.0005908304327012785,0.002410961092670258,0.0008621538761873546,0.0043768545257458396,1.5887798477480586e-06,1.928980741119964e-06,0.0001264491530288004,0.0001197524093908453,0.00024758447590616183,0.0008794455470872349,0.003508272287360964,0.028154827405646413
650,2.419153895725884e-06,2.7145049420558834e-06,0.0001765759615844082,0.00015847334724083923,0.00031260529215567696,0.0013923776625778391,0.0004423252923956881,0.001489072986187209,1.9576887566498333e-06,2.207758301632199e-06,0.00013456153398144215,0.00013023331405402416,0.0005437127578419149,0.002486278526695233,0.00039256833745619774,0.0013703221983704561
700,4.53001175451145e-06,9.140201405487703e-06,0.0002044005849926848,0.00024155639695043991,0.0010580607021035133,0.006211318931908532,0.004488300319908616,0.02501979299279785,2.7442554517699635e-06,3.5029584096901302e-06,0.0001538968113584503,0.00011167812541690472,0.0005005840253693145,0.0023449929586417256,0.003156226879020825,0.02417115574971826
750,5.634986529500865e-06,1.493932716343775e-05,0.00021569067679538679,0.0003387463592173806,0.0005923296386529651,0.0034031171555869346,0.007129007162279868,0.06578333113172947,3.611130929381999e-06,5.553454111525852e-06,0.00016813663202113892,0.00013940296166988427,0.0003953581559249546,0.0014755041516074834,0.005586995446715231,0.048035900386082575
800,4.9013761019472494e-06,6.917864574148339e-06,0.00023226974542403162,0.0001879275292084071,0.0005696295063729497,0.0022941616703120314,0.010546874444614324,0.07283339794372302,3.701894795195262e-06,4.954450529812915e-06,0.00019404613443121485,0.00016023272894606828,0.0007875504465774375,0.003924013323929281,0.003283451826955535,0.024557646528050255
850,6.609707865118449e-06,1.3533958267373939e-05,0.00024314545905507724,0.0001883068868223729,0.0002458421770619582,0.0006026539497591839,0.018502956308328867,0.11317870045754984,5.656333709039093e-06,1.0806938017140905e-05,0.00020144774753273108,0.00017494651436007614,0.0004588958346637556,0.0017262089859297483,0.0014310499136644755,0.007131684126843577
900,8.241880732882725e-06,1.233712149964417e-05,0.0002831828551830907,0.00023679721629225057,0.000671548757456002,0.001996446562119606,0.001472934731806646,0.0081227324612007,7.052420436241908e-06,9.741363720922056e-06,0.00026138334416140626,0.00027396302647851237,0.0011081162334256394,0.006114060935384786,0.006110361858733465,0.04843727833911624
950,8.710632825484473e-06,1.1551500729466576e-05,0.00029111259275684307,0.000280130923765555,0.0003676718003108988,0.000865652766965172,0.03437077778293122,0.22193670616825703,7.656888864322736e-06,1.1961088060655933e-05,0.0002885044880580626,0.0002680199822749052,0.0004665384318698498,0.001197998900105411,0.02890764290404724,0.2040933043606985
1000,1.2479358258560618e-05,2.5564365791607515e-05,0.0003785745822102556,0.0005370707244262463,0.0013171703725836656,0.003705428537352429,0.0007670387014817146,0.0027354343697522368,8.979372350976703e-06,1.5004856195963265e-05,0.00029787945053030525,0.00024319789526797188,0.0006697848407953561,0.00177656786077599,0.0018046342978422119,0.006807593279397563
