trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,1.8905314591212195e-06,2.71792585242967e-06,0.00016449751083407558,0.00023418828688725384,0.0013569970615456462,0.010968196033531065,0.03290698372390613,0.3076420751817188,5.520401939687655e-07,1.5348289731819216e-06,8.742335603744198e-05,0.0001610549003593432,0.0007842898441022316,0.007538866583058911,0.0026634356583408315,0.02326478193558974
100,6.774452116799927e-07,7.777060145553804e-07,5.92193955428581e-05,8.031446425092156e-05,0.00022079103998333307,0.000970267150444457,0.0005339402621127509,0.00234381706955687,1.3023530120544433e-07,1.6033689273633082e-07,2.0341520978755583e-05,3.508070156706141e-05,0.0001352284173802882,0.0006930970503376909,7.647576672077213e-05,0.0003586414958385339
150,6.001239031534767e-07,1.1310836793708391e-06,5.449630064009084e-05,7.024681661884463e-05,5.8443749555811146e-05,0.0002530430737222105,0.0031655219948502527,0.030779935749972252,9.927680327944026e-08,1.0833258803783575e-07,1.456297140053793e-05,1.5579932183886696e-05,6.126878213394034e-06,1.7240772166612285e-05,3.811750191566089e-05,0.00017241810655755702
200,7.28362263773979e-07,8.710658878191727e-07,6.706920834522206e-05,0.00010332782977801299,0.0005765765134983097,0.004033700317616595,0.003046308575886388,0.028934696637681116,1.5251091430375384e-07,1.9348939646829919e-07,1.8769776436199022e-05,2.0533601708367324e-05,0.0001008594149423042,0.00039218175695394686,0.003684989639981389,0.03375196783336379
250,6.837742489530601e-07,9.97955695593236e-07,6.378025819679705e-05,7.925470952097165e-05,6.959916045867781e-05,0.0003166984756818851,0.0001941700882570983,0.0007624675037963821,2.9154135966742727e-07,7.809633264371032e-07,2.259606817288231e-05,4.559301393190038e-05,0.0001822797595362332,0.0011145653893442251,6.337549757974058e-05,0.00039261969422367196
300,7.721777871624218e-07,1.1471613291289335e-06,5.776060624293789e-05,4.90147435522521e-05,0.0003568668094967088,0.002240651842471636,0.02530733057869426,0.2429042451504792,2.7733655717618087e-07,4.1543328811383935e-07,2.2829438087654275e-05,2.3006875781953027e-05,0.0001553442364580339,0.0007459272186057997,0.00010352583457583742,0.000527648805876314
350,8.281420276694196e-07,8.294428397839875e-07,8.094939444368275e-05,9.292342747352009e-05,0.0002842317575787623,0.0010469888776597515,0.01052457178482878,0.10106090788841769,3.55905693439673e-07,4.758419904363449e-07,3.9244970689092974e-05,4.67521367092974e-05,0.0010509232201680301,0.009401556147598687,0.000389605503420636,0.0013469493553967514
400,1.2182862084429087e-06,2.245718835694795e-06,7.705359066901542e-05,6.294661440241899e-05,0.0001940383537426098,0.0006626752622273037,0.0013610820970570185,0.005984110205143635,3.981603876094871e-07,4.1943150322444593e-07,3.406867823386673e-05,2.6192304855988258e-05,9.912703588230836e-05,0.00047459654904198373,0.0005039710812803523,0.0019382593554630031
450,1.1699012363798494e-06,1.3810191964113888e-06,8.672382841776187e-05,0.00010947018966879119,0.00010236821627160335,0.0003154218965721982,0.004946504850632069,0.044295241980054266,6.677403692889e-07,8.824027782492699e-07,4.8958238950798406e-05,5.325627670473245e-05,8.351315809375221e-05,0.0002514056468891029,0.0035431054112753354,0.030675706131344634
500,1.606174415437897e-06,2.1496464502468337e-06,0.00011366993291210591,0.0001690549548081157,0.00012090386168092994,0.000493375957480285,0.003237142445431995,0.021214201880603908,8.083837551618606e-07,1.1123650981303164e-06,5.5342354572934917e-05,5.147315568910063e-05,0.00011644849644781076,0.00043008135622760006,0.0025695357554286,0.021414732034418953
550,2.0038273251329665e-06,2.4558366695911496e-06,0.00010958377412101224,0.00013604433417366345,0.0002616326732692536,0.0009014333527814681,0.0049640219655572556,0.028085924040857437,1.0215097602646787e-06,1.7131354480547747e-06,6.377450222544949e-05,7.053118961050471e-05,0.00016935003177289882,0.0006218525447065185,0.0007472902982578549,0.006019790848642689
600,1.6915033256482984e-06,1.6476189383304974e-06,0.00011900227748370039,0.00013056184343786438,0.00021327980168404058,0.0006522462548971714,0.0007040678352083482,0.0029787109950666045,1.4141024536410503e-06,3.0279088465266986e-06,8.363180836585745e-05,0.00010152914375657057,0.0001406118189436797,0.00043714442229554715,0.00573078661436844,0.04022860003416444
