trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,2.323002244920553e-06,3.895913804371588e-06,0.000182560697260957,0.0002665747239530669,0.00027100983131798614,0.0007821044386853444,0.0005928492226171357,0.00345304601492549,1.1942589777458636e-06,2.9248971734423477e-06,0.00010991641130545021,0.00021136584146935265,9.797936399499177e-05,0.00043376511006564016,0.0008659197527559842,0.005484655012215456
100,9.049064525362159e-07,1.3362770720115318e-06,7.619403412460055e-05,8.261978914243028e-05,0.0006013022617603466,0.0037256697669635977,0.0011424545050815467,0.0067723660396896,3.693188146008225e-07,4.6834525613525743e-07,4.1236084679199684e-05,4.1299142606253634e-05,0.00045322566561992465,0.002685242141444333,0.001444799823996131,0.00994774416501748
150,7.593453583822577e-07,8.342609536784348e-07,0.00010210727600683584,0.00011585851997598397,9.917800848318545e-05,0.00043447188522426094,0.0003663638011285583,0.0024113202188751027,3.249469431787351e-07,4.7173406586300596e-07,5.207784806395435e-05,3.734708591943037e-05,3.759612872747999e-05,0.0001370423616504148,0.00015269775892902624,0.0005300809833313213
200,8.87123596237753e-07,9.818518455768207e-07,0.00014881117002318736,0.0001608021180553869,0.0005195954960603662,0.002650684556198991,0.017423797098983614,0.14149038873453745,3.934161780409085e-07,5.843053618047886e-07,9.349749439951231e-05,6.759003711570952e-05,0.0007697019959884972,0.004422326322674297,0.016498051223018957,0.12571732506757072
250,1.0109374290138253e-06,1.2443370757559583e-06,0.0001679344574388072,0.00012642561074496613,0.00012323637880704342,0.0006881577446946589,0.006046130860341333,0.037277453601265026,6.275788469416076e-07,9.453274590733137e-07,0.0001233878516346835,8.574970905524633e-05,0.00021754370763205191,0.0010479582118556876,0.009279896312519234,0.0893814125650499
300,1.2609897198594813e-06,1.4164221811050331e-06,0.00018129828805240865,0.00011017958196795935,0.0003207351430118887,0.0016803280769102462,0.002715939003980182,0.012509767404378105,7.49603092541104e-07,8.243269017302616e-07,0.00014960746019350766,9.784570110328624e-05,0.000514296267646243,0.002513365654382447,0.0039642227880087415,0.019770657308237318
350,1.3265489367871896e-06,1.0919237652187793e-06,0.0002256864248899396,0.00017569536059898003,0.000624360653990255,0.0035204337785848965,0.016674805632725772,0.15074275431211606,1.001679193396866e-06,1.0920391934489523e-06,0.0001819847431290142,0.00010836909257198829,0.00041551137181967783,0.002440205067905182,0.011164371505734154,0.10132245574684606
400,1.9643071625450584e-06,2.2104776832160263e-06,0.00022951115112619574,0.00012284599905475408,0.0002133011174991222,0.0006944699146510778,0.009555702512219093,0.05134608930124152,1.243499568527845e-06,1.1999710626302554e-06,0.00018862855410641804,0.00010224150480425157,0.00035801752041648294,0.0014507067016326126,0.021804102805209977,0.19747893187512125
450,1.9205345239580265e-06,2.0755521257376466e-06,0.0002502888790241658,0.00016294838698321828,0.0002818703943730056,0.0009398665066677508,0.022927821939183034,0.16704834594838772,1.5702220455732967e-06,1.911102184650201e-06,0.00020621545634918112,0.00010684197623970908,0.0007811004946824287,0.003914750725104778,0.009538058587735035,0.07415931801209553
500,2.7375422321648486e-06,3.1889210729141614e-06,0.0002930047930477891,0.00019112166189586149,0.0006030404087741273,0.003153650610477427,0.002599175700430489,0.009748220887465875,1.9072226664958975e-06,1.988826085882736e-06,0.0002588203571872787,0.00015516699456944567,0.0007964310387860367,0.005664714945605012,0.007526178602654481,0.0379610177863329
