trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,1.8322930846229933e-06,2.45377377396721e-06,0.00017756764894640817,0.0002918471675888146,0.0019419157347599133,0.015963268371334008,0.0034190776613733528,0.030568318754252807,5.585414744550977e-07,1.5279565712290794e-06,9.614354063213783e-05,0.0002286547807954607,0.0017090070546741856,0.016714185023040787,0.0040619892878930456,0.03687880839756958
100,6.456001661162429e-07,7.776798529852482e-07,5.650977148792132e-05,7.559268140648952e-05,0.000550376866363425,0.003858543139694133,0.004166980958539955,0.03921566598635089,1.1766912406679436e-07,1.2560406233419818e-07,1.812789481675547e-05,3.044309750474045e-05,0.0003402951624262304,0.0016151172673087798,0.005691710027223955,0.05587853851569284
150,5.338400970942684e-07,6.857060243491766e-07,4.9604179464431165e-05,7.818460384348666e-05,5.5028244584746386e-05,0.0001924836184434162,0.0003730571042884593,0.0030501477142377193,9.620795584976088e-08,1.0372622463288345e-07,1.2313798814515076e-05,1.4544412018507625e-05,1.6085204154945464e-05,9.724265563795895e-05,3.843172859279764e-05,0.00015860727155259297
200,6.793111493925005e-07,9.240733896260292e-07,6.10892938506989e-05,0.00010512614794683334,0.0006930162276949722,0.00490269770023815,0.0014736578726339225,0.009380748449484682,1.4789110845394878e-07,2.1529550731499012e-07,1.3486655894652592e-05,1.4747026206293303e-05,0.00022222036539171037,0.0013968224892139632,0.0295020440719109,0.28711990629964174
250,6.875363654443036e-07,1.0258357573536657e-06,5.5075455377286454e-05,6.951097153548122e-05,8.697904342467715e-05,0.0004731080853824778,0.00017078477335809037,0.0006681071331921637,2.6965268817435717e-07,6.721191102506615e-07,1.6795452411931015e-05,3.511369502004223e-05,0.00012861313153858376,0.0007108158588558204,0.0019083057718735747,0.01872643785554115
300,7.370297988995881e-07,1.1814950008684876e-06,4.976752435733124e-05,5.631824432569687e-05,0.00021955201926566396,0.0009618641218356963,0.00042027930159622517,0.0029418889196814635,2.1387566087872732e-07,2.3540581111880136e-07,1.770925832102686e-05,2.4215869581361224e-05,0.0001199552647784065,0.0007145084058311113,3.368812739688924e-05,9.955636693831008e-05
350,7.522393733855454e-07,7.816349849526366e-07,7.022126970149237e-05,9.69918807890572e-05,0.00033945155038272404,0.0013794284013305238,0.0013467228456320232,0.008677651507967338,2.997694726377951e-07,3.3744099882670787e-07,3.0183964608666183e-05,3.929672784646155e-05,0.0007735240921210188,0.0061824213534775125,0.0009754364135520664,0.006672103971559758
400,1.0451804420860407e-06,1.7871879103745213e-06,6.4668089970098e-05,5.796406022039525e-05,0.00017609672141498007,0.0006444051759589547,0.0053010019768148205,0.04664759304373563,3.588572728423776e-07,3.645819651567085e-07,2.5332645067547613e-05,2.2753000956129575e-05,6.24576198437218e-05,0.00021219460057039883,0.003840240927873479,0.02981819987253698
450,1.1352683141426215e-06,1.4628623075309772e-06,7.395577697473911e-05,8.923734010888478e-05,0.00011924461389221572,0.000413450488715653,0.06711945725920854,0.6197903478178219,5.869305778828285e-07,8.680220084983133e-07,3.3010510503790077e-05,3.316947553311571e-05,6.952312983345721e-05,0.00020710429842645317,0.03375721360803992,0.31451341921043935
500,1.4193858739968324e-06,1.9178037796495306e-06,8.017132983070533e-05,0.00011289855997209216,0.00011600127363191219,0.0005636889943375398,0.0042070703746351626,0.022885523762619587,7.230556856441351e-07,1.0367028456328128e-06,3.687166153322928e-05,3.529781962805176e-05,0.0001024158513520894,0.00034229023252333173,0.0006472916178248883,0.0024407182891700028
550,1.6235554982040118e-06,1.998599951587423e-06,8.926178282364595e-05,0.00010910309850921328,0.0002235092680175951,0.0008853339502560519,0.015114540152312006,0.1363738146662364,9.231363312397066e-07,1.4381790269915838e-06,4.5636493825866926e-05,5.2466879287060164e-05,0.00013685433324739764,0.00046542176590745897,0.00019345496767406444,0.001135423343269299
600,1.483579360167123e-06,1.6893918713684698e-06,8.638688317627541e-05,9.055045521918311e-05,0.0003788376311622808,0.0018505319522554655,0.0009928185772030875,0.007735806934278988,1.0893654245832515e-06,1.4619330035664735e-06,5.3791943413632636e-05,6.129413830614455e-05,0.0001556402479228313,0.0005159809517089551,0.0003429961940900151,0.001603283705841853
650,1.5320428633847364e-06,2.3218149712649563e-06,0.00010730573536615834,0.00013556781028370825,0.00020390766711548197,0.000714497844094774,0.0002925994082753345,0.0010618128673000845,1.3873808469602283e-06,2.140628886047913e-06,6.623073050656944e-05,0.00010389497473068186,0.00028023963499229117,0.0007895298285776568,0.00023829980182971325,0.0009933213341672379
700,3.581800455247829e-06,8.550961230228964e-06,0.0001393488501290486,0.0002131792959330227,0.0006581219002009073,0.004184584260584008,0.005023158431250341,0.036952989679416355,1.8808981444082367e-06,2.8983909735087664e-06,8.951714606977289e-05,8.920146075402837e-05,0.00043626233252423106,0.001750039666801518,0.005009050753588388,0.03864825890540036
