trajectory_length,gt_median,gt_p95,gt_p99,gt_mean,gt_std
50,2.406663838883105e-06,1.2675449534071934e-05,3.5892156629415805e-05,4.746970376032777e-06,7.523236278622975e-06
100,4.3688771711458685e-06,1.7720446794555756e-05,2.1889264335186464e-05,5.994886419671274e-06,5.121293667697797e-06
150,6.88922932567948e-06,1.927981238623033e-05,4.119355264265712e-05,1.5618803210486476e-05,7.840019136728281e-05
200,7.371388164756354e-06,1.77152329342789e-05,2.3260315119841853e-05,8.1255385350687e-06,5.174756378902846e-06
250,7.143006314436207e-06,1.72627394022129e-05,2.120945384376686e-05,8.025699375480145e-06,5.068874877271321e-06
300,7.1455137913289946e-06,2.0423941441549685e-05,2.431727389193844e-05,8.45402703362197e-06,5.628288587840791e-06
350,7.0171113293326925e-06,1.6397410854551704e-05,2.201315448473909e-05,8.074958062707082e-06,4.7467478782964565e-06
400,6.694535159113002e-06,1.3997732685311348e-05,2.066446726530559e-05,7.575154033929721e-06,4.015844999751477e-06
450,6.987086862864089e-06,1.3886364695281367e-05,2.0209473859722503e-05,7.793709793304515e-06,4.002071605047043e-06
500,7.148109261834179e-06,1.5081033188835135e-05,2.0409143398865133e-05,7.771219230789939e-06,3.933263266339917e-06
550,6.6644311118579935e-06,1.4293581625679504e-05,2.032824615525897e-05,7.460085482762224e-06,3.753533105708783e-06
600,7.319636779357097e-06,1.5867848560446873e-05,1.9283543042547536e-05,7.542916742977468e-06,3.7604489038938e-06
650,6.77510706736939e-06,1.2364947633614063e-05,1.829488293878969e-05,7.43987859777917e-06,3.4254938988505483e-06
700,6.9045843247295124e-06,1.4017785179021302e-05,1.7175818466057543e-05,7.370668838575512e-06,3.236766616018613e-06
750,6.967995886952849e-06,1.3139969860276322e-05,1.783132614946226e-05,7.583720672528216e-06,3.2013001005551146e-06
800,7.033964948277571e-06,1.411764046679309e-05,1.6453793450637028e-05,7.385518401861191e-06,3.164373032754732e-06
850,6.8113283759885235e-06,1.3640101815326486e-05,1.729117999275332e-05,7.5291889288564565e-06,3.249290436710258e-06
900,6.8322619881655555e-06,1.2758546336044671e-05,1.540044419016341e-05,7.354473384566518e-06,3.0386476619640463e-06
950,6.545123369505745e-06,1.2439700276445364e-05,1.6601122952124572e-05,7.259910469201714e-06,2.8602129709550216e-06
1000,6.820179123678827e-06,1.2391893778840313e-05,1.5463863910554233e-05,7.306107900149072e-06,2.966708237953562e-06
