trajectory_length,gt_median,gt_p95,gt_p99,gt_mean,gt_std
50,1.9059559690504102e-06,8.336485143445314e-06,1.74193101338461e-05,3.2666183088281286e-06,4.391880445466758e-06
100,1.513517020157451e-06,4.193547601971658e-06,1.0478324484211089e-05,1.9820829908212543e-06,2.3427935412801557e-06
150,1.4609902905249328e-06,4.746150966639104e-06,3.285130993391411e-05,2.292573411052601e-05,0.00020944777643952967
200,1.4630581404162513e-06,5.106480148242553e-06,7.202367655736454e-06,1.8299536971255747e-06,1.49371520286683e-06
250,1.3855088241143676e-06,3.980400697400907e-06,1.1691276295096044e-05,1.933676556191699e-06,2.1551427374402893e-06
300,1.447165232093539e-06,7.665335670026251e-06,1.1840414226753658e-05,2.077463058185458e-06,2.4404148610892302e-06
350,1.318060014909861e-06,4.972752799403679e-06,7.354872655014369e-06,1.938937503496163e-06,1.9174546541050587e-06
400,1.2432347489266249e-06,4.187683657619345e-06,7.140431525840555e-06,1.6242044061698379e-06,1.4487074422801255e-06
450,1.4029965882400575e-06,4.610327323462116e-06,7.590337363581059e-06,1.7793765070450718e-06,1.4881170331859128e-06
500,1.3321184155756782e-06,5.5752665048203195e-06,9.039917640620858e-06,1.8037497842016137e-06,1.765297720627137e-06
550,1.2326730711720302e-06,3.844248931272886e-06,5.467883602250382e-06,1.6768172599057607e-06,1.2825795228638017e-06
600,1.229469376085035e-06,3.4225567105750083e-06,4.407789401739139e-06,1.5267967930299164e-06,1.0114438759270733e-06
650,1.2927160355502565e-06,3.521334849665436e-06,5.11647623170575e-06,1.5832942597171495e-06,1.0785611894327572e-06
700,1.2335510746197542e-06,3.7012084817433785e-06,4.725745857285832e-06,1.6189523655185667e-06,1.3588817847793775e-06
750,1.3586973750534526e-06,4.6217861836339575e-06,7.640046046617513e-06,1.8736374578054438e-06,1.5778951687629052e-06
800,1.187108409794746e-06,3.959523155572241e-06,6.890418067087015e-06,1.6362804802838581e-06,1.2986359200995488e-06
850,1.450297133942513e-06,4.733392393063695e-06,8.957904674389308e-06,1.9885652521622886e-06,1.8373142664977922e-06
900,1.3028839020989835e-06,3.7131871067686006e-06,8.94090318070085e-06,1.7909052074571719e-06,1.5079772625641384e-06
950,1.3898140878154663e-06,4.00281503516453e-06,1.2535286532511694e-05,2.7373141530517842e-06,1.001552140218235e-05
1000,1.4767230140932952e-06,4.161959918747015e-06,7.0354146646423325e-06,1.8840489383364912e-06,1.6680147091829244e-06
