trajectory_length,gt_median,gt_p95,gt_p99,gt_mean,gt_std
50,7.595098736601358e-07,8.142212664097311e-06,2.2758114555472287e-05,2.1501943041180025e-06,3.830378962930746e-06
100,3.548473586079126e-07,2.886103527544036e-06,6.994109480729142e-06,9.364198184691475e-07,1.8948715643493016e-06
150,3.629096170243429e-07,4.404954643177916e-06,2.081801995701244e-05,1.517453963972848e-05,0.00014209172259696076
200,3.169702438299282e-07,2.3603109298164765e-06,4.517896313700477e-06,6.760692303231509e-07,8.854524607598607e-07
250,3.1260539401500864e-07,3.414820628222514e-06,8.095223693089801e-06,9.161348445019258e-07,1.5608982283231688e-06
300,3.0552747887213627e-07,4.122982613807833e-06,6.98306728281753e-06,9.485713442991539e-07,1.7742119151048474e-06
350,3.0542857132331847e-07,3.5020771747440446e-06,5.41118163710054e-06,8.44930214931594e-07,1.3128044311224325e-06
400,2.9391645739451633e-07,2.7097196266367963e-06,5.02323871842238e-06,6.90770990843248e-07,1.2007930680477609e-06
450,3.468680631613097e-07,2.370006893670505e-06,8.743574526306484e-06,7.701180777530681e-07,1.459764661833508e-06
500,2.6504261541049345e-07,4.6414213557000005e-06,6.923151945557058e-06,8.268161791136208e-07,1.6859399121281391e-06
550,3.03848523230954e-07,2.643287882619914e-06,5.022227469453373e-06,6.82042117716719e-07,1.1671078943859998e-06
600,2.5641486445238115e-07,2.2457419731836122e-06,3.4564721318020035e-06,5.480956212977617e-07,7.330526130002247e-07
650,2.883221270622016e-07,1.9128487281250266e-06,3.4415163804624255e-06,5.281116779087825e-07,7.390732175075328e-07
700,2.9219384600764897e-07,2.4610289301563165e-06,5.007347731407212e-06,6.831423007014337e-07,1.0231891791694826e-06
750,2.8891135173125804e-07,2.4096509605442402e-06,6.8638308175650435e-06,7.996086539296954e-07,1.2955329476789273e-06
800,2.718576439519893e-07,2.660288259903609e-06,4.319421495893039e-06,6.683252563544073e-07,9.078648048315576e-07
850,3.542661630717703e-07,3.4620043834365777e-06,4.8093395571413606e-06,7.452946769959112e-07,1.0751165969257968e-06
900,3.8741119112728484e-07,2.4530759446861334e-06,5.860870242031533e-06,7.065088598601221e-07,1.1060591815845645e-06
950,3.453424852750686e-07,2.330031418296129e-06,4.357741054263915e-06,6.67648397385534e-07,1.036386111142738e-06
1000,3.724594819232152e-07,3.786566401231539e-06,7.190312021521095e-06,8.36727395210346e-07,1.326957158045034e-06
