trajectory_length,unguided_p25,unguided_median,unguided_p95,unguided_p99,unguided_mean,unguided_std,guided_p25,guided_median,guided_p95,guided_p99,guided_mean,guided_std
50,413.39237213134766,1388.5247802734375,8453.158593749995,18062.6140625,2655.316301612854,3371.8121482598435,36.88962268829346,377.2482452392578,3405.916955566405,10776.243095703157,1069.2747964978219,2188.149727441416
100,145.87653732299805,443.4004211425781,2874.6353271484354,4810.005336914064,782.0332634067536,1021.8926547176296,8.847066044807434,43.97480773925781,1020.6640197753904,1802.236883544923,185.5942611169815,368.9479372438329
150,104.62347793579102,430.46595764160156,2406.282934570312,4792.833549804702,755.0577126312256,1057.8712721941133,5.484227895736694,23.198137283325195,735.9398864746091,904.7165124511728,123.7074770694971,231.1510597303475
200,176.91947174072266,441.6930236816406,3065.3891479492177,5891.188535156253,854.5399436664582,1163.2357046631284,7.321889281272888,26.77254295349121,580.7847595214844,1552.7839147949228,121.79824595093727,260.9280187387261
250,108.20150184631348,358.0167236328125,3572.1863647460937,4445.678251953129,869.2387079429626,1166.3110942012481,5.76261043548584,20.17254066467285,689.3737304687496,1194.8227880859392,116.43480589985847,258.3789920937809
300,87.68510627746582,283.2731018066406,1941.5482788085922,3359.4672802734467,676.8878155469895,864.3208980466208,5.1036258935928345,14.874788284301758,306.85586547851545,792.7525097656251,77.3818094432354,149.29246112257272
350,90.33599662780762,499.44020080566406,3495.1686401367174,6454.199858398438,873.8871012401581,1233.7895936135567,7.808942794799805,22.124231338500977,492.1533798217772,1542.3746643066418,111.79926265597344,285.3446109653284
400,127.08788871765137,476.34971618652344,3168.9138427734365,4709.171733398439,853.7437648677826,1048.8954399868173,5.703461766242981,18.18580150604248,641.2584747314452,803.6584387207054,96.08869654297828,205.70227204127244
450,107.80911064147949,467.27223205566406,2410.430773925781,7254.1536132813035,958.867077960968,1985.813802546632,5.830151438713074,18.359460830688477,269.7299865722655,1457.5312060546894,86.01263255655766,239.14579873970266
500,146.64131546020508,467.73353576660156,3568.810205078125,8316.702822265628,881.4906320905685,1407.8390035500195,7.918155908584595,17.969613075256348,340.31926574706995,562.0104412841799,59.16110322833061,118.98073926251327
550,113.16544532775879,465.76123046875,2701.6108276367186,3925.9124414062508,736.1310132312775,864.4135080428653,6.782212734222412,18.377461433410645,327.56657257080076,604.5593139648448,63.89981370568275,122.72390931685663
600,115.28188133239746,361.6019287109375,3322.9700439453113,6952.381162109388,875.0951194667816,1410.571885748395,6.761396527290344,15.309904098510742,196.5362304687496,1059.6312261963205,120.74166748046875,715.1486459464377
650,108.09420394897461,326.73370361328125,2076.482397460937,8855.16003906258,903.3812444877625,2582.621691788715,6.372233629226685,15.640863418579102,136.9956230163574,393.10242874156415,246.06429591357707,2137.157295996799
700,164.83710861206055,472.52630615234375,3149.0348876953126,4333.618315429993,1500.0229137039184,6296.956178354102,8.333138704299927,19.803784370422363,240.46898117065422,455.8574688720799,78.99444479942322,240.41231136368492
750,126.93904113769531,438.1364440917969,2589.896508789062,5550.052900391141,1838.8175658130647,10434.126409085497,7.974573493003845,17.5916748046875,222.24518356323236,410.91268676758244,62.71246608495712,141.3060062595689
800,174.60712432861328,506.6374816894531,3888.129992675779,13939.808798828168,1206.1209583950042,2732.234720940418,6.7625356912612915,21.155261993408203,231.1943992614745,2038.0009948730994,185.82592485427855,1225.83628839498
850,84.16558074951172,284.57066345214844,3229.9222778320286,6729.6382617189,1189.8509489631654,3712.604707445736,7.258141279220581,21.28395938873291,269.91194152832026,622.9237463379013,78.14681369781493,277.1979591228027
900,130.39999198913574,509.6431579589844,3142.0846557617174,6553.830371093964,1350.3534281253815,4806.086793482703,7.760774254798889,14.014585018157959,316.9904220581054,878.4058184814521,88.2632069325447,259.4046923430839
950,94.11123466491699,319.5538330078125,3367.274157714842,6314.981474609591,1305.8813064098358,4847.9524246817655,10.415932416915894,20.112631797790527,292.13987884521475,1650.1269494629084,125.69641804933548,538.3106821967187
1000,94.91086769104004,404.6802673339844,2085.9070068359374,5094.422436524241,2235.6332896995546,15926.52918494425,9.020817756652832,22.043278694152832,247.02716903686505,1315.6325476074235,85.80559310913085,218.87170076599
