trajectory_length,unguided_p25,unguided_median,unguided_p95,unguided_p99,unguided_mean,unguided_std,guided_p25,guided_median,guided_p95,guided_p99,guided_mean,guided_std
50,429.20609283447266,1413.8619384765625,8733.6462890625,14054.427236328143,2578.4263373756407,3146.062243551217,32.76836633682251,385.6029815673828,3557.0056640624985,10731.169501953134,986.910967669487,1852.3729608185674
100,143.8476219177246,387.3968048095703,2923.6238037109356,4597.893618164064,769.7189242839813,1011.3532559096358,9.9695405960083,35.415178298950195,925.67886352539,1752.3508312988288,174.0182117164135,351.9015504609719
150,105.48398780822754,406.8745574951172,2598.0322631835925,4685.6934716796995,772.7057913112641,1045.2080342310176,6.041701555252075,22.02624225616455,772.3427947998047,852.6268853759781,125.14993589282035,235.44333755335498
200,178.19614028930664,499.55210876464844,2968.7241455078115,5747.767778320318,870.42088763237,1124.7211587554089,8.419059991836548,27.14784812927246,551.2712860107422,949.4506127929725,111.74746174693108,223.3612713343263
250,100.38490867614746,332.7345275878906,3647.889453125,4220.240610351572,860.3329476642608,1175.8232973121474,3.7608389258384705,20.57563018798828,732.4420837402342,1227.1304821777373,115.64140744566917,269.12155308243933
300,92.26857376098633,291.3198699951172,2293.068493652343,3529.1072070312575,668.3433234500885,861.6372439073751,3.346682548522949,12.109284400939941,342.6713150024413,731.7848168945321,75.56560500741006,152.06866658850026
350,83.73928451538086,482.8666534423828,3541.101611328123,5691.81882324219,855.5250852012634,1181.523890503249,5.734755158424377,23.730311393737793,564.7996582031245,1417.144594726564,111.46208240568637,278.45633149309737
400,109.90725898742676,410.76710510253906,3349.946643066406,4808.210097656251,833.9636759853363,1041.7472998772269,4.360596179962158,16.371504306793213,608.3299346923827,890.2407366943374,91.64539108157157,200.90979180072426
450,109.09679794311523,431.09205627441406,2457.6788696289063,7187.313730468813,962.2049870920181,2137.9539842782738,4.127804636955261,11.817845344543457,314.3427749633787,1436.6814526367211,82.83249117851257,242.92620052115774
500,138.22555923461914,453.69891357421875,3433.707885742187,6692.857993164072,841.7092816257477,1269.096511417282,5.412484049797058,13.150409698486328,306.8571838378905,550.1295715332031,54.758498421907426,113.39945595906335
550,130.22751808166504,413.9325256347656,2734.99161376953,3451.528317871095,726.3146416091919,873.274940744615,5.128917455673218,11.521842002868652,295.2733291625975,708.2164306640631,60.07128847241402,128.35142433761962
600,88.82040977478027,383.88214111328125,3147.8038818359364,7093.360844726588,879.9969763565064,1571.0674776779854,4.217758059501648,12.663970470428467,215.52751617431633,1058.4808935547305,138.2248182952404,935.5667451780082
650,99.2016487121582,348.4978332519531,2053.447564697265,9259.734658203193,870.0964096069335,2441.0247733153656,5.1626957654953,12.593504905700684,127.87754402160638,430.4281535340291,212.4060226947069,1840.9635146852436
700,142.6034278869629,513.1835174560547,2958.9649169921868,4456.266577148738,1454.6640326309205,6215.895054587275,5.2038233280181885,15.668476581573486,209.47601165771482,477.3994573974688,69.38595658540726,209.20459220679595
750,129.6120319366455,442.60491943359375,2808.069372558594,5859.5831689459,1991.7490890598297,11852.551166569703,6.598357915878296,12.258996486663818,260.98777770996094,389.03290069580396,61.916663284301755,127.81349410055745
800,188.46522903442383,535.0874633789062,4028.2859252929666,10934.102099609434,1190.464135541916,2609.861440858166,4.642382502555847,18.374661445617676,226.7937034606931,1042.7104473877382,145.50061485528946,932.8606165140835
850,70.67044830322266,284.6502227783203,3044.661474609373,8419.24447265642,1246.235806055069,4244.200084865635,5.707267999649048,17.844916343688965,223.78222656249991,540.102793884294,82.91415558218957,377.09290929671266
900,138.13439559936523,464.6282501220703,3190.395385742187,6357.497939453345,1351.7443780422211,4895.935783103462,5.667851090431213,14.958921909332275,394.2968811035155,759.0056524658277,82.83824810504913,248.39492708581864
950,101.08729934692383,333.32554626464844,3514.7050170898424,6538.363286133012,1275.2567288303376,4550.449532514587,7.8295509815216064,18.216983795166016,294.3053604125976,1689.9703405761898,123.3400628221035,545.5014335983076
1000,111.73151588439941,325.67657470703125,2240.6791992187495,5133.646425781815,1797.031124229431,11344.620624958749,9.55198049545288,20.94124412536621,260.9322647094725,1066.137520751957,84.63825059652328,224.0928835973673
