trajectory_length,unguided_p25,unguided_median,unguided_p95,unguided_p99,unguided_mean,unguided_std,guided_p25,guided_median,guided_p95,guided_p99,guided_mean,guided_std
50,486.7684860229492,1383.567626953125,9230.038085937498,17669.36689453126,2672.342856216431,3525.161529599163,25.294822216033936,407.0854949951172,3523.419128417968,10872.693232421918,1097.356103014946,2461.6041759664854
100,155.73562240600586,409.3507385253906,2876.655786132811,4503.477548828127,772.3684194278717,1003.7988478004619,9.828256130218506,41.47592544555664,920.1767974853509,1703.7373681640634,171.39331791818142,344.1249705646383
150,124.27401161193848,404.0322265625,2555.162854003905,4712.8855761718905,765.0934608650208,1073.991530465682,4.739367485046387,22.15608787536621,755.022149658203,944.3971527099619,123.2615395706892,234.05556347134058
200,181.6198387145996,455.17718505859375,3039.8830200195302,6027.293735351566,879.2219919776917,1179.1878097231356,8.0719393491745,26.150592803955078,521.8185089111327,1472.2036218261735,116.45383477270603,253.04421709416016
250,99.54474067687988,366.6835174560547,3710.5908203125,3960.1907763671948,855.6942876958847,1142.880730529485,3.195092558860779,20.876815795898438,745.8190612792965,1236.7838989257825,112.21295361638069,255.67189937868693
300,100.32880973815918,272.05259704589844,2307.958837890624,3572.8043066406335,664.8392570114136,878.4436787639728,2.716917872428894,9.943382263183594,339.0156097412108,695.881188354493,73.19137841880321,146.39683331922635
350,92.31200981140137,483.826171875,3633.971850585936,5463.733789062503,859.0894544792176,1176.0616324058328,5.343446731567383,21.780600547790527,522.1924194335937,1495.8888208007822,106.94354737639428,270.5507528140424
400,95.93674850463867,437.4480438232422,3276.9981811523435,4846.856489257813,843.8291439247131,1051.4352876874323,3.225120961666107,15.316926002502441,592.6114746093749,878.7424511718765,88.58595323860645,199.666401882712
450,97.03003120422363,418.62721252441406,2406.660412597656,6967.848486328183,931.4944823455811,2020.9554194692262,3.7863717079162598,11.023810386657715,287.8706222534178,1499.249799804689,80.41152500629426,239.49663774066428
500,145.5612564086914,449.85987854003906,3441.790747070312,5265.707573242201,835.0082919692993,1202.2072934044202,4.646636247634888,10.958088874816895,350.6402374267578,532.859140625,52.60167116701603,108.71093558082386
550,129.4874095916748,427.2904968261719,2932.600036621093,3617.3239355468763,733.6336202716827,887.9815648147542,3.9039278626441956,11.150983333587646,344.4604827880859,743.2549102783204,59.31509910464287,127.72149605191579
600,82.67803382873535,364.7183837890625,3166.1680297851553,7145.814013671901,887.7658687305451,1596.7461079951725,3.6397843956947327,10.173955917358398,229.26501312255846,1185.1799584961389,145.42082855463028,989.1346369882054
650,82.8609676361084,351.11244201660156,1992.8233764648437,8858.909824218836,897.9920744037628,2680.5009707696568,3.3534496426582336,11.415669441223145,108.9175659179687,451.45959609996794,251.54005193531512,2245.4756176064648
700,149.83605194091797,450.2383728027344,2928.5645996093745,4568.999609375311,1493.9269510269164,6411.802658989108,3.7388243079185486,12.57307481765747,222.57172927856442,430.5853652954206,73.6598273396492,252.37363890793065
750,140.18474960327148,457.596923828125,2673.4286621093747,5821.327231445868,1914.533480386734,11238.79522050375,5.342975735664368,11.821464538574219,275.64803924560545,368.6965756225617,56.5992204272747,120.47261646837883
800,172.88251495361328,469.8819274902344,4023.98811035156,10676.784316406316,1185.415758934021,2701.258867387654,4.283142805099487,14.92778205871582,234.6888931274414,1595.2271887207426,147.72422484517097,926.3661245003756
850,65.35914707183838,282.06581115722656,3046.7170166015594,8082.825283203321,1294.897924695015,4689.699125980443,3.9893070459365845,15.63450813293457,235.7282180786132,598.7156732177874,77.78867802739143,335.7375675617037
900,120.24344253540039,468.3049621582031,3113.552001953124,6724.05329101585,1370.556517057419,5043.47187932625,4.182357370853424,10.99974536895752,300.87018737792954,863.8454937744219,82.09140303969383,269.4474658941499
950,96.4919319152832,318.1489562988281,3446.94815673828,6395.36693847677,1271.8564057159424,4690.122886033751,5.550913453102112,13.620641231536865,285.24553680419905,1764.7040869140806,121.5968613398075,558.1834880579221
1000,104.18841171264648,331.8836975097656,2227.2314941406244,4996.333891602171,1871.882239522934,12167.232413463538,6.435341477394104,19.165146827697754,259.9764709472656,1177.1979748535193,80.9233244395256,233.16000731873507
