trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,1.624087313361125e-08,1.5217130554264881e-07,8.804332374849281e-09,4.251324720313758e-08
100,7.628263095913883e-09,4.905341181392971e-08,3.682155349362813e-08,3.114909145365559e-07
150,2.525851784117974e-09,1.2020167510264985e-08,4.037457395247111e-09,1.7847033994017272e-08
200,7.527978295888081e-09,4.062794264233875e-08,6.707499538151343e-08,6.013655477696928e-07
250,5.387318239766382e-09,2.4886071027572158e-08,1.7159527878262716e-09,3.6644375277337275e-09
300,3.494148737728065e-08,2.7300090512074007e-07,2.994855294338467e-07,2.9607701801632935e-06
350,2.3591500655688502e-08,7.801296083657311e-08,3.5038636007526076e-09,1.3630686222989216e-08
400,1.3992705004604622e-08,4.903734292506637e-08,2.1561724111067294e-08,9.871693659987366e-08
450,1.2329607567589882e-08,4.8823365408097225e-08,2.1107980833797104e-08,1.3624669839477212e-07
500,1.6126849901760806e-08,7.534247057820351e-08,2.3549092667728132e-07,2.286672163767168e-06
550,2.1837512793430806e-08,6.938344835176113e-08,1.5100235831429378e-08,1.2747953546073953e-07
600,4.0265449206251634e-08,1.3094973291512304e-07,4.062803729897137e-09,1.8290246612296387e-08
650,1.6537760427213963e-08,5.204959058957228e-08,3.105071271444662e-09,9.439862951328898e-09
700,4.399411468985303e-08,2.1660981326685475e-07,7.78938608587347e-08,5.324426899789837e-07
750,1.2274217046147714e-08,3.148948516019774e-08,6.3062426386584265e-09,5.0263219371690986e-08
800,2.168065908565824e-08,7.584827683120526e-08,1.7509294102223052e-08,1.4739043221971881e-07
850,1.392548867163836e-08,4.06301397290569e-08,3.9705006850312373e-08,2.2505128907071498e-07
900,3.706936257576171e-08,1.84031250932618e-07,5.261032380038774e-09,3.614194979219152e-08
950,4.180616669179192e-08,1.2508064478606874e-07,1.3377046008008767e-07,1.1658641544936033e-06
1000,3.540310159289375e-08,8.164041251539743e-08,1.9518429841147965e-09,4.617777691807483e-09
