trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,1.1274944532898643e-08,8.148588886875369e-08,1.3500609036050737e-06,1.3331617158712794e-05
100,8.738666534517376e-09,7.631418868874045e-08,2.098521021501938e-08,1.2245764069944155e-07
150,5.125914557105129e-09,3.469614158541341e-08,3.24721179108055e-09,1.551447496775999e-08
200,1.5614928893408598e-08,9.984467589554877e-08,1.0505173621506017e-08,6.113403794886773e-08
250,4.8243959091609975e-09,1.807630748101694e-08,2.246313277871149e-09,7.133178209939922e-09
300,1.2660465230383092e-08,5.68030456116886e-08,1.2093889453186822e-06,1.2012383191579537e-05
350,2.940618099188356e-08,1.1123920430874684e-07,2.2279609930694457e-08,1.9634408701590368e-07
400,2.2854145048978734e-08,9.869077495471522e-08,1.2624693256625208e-07,1.1633509226164725e-06
450,1.3090567460605979e-08,5.8288870714046986e-08,1.0898105573172058e-08,5.9095818010527855e-08
500,1.4827265587219816e-08,4.943786443896289e-08,1.1186366589491884e-08,6.56932044928761e-08
550,2.4986633146631564e-08,1.1627912235998971e-07,6.059229892192529e-09,2.2824808741511405e-08
600,3.143064626939256e-08,1.1531568962874513e-07,1.0689360146909157e-08,5.6454384870575375e-08
650,1.624475152716969e-08,4.0855251669118085e-08,2.5568001601451106e-09,7.919294653332487e-09
700,3.769917755017668e-08,1.4057910134901363e-07,4.6861831767784315e-08,4.0831012899483334e-07
750,3.636842470251528e-08,1.373520371583809e-07,1.5696238089385534e-08,1.3846251539915493e-07
800,1.6986743117518945e-08,5.79794705059521e-08,8.413865664240307e-09,3.9163607660302347e-08
850,1.4077274642122455e-08,3.5055758829598814e-08,3.746886656846662e-08,2.8860105197639916e-07
900,3.597059593902643e-08,1.2350840047576948e-07,2.080748333589341e-09,5.514841382078943e-09
950,4.354669639958077e-08,1.3798833650936806e-07,1.9018981553866914e-08,1.1025956918265544e-07
1000,5.381300781290496e-08,1.4387970186686177e-07,4.501203543829301e-09,1.9548179365089565e-08
