trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,2.143554106770973e-09,1.0819876598429421e-08,4.5526791030435645e-09,1.4266890138781476e-08
100,1.2390488351187581e-08,1.0072951848385312e-07,9.31746901576001e-09,4.490599789525476e-08
150,4.3349167220819805e-09,2.6086274166431106e-08,2.5328917223865283e-09,1.0861306486783456e-08
200,1.312805965272827e-08,5.6007018047575676e-08,1.6697137487206624e-07,1.6008706828410484e-06
250,4.312834162395167e-09,1.2165409510170988e-08,1.3417730329643322e-08,1.0953888133688982e-07
300,1.628545494400182e-08,1.301311225959297e-07,1.9106141342772503e-08,1.5245848233082704e-07
350,2.3670950396612862e-08,9.075448378496809e-08,7.113213347215525e-08,6.705672410404819e-07
400,1.1894356291881254e-08,4.884258180151082e-08,1.827186058159405e-07,1.6594288171380795e-06
450,2.475079168388515e-08,1.325975518244071e-07,6.536146458728658e-08,5.630403059010004e-07
500,7.996036564265168e-08,5.992667663959825e-07,6.425227167789044e-09,2.264221790747808e-08
550,5.878907776119553e-08,4.3804124298285143e-07,2.116421262772077e-08,1.2692459643141958e-07
600,2.878442801274627e-08,8.69818443830598e-08,5.72901039113012e-09,2.439007840621749e-08
650,1.7076386961663836e-08,6.546868241931167e-08,2.4741255756846374e-09,7.329078422024846e-09
700,5.384266480070803e-08,3.200977257392266e-07,1.360295375517127e-07,1.186697268014901e-06
750,1.559240264295941e-08,3.565530503713444e-08,6.591445073743296e-09,4.956317222467269e-08
800,2.2236430047137022e-08,7.216507599502151e-08,7.813578009329255e-09,3.7623710356222975e-08
850,9.509034863988421e-09,2.0127924805286676e-08,1.116644183599018e-08,5.5615322611136126e-08
900,4.9897854033233603e-08,2.354728593654376e-07,9.424484330606718e-09,7.876136673656088e-08
950,2.5110484349596676e-08,7.860377047212345e-08,4.949442132758519e-09,1.7162695422728043e-08
1000,5.4168189157878904e-08,1.38734489449621e-07,1.663858578820481e-09,3.0631667184226073e-09
