trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,6.352263704844222e-09,5.240329767496772e-08,2.8261852979877897e-08,1.774964612779769e-07
100,3.033542750489612e-08,2.8209023068824645e-07,1.9496681653361855e-07,1.8780034874634385e-06
150,5.164184582254128e-09,2.541698832735587e-08,4.0445165163617555e-09,2.2358418276194546e-08
200,1.4934673446867315e-08,1.0129937077572947e-07,1.633930360473186e-08,9.464000931582376e-08
250,4.423917830796695e-09,1.5411322787117074e-08,2.025784309269251e-09,4.680803536211482e-09
300,4.351633244213685e-08,3.554886344027459e-07,1.1428655210106369e-08,9.475824831174702e-08
350,1.6856361570223746e-08,5.1251926932069514e-08,3.782229923399452e-09,1.3699865702382621e-08
400,1.7299146518491428e-08,8.627183578418275e-08,2.088181496384351e-06,2.0550145141965403e-05
450,1.5660314784840122e-08,8.406648005426356e-08,5.6184961975105236e-08,4.606795652380184e-07
500,8.34190478149966e-09,1.903285188622709e-08,3.02496989254741e-08,1.8888595862507577e-07
550,1.8030456355072218e-08,7.578671573098374e-08,4.041599154508635e-07,3.983349434930128e-06
600,3.374522056810176e-08,1.0849116475024568e-07,3.58846903304868e-09,1.4169549897683665e-08
650,9.47180377934063e-09,2.7521402660241703e-08,2.45306190267942e-09,7.213086370442719e-09
700,1.0180533441113379e-07,5.051748967933984e-07,1.0154857025750893e-07,8.702392052343475e-07
750,2.5367399882326884e-08,6.099600050594376e-08,6.671191496178353e-09,3.932174829707623e-08
800,2.1866299475595184e-08,6.167915403732348e-08,5.073009210847193e-07,5.020154169502007e-06
850,1.9467792716275114e-08,6.862139790971654e-08,2.905733701784495e-07,2.6175846226068246e-06
900,3.339010950905957e-08,1.439677672826392e-07,2.6694988141686787e-09,1.271289580877452e-08
950,3.546292687139302e-08,1.0676532488997003e-07,3.882943613149125e-07,3.81800577861688e-06
1000,7.315557069841035e-08,2.884209633909172e-07,4.277250512451736e-09,1.8713055341051984e-08
