trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,2.693359928167618e-09,1.6077549824972135e-08,4.564233596732368e-09,1.4468574987293122e-08
100,1.4010208733793496e-08,1.003442063680537e-07,4.639842172663437e-09,1.485252842807191e-08
150,3.0305194610731595e-08,2.113849654942952e-07,4.732139850772456e-09,1.5205934456427055e-08
200,4.851096611900028e-08,3.187445576544074e-07,4.8411822810086366e-09,1.5561307403304287e-08
250,6.708433357349197e-08,4.0955718906886943e-07,4.965515304453203e-09,1.59753313912653e-08
300,8.394087563391342e-08,4.792579207128044e-07,5.0969575826030134e-09,1.6435427123637222e-08
350,9.795988725310823e-08,5.313690125847192e-07,5.235757808456386e-09,1.696574431516083e-08
400,1.0841927729316775e-07,5.658605099137238e-07,5.3873456175950745e-09,1.7614616685305452e-08
450,1.1730748136562649e-07,5.93599412166794e-07,5.545620206600552e-09,1.83609988803505e-08
500,1.24992163637539e-07,6.137543356382255e-07,5.701855472871369e-09,1.913920732817704e-08
550,1.3212485292253394e-07,6.320603909265496e-07,5.851122400110415e-09,1.9889992113696355e-08
600,1.3782726553500633e-07,6.4402825941921e-07,5.9926725862327865e-09,2.060612975591066e-08
650,1.4209249008532992e-07,6.497056302822875e-07,6.126926039518017e-09,2.1297470460800696e-08
700,1.4470026612076139e-07,6.469734500613864e-07,6.2539744300899134e-09,2.1961232650923136e-08
750,1.461562828015074e-07,6.400594735427372e-07,6.376674374502389e-09,2.2611664265977345e-08
800,1.4695904897416576e-07,6.322558098786106e-07,6.499720796646286e-09,2.327806953339653e-08
850,1.4713983579933336e-07,6.225870544628866e-07,6.623514876152738e-09,2.3966458249043944e-08
900,1.4711611965403208e-07,6.137342300746931e-07,6.7462086868494644e-09,2.4670843194850367e-08
950,1.478275162875319e-07,6.107480316026982e-07,6.8693064682625286e-09,2.5396492879820573e-08
1000,1.4918923603374665e-07,6.128733805112523e-07,6.996337968514285e-09,2.6155684880867524e-08
1050,1.50941762648506e-07,6.174686169385334e-07,7.132446544128003e-09,2.697391707817569e-08
1100,1.5307867526708278e-07,6.231865724473226e-07,7.280342868795972e-09,2.7867383348842046e-08
1150,1.5545004953558568e-07,6.286877662630027e-07,7.442144079627551e-09,2.8843021279360392e-08
1200,1.578915951208036e-07,6.335408501608792e-07,7.616564191542222e-09,2.99033524423957e-08
1250,1.5996421077396025e-07,6.356665521550083e-07,7.8006060676875e-09,3.1046354412241584e-08
1300,1.6154942336678436e-07,6.342647102806114e-07,7.993566435838657e-09,3.2280655297550944e-08
1350,1.625662429175035e-07,6.287011268335218e-07,8.195949906053837e-09,3.361160059641262e-08
1400,1.6320856456067866e-07,6.204336781545207e-07,8.407269033022255e-09,3.502335718952455e-08
1450,1.637149062062392e-07,6.114854770594497e-07,8.625409816631288e-09,3.6486052064856376e-08
1500,1.6408325331521094e-07,6.020474112651083e-07,8.847868374414961e-09,3.7987234838716536e-08
