sigma,trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_q_p25,unguided_nmse_q_median,unguided_nmse_q_p95,unguided_nmse_q_p99,unguided_nmse_p_mean,unguided_nmse_p_std,unguided_nmse_p_p25,unguided_nmse_p_median,unguided_nmse_p_p95,unguided_nmse_p_p99,unguided_hamres_mean,unguided_hamres_std,unguided_hamres_p25,unguided_hamres_median,unguided_hamres_p95,unguided_hamres_p99,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_q_p25,guided_nmse_q_median,guided_nmse_q_p95,guided_nmse_q_p99,guided_nmse_p_mean,guided_nmse_p_std,guided_nmse_p_p25,guided_nmse_p_median,guided_nmse_p_p95,guided_nmse_p_p99,guided_hamres_mean,guided_hamres_std,guided_hamres_p25,guided_hamres_median,guided_hamres_p95,guided_hamres_p99
5.0,50,0.001324417221970491,0.008785318596948467,1.3382306461948726e-06,4.6585815156378714e-06,0.0010124407147707422,0.03218626340560329,0.0002108117325831294,0.001957883000713583,6.618698756691678e-07,1.7115377544954152e-06,8.01323480343641e-05,0.0006200483747576555,5.825353969037533,6.899886019780357,2.0856271982192993,4.202690362930298,15.999290990829468,34.3587437057496,0.0001981372972845369,0.0008306320319608751,1.6615386795481516e-06,6.0493180274733314e-06,0.0008812600440623842,0.003757771334934507,1.93595599737613e-05,8.156610387094098e-05,2.819307834458331e-07,7.799242117537865e-07,4.709267124112495e-05,0.0004394406591618915,1.681056341379881,2.0162125347179636,0.5883680582046509,1.0403518676757812,5.382083511352539,8.83685849189761
5.0,100,0.00044908374888535875,0.0039992113662773,6.339215399655417e-07,2.238485201656424e-06,0.00020425225696056495,0.002636135929993694,1.6637151599430238e-05,7.630133868756467e-05,1.4216112379785458e-07,5.235136917927948e-07,6.807264671214045e-05,0.0002580835519445229,0.7313042964041233,0.8010253468166567,0.18487869203090668,0.3963312804698944,2.2388826489448537,3.734629735946656,0.0008680840080056991,0.004556987130930668,1.5867661575377123e-06,4.862086685050089e-06,0.001732011307613699,0.022933336249220615,4.089387406787939e-05,0.00038247324247413033,1.1197310146309368e-07,2.416590591813078e-07,1.6708333892025505e-05,0.00011418699467153126,0.1736346552800387,0.3083631062521548,0.052394804544746876,0.08645226433873177,0.7116208553314208,1.027187812328347
5.0,150,5.372497129589016e-05,0.00029464971931759357,5.544476122145604e-07,1.8410985023647918e-06,0.00021830011618660498,0.0005704596797876744,1.05400544675695e-05,3.349104989781129e-05,2.261081073744876e-07,7.925961252571011e-07,4.751418047679972e-05,0.0001852713226525992,0.4165196021273732,0.45628406651718356,0.1228135246783495,0.24271882325410843,1.2582233905792235,2.418318877220154,0.0006290308664999201,0.0033428807808887346,1.970184760519394e-06,5.6865077876720445e-06,0.0013606238562525299,0.015181909181678558,5.909057496739893e-06,2.3420779875547732e-05,1.367042121712658e-07,4.072449781327694e-07,2.9464669306492883e-05,0.00010753904259261733,0.07878432465717196,0.09344472337785578,0.03243299759924412,0.05440354906022549,0.18343553021550177,0.4064879539608974
5.0,200,0.00015907136370099453,0.0011113976716122071,9.726627601085736e-07,2.884605415144717e-06,0.00022524285869294112,0.0015922596157299396,0.006038634489368334,0.0599723793298419,2.3832282396280507e-07,6.495404620845468e-07,4.421799648576198e-05,0.006595179721215763,0.28517847146838904,0.2620238930538924,0.09552032127976418,0.1948619931936264,0.7836600184440613,1.2892027473449712,0.0005671858296823421,0.0023952786638009624,1.9011342661640088e-06,1.0085536520129176e-05,0.001570739572859258,0.013718104764976802,1.9948243549486994e-05,9.089002145172403e-05,1.743088870197757e-07,5.284822216638353e-07,8.569585107563793e-05,0.0003472192007397491,0.06055674467235803,0.05036179638135914,0.03203196916729212,0.045145973563194275,0.1700921572744846,0.24203515663743053
5.0,250,5.3957118791969126e-05,0.00021056269087803335,1.64668796646682e-06,5.233076350872255e-06,0.00014307735170057713,0.000841254032016936,0.00014510566051532082,0.0013346509726752244,4.116181196863157e-07,1.1709821018948933e-06,5.187934317269396e-05,0.0003601302200634216,0.2082238309085369,0.20281166832517558,0.07637182995676994,0.10931077226996422,0.6544701665639876,0.8207409894466416,0.00026086121576508265,0.0011399459108173788,2.9764917836955264e-06,7.291722448785967e-06,0.0008303295093936894,0.006712107858734834,0.00031717123301533494,0.0029031610477061377,3.464723350718008e-07,1.3644143937830932e-06,3.408541168448082e-05,0.0019896422603603095,0.05763302848674357,0.0657795394275589,0.028164717368781567,0.0397447794675827,0.1273382652550934,0.3913457101583481
5.0,300,4.283608679649175e-05,0.0001869779629342504,7.577526525128247e-07,2.0772726298643117e-06,0.00012266782787577523,0.0006480374474591137,0.029681768302812706,0.29297474469737567,6.443403961999014e-07,1.768037155586218e-06,0.0009615537068703841,0.03706007701483642,0.14665504252538086,0.11810875446496492,0.06612515822052956,0.10198134928941727,0.3837365865707397,0.4788114985823642,0.00017740468987647304,0.0008372879147806704,1.854998305670588e-06,7.233457019225138e-06,0.0009346094416661643,0.00243914070884624,0.00010636946910227032,0.0004998883188461136,8.706892345098248e-07,2.0489567302177406e-06,0.00043573855246567566,0.0015617806555956316,0.048277973784133794,0.04414172761603198,0.022295061498880386,0.033648671582341194,0.1619056403636932,0.2166794118285179
5.0,350,6.426215145640215e-05,0.0002831574560289024,1.0205113904876625e-06,3.874864200619715e-06,0.00015421794901854274,0.0012396488656613428,0.0004408539801530484,0.003971301738475583,9.700768437930685e-07,2.8186719523634454e-06,0.0001869184801406036,0.0016736679920920084,0.1265498198196292,0.0837573222073996,0.07239722274243832,0.0961005911231041,0.28076708763837815,0.40413459599018187,0.00030000839178209146,0.0014724638135315265,1.789428112847273e-06,8.60558711073475e-06,0.0004967018358320003,0.007157894614205498,0.0002452866255050382,0.0021746858519510726,6.466428866585556e-07,2.447426532192522e-06,0.0001469271147185588,0.0008322198532991335,0.04332929060794413,0.02947973524751388,0.02310697315260768,0.03818853944540024,0.0979998804628849,0.12527067355811639
5.0,400,6.387093138594742e-05,0.00027330997479686585,1.4710301667327707e-06,4.672938406409933e-06,0.0001068271401161286,0.0014165342095838666,0.0001262305231623395,0.0008554444180674151,1.5082040959723525e-06,4.7997420829883646e-06,0.00018550696307659682,0.0007853712505752491,0.09421929843723774,0.05424001504102017,0.057967002503573895,0.07875673100352287,0.20494257807731625,0.25231138139963155,0.00024535095614883315,0.000864657203709223,2.6157842677843913e-06,9.361509127383314e-06,0.0009907292452111158,0.004825739377741312,7.161632345761654e-05,0.000343976967756665,1.2753571337797924e-06,3.2763286517831274e-06,0.00020789346189379774,0.0012885700946121382,0.04936276728287339,0.0325779201849155,0.02677821135148406,0.03651430830359459,0.10086480490863323,0.13755937516689346
5.0,450,0.00017781676600773263,0.0007067054455030484,1.4939708946366131e-06,9.790245887275621e-06,0.0007409739245418406,0.0022713555329796687,0.0004466607256492988,0.0030039912692162983,1.6106187735276241e-06,7.076203243336643e-06,0.000717797737307934,0.006375263301068024,0.1053278580121696,0.0688910952842846,0.06109110824763775,0.08330538868904114,0.2336320459842681,0.3003218099474915,0.00011186122272646357,0.00033506922703671686,3.7227417938790506e-06,1.307452113691381e-05,0.00039897687188309805,0.002031111016610998,0.00017959442178695268,0.0007396924724376152,1.1579065098191723e-06,3.974217962825367e-06,0.0007511032813874602,0.0032865829655998693,0.04311708780005574,0.028508786769371824,0.02401114534586668,0.03781786002218723,0.09438216798007486,0.15294286191463477
5.0,500,0.00013995724263674464,0.0008296838574058991,1.2817431350642856e-06,4.717966087789275e-06,0.0005144019996128869,0.0010708055790851273,0.00047480827948199344,0.0034726092784887375,3.005293051062441e-06,7.791948478544034e-06,0.0005000221733131779,0.00784239029629227,0.1055836459249258,0.07033783338879716,0.06348086148500443,0.09031001850962639,0.24040302485227583,0.36767266958952033,0.00043243468764238394,0.002391524579595086,4.20677698638385e-06,1.7001616601506648e-05,0.001160502020887265,0.0035555119646139654,0.0037272739292178465,0.022472478707199203,1.5455705531606062e-06,5.223633222617052e-06,0.0009414232474960067,0.12310850356094331,0.04341123428195715,0.035738599005072015,0.021931405179202557,0.033369386568665504,0.09770104289054862,0.19043881490826625
