trajectory_length,unguided_median,unguided_p25,unguided_p75,unguided_p95,unguided_mean,unguided_std,guided_median,guided_p25,guided_p75,guided_p95,guided_mean,guided_std
50,13.308493025912663,4.032442492276479,33.816902774102985,91.86122154030164,27.2633643785863,43.566771929591695,0.9630322791532304,0.5095500249886906,1.9157958936480024,8.659679707200166,2.283941572088007,5.631041410834263
100,3.8964158806304026,1.3274631417106244,9.446721840026767,35.01012889851643,8.970738967027529,14.374836582238798,0.388082337503437,0.1700040493332033,0.9347073991170853,2.8195837441685594,0.813371270697718,1.0722964679478704
150,2.9275211721968226,0.8237312118624427,8.777468338476886,28.3870619550089,7.754805725722819,14.260234913575454,0.3224664771970728,0.17917780869503078,0.5494939162607368,1.6247109566833362,0.5200648344323039,0.6488607721013567
200,4.617612984618321,1.2888691319698697,10.525342385201196,22.41326504453245,7.374888730108389,9.347039993961232,0.29096285746098144,0.17123064488751502,0.5288612805141277,0.9909431511642595,0.40155632687145126,0.3295195645013433
250,2.874177858922724,0.8749246844669609,7.285234115912543,26.85289706441607,6.480177063045074,9.616101091913707,0.29074134381934513,0.19504624466670512,0.4732418563976811,0.9492632201324569,0.375241218863746,0.26155041379778676
300,2.8905730503104565,1.0087146040973267,7.4133810020034865,22.844868021043798,6.550007884491837,10.397956444946066,0.3118567490918568,0.22171212385818193,0.45344674735117685,0.8695045672786462,0.3888353596202079,0.2703811089764999
350,3.2491513852098652,1.2439052445734495,7.014711891778298,24.803532261901402,6.610104660412516,10.624113664304055,0.3363425314340194,0.2189904974702939,0.5005393552552009,0.8232461433834284,0.38721272189345546,0.2370874232104008
400,3.317146485811402,1.51730689289578,6.134614725891139,18.807021243065538,56.74088067223255,515.2524049793337,0.40195725908565483,0.2610729508676839,0.5106086550778559,0.7709808763281746,0.40321950836224324,0.20062305650700155
450,3.0073931341877516,1.3981301306834206,7.845878772172067,23.216484393611097,47.05371079587157,409.43497526719324,0.38215324747201496,0.26292076790540386,0.6194315148303957,0.9288607249305836,0.4662886771961323,0.26987285983886855
500,3.105534740481211,1.3190587688780682,8.019212498808523,37.49586887183282,130.86742967204583,1080.2502117663255,0.4178225230057985,0.2648186338127856,0.6974621386633856,0.8987566542739076,0.4894796515954678,0.2934921239411815
550,4.134192075844549,1.4255283934270384,9.075639585387636,36.832361412733285,285.5317189395107,2706.6051518632776,0.44285299564735314,0.32348374705937105,0.7216248023269123,1.153023124288459,0.5405254645110903,0.30166347970894924
600,3.685969418885014,1.374387643897829,9.78836733429711,37.59779012768384,62.940851774514094,394.782608384407,0.469303018554658,0.33686715825691865,0.7171965793001466,1.2621151457570627,0.5714625817417257,0.3391458698893645
650,3.5884792741948326,1.6340071648195682,9.854727851726286,31.123623329245397,291.8783441359719,2664.0033764257873,0.6087539320165765,0.38872044633831765,0.805883180338057,1.2980974908565586,0.6478977631280426,0.3330590180783459
700,4.392309567785388,1.8022040808866815,9.926849585886133,28.489362898369816,96.35687682400012,817.9159729685817,0.6001799400634307,0.35559885981721817,0.9319442227847075,1.4190429196553247,0.6850392810140689,0.4043737541436969
750,3.975590886071126,1.8615443515590908,9.496610760584774,29.635803255606906,141.1414854588692,1171.5137471641724,0.6928690797203638,0.40627687275076574,0.96826637056132,1.5206545931440023,0.765073144157396,0.4784006320850836
800,5.2772865597709995,1.7545459688162794,10.981386399735747,26.642678480764154,102.55153655379198,793.9094592736415,0.7616265627434899,0.4837051655036227,1.0427621449150994,1.7264948852190596,0.8413071657110405,0.4996855528918696
850,4.504493406265068,1.7445182068604488,10.306843460803332,28.375590159424693,110.17860788323708,820.7535357035746,0.8040341755923761,0.5263278643714571,1.1685665367875102,1.9879380965858815,0.9161051485137831,0.5437827441986328
900,4.270931021266934,1.816192236600207,10.045685688678242,30.98320772874922,68.69454693632686,558.8933529835344,0.7942039134893072,0.6099945509029395,1.2310435382929446,2.01557642346171,0.9802381154270163,0.5447137162566533
950,5.962139325824022,2.5256519790243077,12.735377770373827,29.38661659292469,127.89428848322612,1159.6166559681885,0.9131964983849776,0.6264650776423942,1.2801394863931508,2.1406408183591625,1.0284656111109947,0.5836383427662826
1000,4.647564873232597,2.5836097060171177,11.699964791368807,38.779549602692356,98.4821873752699,880.0097429263606,0.9528800400303044,0.64294404032363,1.3690636112312393,2.21444422220599,1.0854886814760385,0.6011993299316055
