trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std,gt_hamres_mean,gt_hamres_std
50,0.00026318608806343816,0.0007525924939029182,0.0034201467960954766,0.017594036864268407,3.168401503985352e-05,0.00012972277931820635,0.00044071691289573396,0.0025855285797092994,2867.4952832603453,4662.624059075,6.235686980932951,19.246389363858903,1.3823038568885714e-09,3.2083251895937097e-09,2.746915174078648e-09,7.355989634372827e-09,2.130782416998045e-06,8.500874570163913e-07
100,0.0004301146311666827,0.001776767959273842,0.019447464593863886,0.19117143374295525,0.00011326624222149077,0.0004084046696643231,0.004099148555096903,0.040663323459888365,822.3901752376556,1156.1796183465267,1.8819450435042382,2.9207406287931112,1.2192264082179252e-07,3.617870990333573e-07,1.1948809518142614e-07,3.5756950311846956e-07,5.004721651857836e-06,1.956151073056305e-06
150,0.0006168715355050734,0.0036907990056110995,0.00023659204951778943,0.0009967804457570613,5.674140253954632e-05,0.0002612841095406414,2.6258868167428882e-05,0.00011758822036080497,686.5206820106506,1095.961594099139,1.0286623638123273,1.520908595466831,1.306665806604548e-07,3.8956910119788583e-07,1.221846249386489e-09,2.228811019126116e-09,7.805840596120106e-06,4.098456167141317e-06
200,0.0004173698885621418,0.0014816288784600372,0.0010743270804574687,0.006104005520163359,0.0001522036083225455,0.0007175761590815175,0.00016590052040157876,0.0010566925586037717,699.6964909744263,892.1035273142887,0.7264059765636921,0.7609954248767725,2.283301272779579e-08,5.949842149908287e-08,2.0139602818875952e-10,2.429911422466383e-10,9.204514162775012e-06,3.9980686298538206e-06
250,0.0006640226930621545,0.005068250542112269,0.00015119199611855955,0.0005434999702829768,7.541001607456771e-05,0.00029191242753804557,7.839825398484703e-05,0.0004454842701228425,618.5402627158165,949.8776726638457,0.5948721522837878,0.6285774826601512,1.7927210632876098e-08,3.796078570031538e-08,9.658386133648008e-09,2.7918506684668406e-08,9.95706511730532e-06,5.306769481957591e-06
300,0.0004078966267919027,0.001971262357766705,0.003079423858336633,0.026721577143364858,0.00015589045110093154,0.0009129295803177816,0.0019383123064615542,0.018768329141843575,624.3757704830169,1003.6595697788501,0.5714552545547485,0.6848771564513699,1.245298145431818e-08,3.2244830822442814e-08,6.738941021863382e-10,1.287220207032589e-09,8.260763206635601e-06,4.247610307549394e-06
350,0.00018023392535304608,0.0007173216279662444,0.001881183956115094,0.011004442830549497,4.063899269186943e-05,0.00015259223878701252,0.000291718629186135,0.001455753672224528,627.6948756790161,985.2770587982881,0.4820948413014412,0.40155060171666296,6.032705668415616e-09,7.0483329847464015e-09,7.2172054801611735e-09,2.012734657302117e-08,8.431188371105236e-06,3.1992742949911706e-06
400,0.0003683594847116306,0.0014127829016261344,0.0007431948996935085,0.0032290352570006537,0.00015712817011646532,0.0007596924617358998,0.0001581837487705539,0.0007984154047741095,5330.069625897408,48364.92949007848,0.42528186954557895,0.23465305113564278,2.08561033163301e-08,5.4496424995276e-08,1.4580901499307442e-09,3.3522392622742347e-09,9.16160906854202e-06,2.7724404970865445e-06
450,0.0004691417508890212,0.001502799990253962,0.0012123845483560682,0.008515078587188992,0.00024647839393130566,0.0008847529972710393,0.00019508151938698245,0.0010060003965244792,5140.958065085411,45495.821041979965,0.47879971712827685,0.3294564488096346,4.801616210268957e-08,6.714959492392644e-08,5.987344971917626e-10,1.1541984274047715e-09,9.396309360454325e-06,2.5230562479181704e-06
500,0.000775030793845749,0.002264507743841711,0.0016487282091365502,0.008513569387795412,0.00029118837071853985,0.0010099273168113708,0.0003657556810133965,0.001907114647874677,14084.858269891738,116798.27469779206,0.5063701332360506,0.3777567683180277,1.6487661694887784e-08,3.389616387395287e-08,3.1293421621553967e-10,4.445691750260447e-10,9.176399998978013e-06,2.850948262886181e-06
550,0.0006153468970381061,0.0020139498756749567,0.0007593611380571173,0.0033387130427453325,0.00025589215579801275,0.0010919001711950874,0.0002976784449285481,0.0014052066444514577,28857.404311637878,275046.40227132087,0.5270625002682209,0.3822559367535373,3.555648080061541e-08,8.222123413404882e-08,1.5353619460588936e-09,3.9600515157656136e-09,8.907592609830317e-06,2.857505974255215e-06
600,0.0003261749673950784,0.0008641258600038336,0.008900581901386085,0.08672181052647379,0.00011976448071028682,0.00031944643557025416,0.005301900060517141,0.052068520708289906,6705.096058292389,42632.20217432725,0.5251649340987206,0.3510472005791714,5.532593918491672e-08,9.439357148214833e-08,2.784664930867037e-08,8.174698185439556e-08,9.220361289408174e-06,2.7186826879623356e-06
650,0.0007122802396044313,0.0026206111010260292,0.012016361251932966,0.10002572475183043,0.00024288492500015586,0.0007514171805111405,0.003928005185101805,0.02707597960319672,30607.20553495407,279818.3385991361,0.577020302861929,0.36306645186073233,3.201609658029823e-07,8.865163570379762e-07,1.4197201032130788e-08,4.143902730840977e-08,8.746130697545596e-06,3.1990910447614336e-06
700,0.0005248170486515629,0.0015191742910203555,0.02482067237753652,0.21222291461348783,0.00016600215888516026,0.00045305963267210775,0.03784521642122105,0.3422577813667567,9844.974702453614,84140.83266656788,0.5357418994605542,0.3013769808068972,3.197896965600207e-08,6.666271041101587e-08,4.148966126325419e-10,5.237455921902927e-10,8.698164629095118e-06,2.7486112615573336e-06
750,0.0003934614660019977,0.0010779779166146812,0.005596642172574925,0.03755571171632039,0.00019392506130290555,0.0004972246223953509,0.0009675607246158125,0.003955109394400262,14535.327814025879,122765.49377891638,0.5508044683933258,0.25793510917436335,5.2114702633087544e-08,8.675711053020422e-08,2.1962818509554837e-09,5.327008205156588e-09,8.9348160145164e-06,2.386137868491771e-06
800,0.00044701499997108215,0.0012256377071036923,0.012176266413825182,0.06631727623960262,0.0004030233082117476,0.0016742624973911603,0.012712356229416234,0.09200225243070564,10120.986751356126,79251.31201954914,0.5543971632421016,0.2535020299477769,3.626379778847574e-08,6.377432982845557e-08,3.4158510380420177e-10,3.8799742244142367e-10,8.602128536949749e-06,2.475961262986609e-06
850,0.0010381244319204019,0.0029098258801841886,0.0008569817038869426,0.0023059489383916915,0.0005244740085680895,0.0017916014039616168,0.0007471627671827457,0.0019910754618720867,11519.978495178222,87179.84351673466,0.6268725863099098,0.30665474832921014,8.346162539384044e-08,1.219508408522515e-07,1.3702570674767002e-09,2.3440457151513646e-09,8.720069217815762e-06,3.3203817836868032e-06
900,0.0015887522606135582,0.008283592131993972,0.0013278806465019293,0.003872960137451582,0.0009268374608342487,0.0056857096213839275,0.0012510336135835892,0.004197795342372781,6187.799614734649,51266.5337649876,0.6312881499528885,0.25991645609138847,4.234179706019864e-08,9.389025264110182e-08,1.24470019854423e-08,3.661632686728617e-08,8.400834849453531e-06,2.4973182045102562e-06
950,0.0007254796191499198,0.00223985062122331,0.004831779430527577,0.034282135346316495,0.000433331918926147,0.0015482788147589072,0.004401511574977925,0.028942286203269184,12082.543887796402,110740.29960804574,0.7092831793427468,0.3130073043480854,9.189569953894767e-08,1.5048618668305693e-07,4.467060141255302e-10,5.623179080099104e-10,8.587897082179551e-06,2.3627161576044316e-06
1000,0.003281810707775537,0.0231387161572042,0.0006728770832783279,0.0018909410121089217,0.0006779980396607902,0.0017334948637503676,0.0005765329143122099,0.0017385504135840851,9498.550334224701,85961.51367227452,0.7235852961242198,0.3008766241300241,4.5789130062301294e-08,8.095210888422942e-08,3.766513112655294e-09,1.0203114048842299e-08,8.470776356261922e-06,2.520894805112557e-06
