trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std,gt_hamres_mean,gt_hamres_std
50,0.00025717246562589376,0.001108286995528009,0.001533839245568417,0.0064802996544119475,2.8125791507381744e-05,0.00010475649537236696,0.0002836676395987921,0.0018340344662172712,2852.293412399292,4538.0365945017975,5.499735964015127,14.596232801272498,4.93850623648779e-09,1.4166081253184455e-08,1.900397222133496e-09,5.5880226091071956e-09,2.083514901869421e-05,1.7500311247579303e-05
100,0.0003410069253814343,0.0016083466156876691,0.019205683468148927,0.18736961668791507,6.223050813578156e-05,0.0002296340072915315,0.023113618128300626,0.2297060028214912,797.8017424583435,1151.5362506133847,1.8621442676335573,2.774614518418254,1.9390821386421726e-09,3.5331100195744264e-09,1.2957452947994988e-10,2.1322461975171312e-10,1.886372685930837e-05,1.2180596127446877e-05
150,0.0002458446619344123,0.0010273823162415378,0.00027996295403394356,0.0011845956665145721,4.277769702566688e-05,0.00020334675038047512,5.5256998143722434e-05,0.0002559488869551795,689.9066166687012,1123.509892227024,1.0945176419615745,1.542141587339508,1.746859107465521e-09,1.7850275034963494e-09,4.917912918137101e-10,8.793189695000852e-10,1.9971587630607245e-05,1.4461786998747593e-05
200,0.00027059450226218007,0.0008465056682725148,0.005309832974896882,0.04250933722910091,0.00013279460216682933,0.000637740387857556,0.0003295632088211174,0.002353478897511252,712.2992931509018,907.105556543878,0.7845206834375859,0.7664132408264,3.632210674968445e-08,9.021532721725209e-08,3.889912147017002e-10,5.18318912793706e-10,1.9938255286433558e-05,1.2994663334954705e-05
250,0.00032725106984087053,0.0015723227494947834,0.007633988697152019,0.07454178154720413,0.00021210426879721218,0.0012185933426392774,0.0003228828613672037,0.002193315704280652,633.3690463972092,967.6902146196463,0.6855908942222595,0.6124242355126694,9.311818872168871e-08,2.7701716391964004e-07,9.994490552092715e-11,1.0363628823278338e-10,2.0054189303664315e-05,1.2664492730334413e-05
300,0.00015198740513805743,0.0005051049236482696,0.03392765412254946,0.21351838413772992,8.292504499733794e-05,0.000387556865762043,0.05281678819594335,0.3072682419968971,619.0698565816879,998.6328261614808,0.6663778295367956,0.6362211074206372,2.434315419130708e-08,3.886973467389777e-08,3.4048736183582744e-10,5.406147537773522e-10,2.0798661216758775e-05,1.3968668945396249e-05
350,0.00022844705695838102,0.0008023606146787182,0.0038258350424870925,0.026730495041652425,0.00011284308076575594,0.0005776267070672911,0.0017750622702659789,0.00985671276642818,618.9443426561355,995.2670733935087,0.6076363788545132,0.4526461637329951,5.705903477410135e-09,1.0045468706662877e-08,1.927812609827063e-10,2.253806101112638e-10,1.9410679169595823e-05,1.2259019412893794e-05
400,0.00021236904391753466,0.000607106388901947,0.0003963811887466557,0.0010884843049586853,0.00014786614805246067,0.00040998239701084453,0.0003953837616032512,0.00162996082798275,5631.006169166565,51390.6034501559,0.5736614240705967,0.3063257047852865,9.666279421593651e-08,2.339572376279547e-07,2.1952112938502937e-10,3.135647253128754e-10,1.971824194697547e-05,1.2189919680387806e-05
450,0.00036081944172681345,0.0011975770518661867,0.0007121333413273039,0.0038656680863864297,0.0002686101892600539,0.0008448038212383907,0.0006504469987223795,0.004216049166781835,4721.745329246521,41586.215002832694,0.6638489343225956,0.4417058583366654,1.091912728545405e-07,2.1910319363781677e-07,6.739377240267923e-11,7.35442394660555e-11,2.1432959192679847e-05,1.3718739843463255e-05
500,0.0007787892053747028,0.0029336481734315704,0.004628430937997374,0.030646704077851104,0.0003587804939346233,0.0013555422855479424,0.0033711630166683437,0.025333193047653503,13152.289365792274,109317.71187726628,0.6796741834282876,0.441289234728372,7.31430587690013e-08,1.58078150390432e-07,2.67154687158727e-10,3.9631646731880744e-10,2.0782766387128505e-05,1.2754777190329676e-05
550,0.0004597584412088873,0.0011310319150625184,0.006446453967779994,0.037424306611151315,0.0003498256808954817,0.0012284816435545296,0.005976321164232884,0.040958229692959515,28689.62219742775,272948.60228836053,0.7409767191112041,0.44616240242980826,2.994893759432693e-09,3.218103262918107e-09,3.723539623780511e-10,5.837506915072052e-10,2.1309955127435386e-05,1.2973471707691588e-05
600,0.0003892464084557155,0.0015549862909908544,0.005926773115418429,0.056531695335933205,0.00013898068734701419,0.0003226535218969192,0.004081316211268646,0.03887816767381246,6315.296987309456,40103.2392460167,0.75828165397048,0.48907656547439465,2.638625722426834e-08,4.4747378319075106e-08,3.6635397494581626e-10,3.957541703635166e-10,2.1601359730993863e-05,1.3385084265565335e-05
650,0.0006925185622592235,0.003163402214551664,0.012015413128156764,0.09071375979916448,0.0003713201692863912,0.001717610594653559,0.0037796224713096817,0.02442184374322312,29380.624639577865,269188.6656992924,0.8486828821897506,0.4363580184007251,2.712361988425647e-08,4.826415769796252e-08,1.0892352897160589e-10,9.742220777935541e-11,2.1476533311215464e-05,1.343999610347074e-05
700,0.0004254126668715629,0.0013039360015631584,0.00865847941013171,0.0643261607013259,0.0002179767786108476,0.0006038044823842725,0.0034135920797565677,0.020309512339588793,9689.366241855621,82971.90447321514,0.8553529158234596,0.46931411178350624,1.5810230298084577e-08,2.0528001767633423e-08,3.663340480854894e-10,4.446938722638436e-10,2.1857858564544584e-05,1.2720615921901613e-05
750,0.0004614322886589811,0.0019155163823487702,0.003830059239910957,0.03018983358787492,0.00033287110651385654,0.0015018674692347618,0.0007953942925028636,0.0030138113414851105,14169.34682938099,118387.35544087061,0.9545506575703621,0.5483698630404925,3.823589944817023e-08,7.670060069908905e-08,1.3752581732884842e-10,1.5277459519798217e-10,2.1352190469769993e-05,1.128363398250321e-05
800,0.00039128685211332225,0.0009505971585383077,0.014221370624896512,0.09630675294986754,0.0003411617120259802,0.0011870382124350232,0.006418312508431688,0.04391453218078961,10248.809495954514,80381.67772908673,1.022694160491228,0.5508019430532611,9.14852953958653e-08,1.5946217131296019e-07,3.888019744922492e-08,1.1509992377289237e-07,2.128771370735194e-05,1.1748379198389753e-05
850,0.000804535038045788,0.0023123919673649356,0.021052276304743087,0.13721307708650535,0.00039762173996145395,0.0011075924518282058,0.02855949772976559,0.19898159905905496,11006.817474303245,82809.23359274727,1.1120688632130622,0.612405296570657,7.026165779342794e-08,7.796372543043393e-08,2.0781673251253787e-10,1.4527207979283824e-10,2.2540135523740902e-05,1.276533456489061e-05
900,0.0013121234076643978,0.0047364251352684005,0.015544356968403047,0.1401559618275402,0.0012012437600238469,0.004850595639779611,0.011361275813086933,0.10149488496453807,6832.046188554764,56695.56190171547,1.169386297762394,0.5731530923560781,3.4371365354196354e-08,7.4280002579505e-08,1.733597776545094e-10,1.8070063840994148e-10,2.2644410137218074e-05,1.1936802732705271e-05
950,0.0007173616668146955,0.0022203092667257463,0.003096937491493446,0.017434031746741022,0.00045149968316344753,0.0015467718090396028,0.005181156505268862,0.039253561791535045,12772.435302391052,117194.03298457232,1.2480311250686646,0.6391982297951865,8.20553456877987e-08,1.3908962788648346e-07,4.0607121146336505e-10,6.071475396983025e-10,2.168689111385902e-05,1.1725860616657837e-05
1000,0.0040430523784857255,0.03098893021416186,0.0024322611753803693,0.012106726213896553,0.0008172014315279609,0.002368068290307197,0.002381873571263359,0.014225337168415734,9802.327258329391,89002.02271785199,1.3177063685655594,0.6513954104439444,1.4231928314434028e-07,3.3384721584727377e-07,5.3597973080332816e-09,9.192236763584199e-09,2.183941569455783e-05,1.1826760402780791e-05
