trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std,gt_hamres_mean,gt_hamres_std
50,0.00037522975684493767,0.0020957904959959194,0.0015270138733878996,0.007431225266393516,0.00010911109170745355,0.00042802835468954797,0.0010556725088449917,0.009003950162464799,2887.5131180381777,4499.890018987434,7.900619363188744,15.541027779249573,1.0040012741559464e-10,1.2378859270054439e-10,1.5376820099575928e-08,4.564508281787202e-08,0.00029782564924971664,0.00014197573767702127
100,0.00034291717018077706,0.0013536721065597363,0.007066112894971702,0.049428853892905564,0.00021055418629133433,0.0008152933349321533,0.0030231112625981405,0.019869005614232455,807.5873126888275,1159.2904698218133,3.170436708033085,3.2408849416077046,1.4966225923486688e-09,2.9015621428257326e-09,4.555466903969381e-09,1.2484632261746367e-08,0.000215189867594745,9.578543037121583e-05
150,0.0010045163924859285,0.004963672561314911,0.0006344088662562994,0.003087374011010042,0.0003243027371008826,0.0021400337038894835,0.0007484225799059253,0.004265920419263719,711.5256609725952,997.3106394829342,2.42608922034502,2.0450171850034593,2.264275857512343e-09,3.452298152406678e-09,2.5231584432507176e-10,3.3803950426494086e-10,0.0001957014670551871,0.00010188167633600773
200,0.00045271208469489695,0.0018237358980096128,0.0012753147885960134,0.005056526048382694,0.00037541735326960006,0.0019991124566417157,0.002359545662752828,0.013330483737787883,757.7350728607178,913.4021507447449,2.353363018631935,1.4596909250957917,5.060364542153274e-08,9.05403825707503e-08,3.876032258169041e-10,6.126092306721767e-10,0.00017853773388196715,8.885374704183589e-05
250,0.00029419394791055235,0.0013510645962743365,0.0009736364005170836,0.004669660941798467,0.0001833212243494591,0.0008194418471805068,0.0013065613573380042,0.007880453960834664,675.4043649053574,1028.4197155578593,2.6142208194732666,1.506330071724139,2.7448705741726337e-09,3.4238256184136852e-09,4.366866687118562e-10,5.29397273936363e-10,0.00016488814035255927,8.144706766528469e-05
300,0.0005048524514541082,0.0025552702337870267,0.0008891234558977468,0.0033303863696003354,0.0015727923965253765,0.01294134761712524,0.0011856095211304166,0.005876646710624242,654.3506387615204,1032.7961850022225,3.0588933455944063,2.0387630780779022,3.302616168696689e-08,7.729431364056106e-08,1.9705987248438641e-10,2.367849771974817e-10,0.00016119934152811766,7.734803675964153e-05
350,0.00025306739462251906,0.0009818751524663027,0.008857628948084962,0.07069565816242894,0.0003707552455761639,0.0015983837150666694,0.013759507713070926,0.10561624379173357,679.7983823299408,1018.0101511170867,3.469164747595787,1.8650325165336243,1.8160003371234134e-07,4.6122880326988006e-07,3.83361551867509e-10,4.875198043918262e-10,0.00015132517910387833,7.084777328866222e-05
400,0.00021341287003980177,0.0005308743818980057,0.021257891717179157,0.1468529545123875,0.0003682195334378834,0.0014888307903758906,0.04471179899524355,0.32341639477822,5046.529477176667,45211.068936507734,3.8848046571016313,2.1203103708268274,8.873105235061955e-08,1.515312657256635e-07,2.3754027514993044e-10,3.526476862834092e-10,0.00015652232723368799,7.235140617701372e-05
450,0.0008943226493614631,0.003290760054892611,0.0024263014204414786,0.01908287126459171,0.0005932990672705278,0.002238234140445673,0.005996112727599677,0.053324222955434056,4800.256659927368,41863.31996910397,4.323162120580673,2.141253853093783,3.860562650650918e-09,3.2267736333507547e-09,2.242513895544887e-08,6.665390664987434e-08,0.00016472629140480423,7.601358565918713e-05
500,0.0038776972013964055,0.03274653050386216,0.00551454807938632,0.031291593993086,0.001731839925274246,0.011299959652522262,0.0036758598117451074,0.017140007190448454,14788.321478500366,122270.05444072485,4.977517340183258,2.458432251711355,4.2453936454272866e-08,5.8936945333508303e-08,2.362435228120237e-10,2.3075729853948706e-10,0.00016587582213105633,6.926306051978968e-05
550,0.0011888412158170968,0.0036655818918952744,0.00162051704082112,0.00917484754725298,0.0016477567984665084,0.009368943140251189,0.0015540025031350365,0.007101648830011488,30140.208101997374,288833.7259129713,5.182289518117905,2.3233159322631978,8.787197769666766e-08,1.8115355873450657e-07,1.7708924240312742e-10,3.3108439682651746e-10,0.00016545117905479855,6.222302705351452e-05
600,0.0005070149586660894,0.0016729449897323711,0.0022327117824243563,0.018530129781103986,0.0005334627365180616,0.0017025292819728222,0.004170526197996651,0.03775459611520749,6224.4306869888305,39567.20850107513,5.781733243465424,2.701353067509512,9.256876731669024e-08,2.0128064992844865e-07,2.9585176497211364e-10,3.2575743745034035e-10,0.00016629178753646556,5.9870010779658715e-05
650,0.0005999620039114732,0.0016952128983951447,0.020134152032398628,0.13061135847259442,0.0008050508724736072,0.002630897887961468,0.028238566664125487,0.253205099215528,29806.030878562928,271321.4987885476,6.362058269977569,2.83107825318408,1.4409994503971416e-07,3.8264483739332315e-07,1.2557599153894076e-09,2.0245991854295803e-09,0.00016880199473234825,5.6927099491805974e-05
700,0.0005543085267040062,0.0016130561178481267,0.01019801026606956,0.06741728483773304,0.0005533288433058531,0.0016622340720959619,0.008067174454518837,0.05317816055461484,9463.554912662506,80353.2722768388,6.801446262598038,3.170576321945647,1.8818333299010766e-07,4.2854112066295594e-07,2.5775971463592754e-10,2.8747351695950586e-10,0.00016724292509024964,5.723107900738272e-05
750,0.0008179506514848442,0.003524187749439399,0.006043900152746418,0.03887421000251899,0.0010983988649603497,0.004589230635775482,0.0037078440762607517,0.02354341494390248,14541.846491861343,124362.6875709795,7.438295782804489,3.779529067849488,4.7041947989482764e-08,9.570258060043126e-08,4.781898562961481e-09,1.2923385513065971e-08,0.00016352896127500572,5.7228484636521406e-05
800,0.0012581387387503285,0.00436619098146614,0.010902555228405757,0.061215547309533186,0.001569530758131247,0.006158443384682449,0.011027084995581617,0.06139527180340395,9824.756913337707,77648.82957077044,7.932661728858948,3.810694306049661,1.2411562667546282e-08,1.6899168354029095e-08,4.2829819397846284e-10,3.8730055008542844e-10,0.0001639841233554762,5.776218438824453e-05
850,0.0009712827861152079,0.0029193775519664204,0.01403065824153471,0.10820248598134255,0.0015107287611083589,0.004912141342329029,0.021549215139030197,0.16194837568921033,9841.485607433318,73671.82201374437,8.289322904348374,3.741093268872212,1.783817781526234e-08,2.0327095064105903e-08,1.6828841872515563e-09,3.483972327137911e-09,0.0001633602543734014,5.705656994357288e-05
900,0.0019192003278501418,0.009617470300899432,0.0021996699869252984,0.0065515777704429415,0.002063038568403971,0.007034071482693418,0.0029959556480724397,0.01223155761042361,6849.423085765839,56950.62163434171,9.065786509513854,4.13897201899471,8.191619121949642e-08,2.1273918556570593e-07,2.359005365625236e-10,2.6118486001620955e-10,0.00016774979812907986,6.261377166345832e-05
950,0.0007517692070688588,0.0017885691008824316,0.01508714257225328,0.07076165828338435,0.0007611241563240166,0.001832478195709406,0.024285320588328097,0.13276030403228298,11307.216012020112,102351.01520657535,9.36519998550415,4.133061110373762,4.924652508514146e-09,6.096867074338043e-09,1.3786052580777692e-09,2.903271832533725e-09,0.0001691258243226912,6.227911229728531e-05
1000,0.0035240193913500454,0.02312685064370496,0.006518710683730595,0.02756226758289884,0.0020235983860197354,0.0049961718197396665,0.009954603157496435,0.052596411277643175,9952.969601478577,89118.9636360843,9.625684607028962,4.117108671850171,6.920505159031013e-08,1.1632780970550293e-07,7.676766944866882e-10,1.8228110728774924e-09,0.00016938047483563423,6.114042556583785e-05
