trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std,gt_hamres_mean,gt_hamres_std
50,0.00021902351738463795,0.0007301502318761862,0.002472905566112188,0.013252656377003817,3.199793056572737e-05,0.00012621660770472957,0.0002571390072503544,0.0016401972618111961,2765.7093219947815,4223.830450215044,5.3656165483593945,15.10798931200873,1.2771739160232808e-10,2.465880795743752e-10,1.8974565868537293e-09,4.251209616630249e-09,2.754285514328103e-07,3.1353136745630386e-07
100,0.0003239767670195263,0.0014072148334776892,0.02363505741114382,0.2289289467890423,7.609834793665165e-05,0.0002718685784906681,0.01309015352812908,0.1291533151560703,807.2882085609436,1176.5085154783058,1.7880607499927281,2.9568198760324993,2.6645862860622706e-08,5.2773151869104367e-08,6.305392247169882e-10,9.408695004565385e-10,3.5390797137324626e-07,3.9205332834883233e-07
150,0.00030176421013420517,0.0012740073135146654,0.008278818323410809,0.07760237660627674,4.3530123638317586e-05,0.0002453268879050568,0.0004150000828208398,0.003987329623539856,672.7280911827088,1076.5999947948362,0.9562571162730455,1.5134806875555304,3.920189533102171e-09,8.667651140957747e-09,6.304637927758125e-09,1.816749296166708e-08,4.780925465297514e-07,5.91374818496571e-07
200,0.00028650748738282965,0.0011454812914147826,0.0018910219305769973,0.015657840269641843,0.00011854592425989924,0.0005997660365665665,3.7697428587185864e-05,0.0001767936224869675,693.0389603376389,896.9091579564124,0.6511311519145966,0.776897881904162,3.054530287117648e-09,5.7339246856100735e-09,4.979132178200087e-09,1.415237164287106e-08,5.510639653039107e-07,7.241416120494227e-07
250,0.0002823752508568879,0.0012967701560278998,0.00023552390430401688,0.0015544449961496772,0.00010771245281919614,0.000519988695595635,5.029516489073163e-05,0.00040286285173472196,623.8987520432472,956.1812529572246,0.4808443618565798,0.6155611565674581,3.2985347599070116e-08,7.092083152757987e-08,3.0448116905901455e-06,9.131558570076835e-06,3.2101768638881366e-07,1.7504760971667654e-07
300,0.0002542277649422515,0.0015102883315839038,0.0004653103541915169,0.0024611287124348584,9.731121432103442e-05,0.00042793699580099447,7.050429082553992e-05,0.000347466228500505,609.2661230278015,990.2595014681624,0.4230162100866437,0.6353965432645732,6.424711695473528e-08,1.0358802601823525e-07,2.2794509355166968e-10,3.986667239206183e-10,4.3217409029239207e-07,2.769704539792209e-07
350,0.00013112735354082436,0.0005152312297236857,0.004937966653304049,0.029715385731196847,4.092951886787711e-05,0.00016603672913481632,0.0008490042688199272,0.005092510656195062,613.5503266143799,984.014610279048,0.33029724039137365,0.3803908732071614,5.314561446958338e-09,1.0190352989713517e-08,3.781552680856729e-09,1.0494862928134317e-08,4.909815956466445e-07,2.868451525761189e-07
400,0.00022590039161696833,0.0007972459438484793,0.00020894858690776358,0.0006245472333690668,0.00014212911934332053,0.0006575864938245736,4.529455465500727e-05,0.00012333527826760346,5890.001912789345,53922.25909933618,0.24696033492684363,0.19414967901248092,8.876097723268784e-08,1.7802481893023613e-07,1.2121143602372686e-10,1.5595268943590103e-10,5.603603014492365e-07,4.980504041689125e-07
450,0.00035555189273565305,0.0012290750586490115,0.0005577042580939104,0.002632722771049218,0.00020322620576781978,0.0006441155634194821,0.0002984662918367147,0.001671016306359069,4893.10986907959,43292.85722040488,0.2799418023973703,0.2850708254604452,5.145232883465405e-08,1.200641490746607e-07,8.603188637435248e-10,6.653069692311982e-10,6.762924584791108e-07,5.253877032562989e-07
500,0.0005051543365250123,0.0019306765062367345,0.0011192827964985506,0.005021705484403852,0.00022123580094119403,0.0006736308839932418,0.0003171468793051437,0.0018643909156801923,13538.777478432656,112369.65182200233,0.2761702668294311,0.29132220471798304,5.4344213729468e-08,1.422353357692976e-07,3.420857667270287e-10,6.709390241152757e-10,2.0464584338242275e-07,7.872654236290782e-08
550,0.00037010507096082757,0.0011661555539646973,0.000722525753286932,0.0037636554136523223,0.00015521151106682576,0.000534860229759182,0.0001591597515552248,0.0009106018577340242,28956.00503481388,275710.82225327735,0.29022385478019713,0.30683831661297223,2.509320669492582e-08,4.691510771300602e-08,7.914639021825696e-10,1.7707748700034746e-09,4.5446095260359697e-07,4.623242411352212e-07
600,0.0002370658973667692,0.0008161828636755643,0.0013609099546296774,0.012186924735370957,9.950532842683742e-05,0.0002717214808696488,0.001006948712353365,0.009656119167645388,6544.590732750893,41669.30334142925,0.2723042646795511,0.30590336970529164,1.4130331410359651e-08,2.7322694439391162e-08,8.119810334080179e-10,1.2035820061178347e-09,8.819775651147665e-07,1.1010221234180464e-06
650,0.0006929094267561975,0.003743012045152866,0.023008253909170648,0.14520440191698158,0.0002854070045342212,0.0014788753703516627,0.010437431381100822,0.08801987782513149,29858.224936437608,273198.4321261951,0.3007655688375235,0.29399263332792797,5.5195611772127433e-08,6.362066708034689e-08,5.229600298137764e-10,7.264539929562434e-10,9.751251475620392e-07,9.280006044875369e-07
700,0.00025554140074842666,0.0008607851523919184,0.0024897015804434776,0.01280473913646655,0.00013669958598821674,0.00035859975735609323,0.0016011025410898525,0.010181515707221894,9176.705680441857,77099.85784095647,0.25277978990226985,0.20285665838114575,1.48572255053505e-08,2.0849889553085614e-08,2.6158450013016605e-10,2.86572710618405e-10,4.04173909629435e-07,2.3042085582930915e-07
