trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,0.000940189632311081,0.0035309874369701603,0.006650640459926987,0.019493585130242408
100,0.0037744134192876973,0.014181779505279213,0.01561635966451924,0.028069649029845295
150,0.008474332052653239,0.03178277474339403,0.02691433300738466,0.04225083464718856
200,0.015000229039504131,0.05629549722210943,0.04005117773505974,0.06399874816493184
250,0.023336424253226257,0.08786369529253,0.05402801342590026,0.09097400200183152
300,0.03333576932962722,0.1259725668489295,0.06864610231333863,0.12487984359687188
350,0.04474536379584501,0.1691917414841402,0.08335707560505623,0.16283773093304182
400,0.057386702533142,0.21597221635087485,0.0977154196706494,0.19946192686767716
450,0.07133203057665494,0.2657683875530705,0.11174258879841936,0.23024974725241631
500,0.08665172146863392,0.31798179772125157,0.12599881474775032,0.25441362920011357
550,0.10350039517056318,0.3721651157947536,0.14136688007823675,0.27441047688807496
600,0.12277037824085259,0.42821767801519767,0.15878375635743913,0.2933245070889496
650,0.14476084693940972,0.4862546957155834,0.1787934739676798,0.31265373962939513
700,0.1677217363675724,0.5438076195901207,0.20193516218012827,0.3341059133442233
750,0.1909462444680921,0.5987341112891216,0.2285945876787191,0.3595472447411301
800,0.21437565561432262,0.6506213515499256,0.25871680980699635,0.3894311977597364
850,0.23810713145062795,0.699577290417376,0.29188950887988946,0.42243366902143226
900,0.2625586827305172,0.7462204099367573,0.3277141257662117,0.45768499944322505
950,0.28837727845261757,0.7911858778468273,0.3659735041057873,0.49469779681613646
1000,0.31635760319402445,0.8357166417030638,0.40483423143651953,0.5273807849452711
1050,0.34761591897142147,0.8818870442165693,0.4422653217028726,0.5524463270604022
1100,0.3829643276433113,0.9307538140577012,0.48166265947113546,0.5848921589063079
1150,0.4224641330768135,0.9830521114272528,0.5248808903914911,0.6260793401103704
1200,0.46660617845568064,1.0406186471898489,0.5708941537144097,0.6709195321060463
1250,0.5152367070297221,1.1025594446511728,0.6184822539168424,0.7165892118439228
1300,0.5683904746734477,1.1663708638689911,0.6673935611798728,0.7608399975216529
1350,0.6245979862002435,1.231899892442755,0.7173627256517119,0.8033538625144465
1400,0.6837401189097566,1.2986029239802936,0.7684603933526575,0.8449960416268791
1450,0.7461275259785567,1.3661753127742449,0.8205944867253137,0.8852838309044746
1500,0.8122575260647895,1.434541540636964,0.87468176997711,0.9237900486766937
