trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,0.0018564917055258635,0.008484799245794995,0.004504163933957893,0.008918807894723737
100,0.007350751817286886,0.033396989963933116,0.01664793168079898,0.03402923347845917
150,0.016641962924635906,0.07720587453703816,0.029364353818425122,0.04929066245492688
200,0.030246264473919933,0.14693550237921857,0.04344134509938114,0.07098985328780251
250,0.048839435087476284,0.25064265674437297,0.05750437017732645,0.09529037158487977
300,0.07240084087428246,0.38941020843408847,0.07133914120008983,0.12237154504631365
350,0.09982433114776994,0.5533498950995293,0.08528457966236508,0.15365606515011546
400,0.1287894129861389,0.7221982568512273,0.09919766998586553,0.18687096229031708
450,0.15536760588638585,0.8648954575337867,0.11297738526231745,0.21864437415504445
500,0.17666508904170397,0.9630675946198851,0.1269698907778368,0.24796912107890098
550,0.19221414886124386,1.0183857006513206,0.14170778314949556,0.2747373950376199
600,0.20394793961518742,1.0436728162894413,0.15799751324485542,0.29921872943527894
650,0.2143352893555306,1.0476263126755163,0.17657631380603006,0.3215790151658476
700,0.22412713204594137,1.0396749288393858,0.19798030304294909,0.3412078371198082
750,0.2342212349658769,1.0293894786290931,0.2229088436043122,0.35977529939947867
800,0.24592302534922325,1.023814785743503,0.25187307643082596,0.38043371041361845
850,0.26007089517360193,1.0258755402674693,0.28438047893556406,0.40299127583913613
900,0.2768687457813541,1.0340082423729866,0.32002294297560496,0.4281086840642714
950,0.2963658366054532,1.0447196557928478,0.35874412455093707,0.4579786333673607
1000,0.31915610536718125,1.0554216653802788,0.3993786542979305,0.4852657889809094
1050,0.34536210952909274,1.065910245693828,0.4435282781347184,0.5167756169202333
1100,0.37576808280740875,1.077755478374963,0.4888476574234283,0.5506926232834722
1150,0.40782623206227014,1.0889906336574204,0.5338194110697038,0.5846101086564155
1200,0.441208730690573,1.0996268718288058,0.579327319693997,0.6210013715751728
1250,0.4757973981523289,1.110050444568904,0.6263711951461433,0.6606072096039554
1300,0.5119107284225962,1.1208641005616509,0.6743665163724464,0.6992038269578641
1350,0.5503290575583417,1.1332066776682774,0.7212141972866709,0.7301229648498876
1400,0.591717066914607,1.1484479854309544,0.7691671161254499,0.760960852386718
1450,0.6357299139040302,1.1669749371220215,0.8215448744408755,0.7968144436972061
1500,0.6818932860017468,1.1894676282995111,0.8781504780524307,0.8359538373801143
