trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,0.00010239846872915814,0.000507471597402093,0.00038405570245120344,0.0020247658388719207,0.00048645417118036154,0.002431679673457692,0.014044699,0.23535594,7.973735048257935e-05,0.00046395722885626296,0.00015341977050096215,0.0016673388573672165,0.00023315712098354152,0.0021033316946236945,0.00664841,0.007684524
100,6.0434004802178685e-05,0.0002647189543197384,0.00030361281815498173,0.0053157640919466705,0.0003640468229571605,0.0054435115542588695,0.029874112,0.6054148,4.7693682946255936e-05,0.00016762785541880076,0.00015053280135366354,0.002637776972587434,0.00019822648429991942,0.002656219358806483,0.011608495,0.1783112
150,0.00010872497248510205,0.0003868945028188294,0.00036404959382525093,0.003947223964897965,0.00047277456631035297,0.004096408486167239,0.07855409,1.7270833,8.622491759820366e-05,0.000296161528658219,0.00020795948354681995,0.0020198355824058295,0.0002941844011450236,0.002081811306183415,0.025538433,0.49537134
200,0.00014698182636857813,0.0006009940189323817,0.0004972374084407767,0.004410894735116761,0.0006442192348093547,0.0046240589955865935,0.022535989,0.42086524,0.0001321252992154491,0.0005614861218678527,0.0003362600050589291,0.0026493823667620457,0.0004683853042743782,0.0028491871252818925,0.016014725,0.29084894
250,0.00021111001138924418,0.0008789486856593934,0.0006990416599836044,0.0038904745288567727,0.0009101516713728486,0.004460904273473517,0.051662497,0.758274,0.0001926109591818788,0.0006522232607509805,0.00052648510927196,0.002063811720650958,0.0007190960684538389,0.002455539059795075,0.026193159,0.32110545
300,0.00034574929415504365,0.0020503401482127813,0.0011206033430115685,0.007077976783453585,0.001466352637166612,0.008268248912111026,0.03424594,0.5417784,0.000341135334964514,0.002068181057473026,0.0009392071739747697,0.005864966509604791,0.0012803425089392836,0.0073788203299459355,0.055255234,1.2522628
350,0.0004423187979549122,0.0020015507472415793,0.001486105601162098,0.00479785616403899,0.0019284243991170103,0.006370833201691543,0.01757728,0.28702965,0.0003570693838847775,0.0011241230528975291,0.0012422701771034235,0.002937297517882628,0.0015993395609882007,0.0036892074604259516,0.017506463,0.19967714
400,0.0005279173759196587,0.004071676483851355,0.002687106696453914,0.0149570831465924,0.0032150240723735728,0.01795342788222334,0.100665666,2.0312037,0.0005104605158879974,0.0037483833165484134,0.0024261422139681492,0.013965985563965286,0.002936602729856147,0.016885938983528293,0.10809786,2.1870723
450,0.0008168993329792278,0.002905301964807185,0.004557524225955639,0.015748796544900526,0.005374423558934867,0.017605116250587312,0.09590676,1.7688557,0.000808958291435545,0.0032974737636231695,0.004526884412814422,0.022327738441612698,0.005335842704249967,0.024960105030618535,0.11026343,2.3648794
500,0.0007428606872425682,0.0019454853008023284,0.004723551303799805,0.015307389837766536,0.005466411991042372,0.01649475472472373,0.11931513,1.8136495,0.000670680609072277,0.0017228326460020024,0.0041782236847994775,0.012775128237851277,0.004848904293871754,0.013860115407813801,0.051663123,0.520153
550,0.0014663019825276184,0.004569028232634382,0.009575296151658141,0.02307608700548012,0.01104159813418576,0.026147887711665683,0.09570362,1.0700198,0.001292985424467659,0.004200710279581115,0.00859255811977349,0.021122919962524404,0.009885543544241149,0.02427468600769151,0.061264288,0.55811626
600,0.0013457942482819499,0.004642062064057329,0.010629936017627455,0.034403628208956906,0.011975730265909403,0.03847236244002436,0.098950215,1.475768,0.0011455597979614497,0.0034292127139171455,0.009373046147230849,0.03184570195039127,0.010518605945192298,0.034541929506227094,0.09834475,1.6930933
650,0.0017175292387263952,0.008323900753144754,0.015579434799336895,0.04019031729290769,0.017296964038063287,0.04590502544666856,0.10844925,1.2914913,0.001515346484687055,0.006255522182110471,0.013362919769926169,0.03186934637134424,0.014878266254613222,0.03672126291852257,0.08815984,1.3067883
700,0.002908734186788394,0.01087262052241068,0.027001539590445902,0.07488872028306323,0.029910273777234295,0.08205559554787033,0.08640197,1.2227421,0.002629903143332615,0.011337082360029956,0.024144705919293172,0.07140698033708297,0.026774609062625784,0.07938965325473177,0.05079385,0.4141519
750,0.004730447517896641,0.01991871179646279,0.04764651081288333,0.21247421522108112,0.052376958330779974,0.2293226807522938,0.055841886,0.46748817,0.0037587478784796547,0.015664158429064885,0.03859838976675654,0.1501003709711483,0.042357137645236194,0.16344254320259918,0.04566569,0.2749254
