trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.027759985998776892,0.05712606305427907,0.035584575333376514,0.048838386471651694,0.031672280666076705,0.03909590265484889,0.013521476,0.060189962,0.022063005346206973,0.03470804508406813,0.015830618472773138,0.0242406716148342,0.018946811909490057,0.023515238899738646,0.019638745,0.0634889
100,0.036256091403696684,0.13135502352726836,0.018628306106789515,0.021139260761872097,0.0274421987552431,0.06696698333543359,0.0052680685,0.010718721,0.04158544739779172,0.1323333396075803,0.017151740076514786,0.03713380114180093,0.029368593737153253,0.06859053944141441,0.022904828,0.053019535
150,0.02839882061115321,0.04401409500181342,0.021838661562020956,0.02223608584208018,0.025118741086587085,0.026232549110755166,0.010810332,0.036064044,0.034921982190949455,0.07038695309013993,0.01698298022620782,0.014783320871148371,0.025952481208578636,0.037034214697673,0.020287247,0.051529806
200,0.043111941198726376,0.09891124262306224,0.026334195371425895,0.07183092133192436,0.03472306828507613,0.06706991802481047,0.0138398195,0.066827655,0.04067583490550147,0.06846920966543063,0.018616855490062093,0.019719708783820213,0.02964634519778178,0.0400872365256115,0.021818308,0.06348907
250,0.052582463250303205,0.08195670420391503,0.0356605891560051,0.0905022032639958,0.04412152620315415,0.0701561577232365,0.0118757645,0.034735315,0.043070388592935174,0.04402617122066102,0.023889264683715775,0.022680569906923378,0.03347982663832547,0.027365859239111473,0.023007588,0.120172456
300,0.059514058847803766,0.11231026515669121,0.024792254573178865,0.026591707281375797,0.042153156710491316,0.06093799474397414,0.011419589,0.044930924,0.04811539690978466,0.08541881171333965,0.021757209244726048,0.018221149738656475,0.034936303077255364,0.04587601081991918,0.02043511,0.047571544
350,0.06785858630092984,0.11920297799774816,0.03621717483763176,0.05290006268532134,0.0520378805692808,0.07396257820830791,0.010705638,0.024844669,0.05653952070758603,0.07033261188813143,0.03144463145114451,0.03651796905280813,0.04399207607936526,0.042920612694015085,0.024638757,0.061805878
400,0.06275803138171156,0.10113983236055822,0.03392449015084655,0.03854930472187066,0.04834126076627905,0.05693869135433402,0.007965779,0.021781133,0.05218085265814572,0.12441331760226569,0.030812505741670108,0.03133506675871202,0.04149667919990791,0.06515677514731663,0.014500774,0.03522197
450,0.0736822529821323,0.09470229587299692,0.044470467109877614,0.040905548094694925,0.059076360046004944,0.05827175662284375,0.028508168,0.22433268,0.06211995532077443,0.07166628527401377,0.04479265282753652,0.0415171620562605,0.053456304074155477,0.0466158556880734,0.026973138,0.083347276
500,0.07510122062602946,0.12018965167549182,0.04404418478472742,0.0528685571873874,0.05957270270537844,0.07659227192657893,0.020346405,0.14067289,0.06518263796717534,0.09186441697891336,0.03991124932440376,0.042255835707872044,0.052546943645789546,0.05605813751575459,0.019366102,0.03900372
