trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,9.222323721410974e-05,0.00041913507897514696,0.00035195376518739696,0.0018162291966652734,0.00044417700240150665,0.001993939304563607,0.017258838,0.30892256,6.850515621122855e-05,0.000325917300720337,0.000105024128400821,0.0005163409722652598,0.00017352928461204952,0.0008029850874810896,0.0063098194,0.00831402
100,5.4461216279968394e-05,0.0002700491814688259,0.0002720468118265533,0.004286532554642715,0.00032650802810652176,0.0044069547314588,0.029173087,0.5299897,4.043524291886369e-05,0.00016528695323391528,0.00011251977021653867,0.0018249281035928606,0.00015295501313540233,0.0018464096071486313,0.009754122,0.11986546
150,9.891438615985028e-05,0.0004275926050119993,0.00035469258314972874,0.003986069319781304,0.0004536069693095789,0.004149384252180265,0.07783313,1.6454905,8.19008733789898e-05,0.00038378376408526816,0.00019507934270405575,0.0020351761600754283,0.0002769802160830456,0.002128779584821781,0.020444456,0.4699504
200,0.0001354434443953497,0.0005767759495988712,0.00038747659530770194,0.002742050275514112,0.0005229200397030517,0.0030113325974087104,0.017388228,0.31761554,0.00012455808434721737,0.0006023733372142905,0.00025970031906439304,0.0013387680838251059,0.00038425840341161044,0.0016568797735970933,0.011287546,0.16932254
250,0.00019770809106937358,0.0007158550595963268,0.0007067339326116162,0.005171969191963949,0.0009044420236809898,0.005616391065950236,0.0462311,0.6986184,0.00017669578322691338,0.0005832589536317663,0.0005108035916805576,0.0029593778468789433,0.000687499374907471,0.003218073174152883,0.023811676,0.30676055
300,0.0002820087804202247,0.0018054468220126327,0.0008876861927489425,0.005595558021676416,0.0011696949731691672,0.006603362279645813,0.03219155,0.544778,0.00025308665617295643,0.001167725259384833,0.0006896070843238724,0.003946266572656216,0.000942693740496829,0.004706910848077851,0.023296777,0.31439254
350,0.00033399513960190324,0.0009467045496699916,0.0014207711985178939,0.0056628658080562,0.0017547663381197974,0.006304960230041176,0.035357837,0.5288983,0.0002960811926133005,0.0008054447309557535,0.0011552349636280864,0.003248440581669815,0.0014513161562413868,0.003769365166803007,0.020522421,0.22412892
400,0.00036370164928549415,0.0009567659282795825,0.0021445050470115987,0.012447448691240103,0.0025082066962970927,0.012962232513101517,0.09517914,1.9357568,0.0003510781475532352,0.0011278539179217248,0.0018811078794990907,0.010479699309114663,0.0022321860270523262,0.011205313068765387,0.10169341,2.0357218
450,0.0007430356985272198,0.003496203552484706,0.003943461167331463,0.01250380231748814,0.0046864968658586826,0.014163825137149033,0.08518477,1.4012084,0.0007048097154040034,0.002927145240830108,0.0038051555665236307,0.0145448536290468,0.004509965281927634,0.016466790702689207,0.053635217,0.63078576
500,0.0007461033169539104,0.0022114006939867644,0.0050274710616174815,0.016675242687498548,0.005773574378571391,0.018071617860717055,0.117615946,1.7222601,0.0005948393284193745,0.0012611189197932976,0.004260514791394145,0.012465673773573636,0.0048553541198135194,0.013269138991615432,0.050040465,0.53613776
550,0.0013693180947990644,0.004640381102936855,0.009184561040928386,0.02450740944597535,0.010553879135727452,0.028218703415663484,0.114307724,1.4011122,0.00111813954582184,0.0035463726772143496,0.007733479043400476,0.01853793840189053,0.008851618589222315,0.021384714760118242,0.06277784,0.538381
600,0.0013112645898540958,0.0036552817430956634,0.010448542478452212,0.025865590896772997,0.011759807068306309,0.028378669803507173,0.08790156,1.2492558,0.001238569858409551,0.004220180426356536,0.010095106661387115,0.03687217426344214,0.011333676519796667,0.04057806084171066,0.052471798,0.5339995
650,0.0015515581529006242,0.004482650955050586,0.015653177424502528,0.04089075685610182,0.01720473557740315,0.04417878293079918,0.10396489,1.2181779,0.0013838523700512484,0.00447844076307545,0.014216055328651432,0.041793490305599805,0.015599907698702684,0.04566268532718863,0.06797602,0.6684576
700,0.0023993542944724527,0.009782054520010549,0.023413554518057315,0.07606769031613408,0.025812908812529768,0.08373316060866191,0.10587675,1.404104,0.002183915834823614,0.008736959181943928,0.02155811250105097,0.0715861523931165,0.02374202833587458,0.07865890805501158,0.055971324,0.4722822
750,0.003817449346661662,0.010708580502656441,0.04533625675121361,0.15629443816907487,0.04915370609787527,0.16366756774604888,0.06964056,0.6865046,0.0032437529806567432,0.008615477594000403,0.03757020713297112,0.11585092472524713,0.04081396011362787,0.1218601014751863,0.055353455,0.49032915
