trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,8.849717508539937e-05,0.0003998918393836624,0.00036375860669153723,0.0023098076995316024,0.0004522557817769366,0.0024539713511098544,0.024811191,0.57108897,6.492438552215027e-05,0.00029522680489911296,0.00010947910082059956,0.0005714895340000447,0.00017440348634274982,0.0008200087896317629,0.006959099,0.012175789
100,6.0721024146623764e-05,0.00031218786828655763,0.00027036813508966113,0.003680846850302248,0.0003310891592362849,0.0038251076278252765,0.017422864,0.30215517,4.7672592244579455e-05,0.00023889305691802471,0.00010151997943133892,0.0013418620971231057,0.0001491925716759184,0.001395657193748253,0.009405836,0.12164866
150,0.00012096756297166772,0.0005398872547836587,0.00039606198870555017,0.004138200223351774,0.0005170295516772179,0.004360552271126897,0.10289585,2.0415094,9.25215486884926e-05,0.00042246455003965466,0.0002233470151905798,0.002028037268295718,0.00031586856387907236,0.0021517231166655053,0.026998168,0.49269825
200,0.0001356340822449585,0.0007049789956044979,0.0004349465678139949,0.004224297718344614,0.0005705806500589534,0.004512259971187401,0.018782752,0.3670028,0.0001339946830155593,0.0008512556952563915,0.000310676969187774,0.0026285273604319407,0.0004446716522033334,0.003015866683595239,0.014908698,0.28402182
250,0.0001783009692103498,0.0006833581917038138,0.0006843995802453526,0.004329210150452122,0.0008627005494557023,0.00473630781825588,0.04827354,0.74218035,0.00015203513869182017,0.0005270523132144216,0.00047022494242323113,0.0021547060976980633,0.0006222600811150513,0.0023826558622194274,0.02875066,0.3469218
300,0.0003958179847458659,0.002856570557777485,0.0011130919142568127,0.006901419692622624,0.0015089098990026786,0.008971755880819646,0.032542016,0.524713,0.00034969485603770616,0.002229523841032036,0.000915788918263162,0.0051175209735370725,0.0012654837743008682,0.006914760274688997,0.037489474,0.64965934
350,0.00038314441498188775,0.0018089522899334078,0.0014850506394196885,0.007465266128835,0.0018681950544015761,0.008958090247526099,0.05146412,0.8136821,0.000337332428412158,0.0010368349710409988,0.0012377106891721086,0.003698217858422915,0.0015750431175842663,0.004377922325639216,0.02645787,0.3793875
400,0.00035941085284179285,0.0009493137760117899,0.0021002116833574447,0.011341801828424649,0.0024596225361992376,0.011775011950465026,0.09717746,1.9618512,0.0003455124094544263,0.001102886211695665,0.001879561144589092,0.009811527803915011,0.0022250735540435183,0.010505581032432026,0.09430307,1.7195083
450,0.0006426190609262705,0.002172889964433032,0.0038323296057945653,0.012580253051349292,0.004474948666720836,0.013759305977789061,0.09254907,1.5508965,0.0006104161279541805,0.0020781302094577013,0.003620135858702527,0.013621551576950183,0.004230551986656708,0.015123374867726191,0.12307658,2.603714
500,0.0007385644445519729,0.002345691967766778,0.004710193589519483,0.014652744647858268,0.005448758034071456,0.015997745326204443,0.11780406,1.7875597,0.0006439156702894492,0.0019564809583366314,0.004204180291424286,0.012650144600292654,0.004848095961713735,0.01388132340307451,0.056310646,0.5594332
