trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.027747631129837975,0.06293243432077912,0.03617052388217992,0.047530955476322974,0.031959077506008945,0.0421737613437729,0.017823176,0.10036863,0.021912272750102005,0.0563436516714353,0.013189486350567896,0.011208775502126575,0.01755087955033495,0.029192280615858192,0.02578821,0.114723206
100,0.030282409589412893,0.10568825312253007,0.019953353215777743,0.029272549121189945,0.02511788140259532,0.05494470797706213,0.0074006263,0.02107311,0.022876225159655383,0.03903171452477995,0.014440759602366763,0.018022586223845536,0.018658492381011072,0.02306377935741563,0.026168145,0.09070003
150,0.03490652658882408,0.05702472132894805,0.02031077557926143,0.02842560929444311,0.027608651084042757,0.034453123500117235,0.015453558,0.09881687,0.03900432876102175,0.08063132917159085,0.015836341328502822,0.01612378231234552,0.027420335044762288,0.04341361115382255,0.023803096,0.07200002
200,0.040449061160351185,0.0897335275841567,0.02353469969745632,0.03411345147738919,0.03199188042890375,0.05074863884418784,0.013398287,0.076860115,0.03062207506868611,0.04583611391240815,0.01705542345485843,0.01681134174490736,0.02383874926177227,0.025719929922346257,0.035829253,0.12941746
250,0.04650425963583208,0.0831868983368065,0.017804043617301497,0.011969775441692518,0.03215415162656679,0.04351410984344694,0.01246311,0.044489738,0.03719314240676642,0.051429363611133115,0.018479060887551003,0.01446205101067038,0.027836101647158707,0.028117500159806685,0.014693715,0.028948346
300,0.04730325675656303,0.08610575836159133,0.023114062170314156,0.029849326354851127,0.03520865946343859,0.048950635934981286,0.008025109,0.0274607,0.0499718740610612,0.12608292287141296,0.020271475454847643,0.01701494051988206,0.03512167475795442,0.06568250753785217,0.01837213,0.044869736
350,0.06020212273058843,0.11456479792778572,0.025281672973872567,0.038812784602501614,0.04274189785223051,0.06793614918024111,0.0090894075,0.021397127,0.0492741095582323,0.07154798533030447,0.024224604422971113,0.020233557548351815,0.03674935699060171,0.03930778703624673,0.021074934,0.05753235
400,0.0554955240510778,0.10040923071785661,0.0304201141852948,0.04490773918452938,0.042957819118186295,0.058523591859283595,0.0061942064,0.0123123,0.060567652960990356,0.11630869001964583,0.026083654891319644,0.024532858202673452,0.043325653926155,0.06423848547162518,0.018714964,0.035718318
450,0.05882495503611878,0.06668817888778966,0.04085616077650031,0.061836198049912916,0.04984055790630954,0.05118738234172458,0.009049722,0.018787121,0.07270677312981047,0.18210356761286986,0.03799261068271227,0.07282399810873204,0.05534969190626137,0.09993735314574188,0.021041676,0.05612688
500,0.05777390665865024,0.07203546846420458,0.037722586813187416,0.03969761667682431,0.047748246735918834,0.046952032323149914,0.010638351,0.030026155,0.06906438305486774,0.1179108393026126,0.03833679804530652,0.04272742220518304,0.053700590550087135,0.06700736607836155,0.023681305,0.06832081
550,0.07514291585741002,0.10544583024334146,0.04909115792189387,0.07230780015354225,0.06211703688965194,0.07669534239885364,0.010708357,0.023429817,0.08786434513898492,0.14581517592709953,0.04877066783672799,0.05821747386178176,0.06831750648785645,0.0896212110435216,0.02989316,0.107811145
600,0.08985297415910547,0.15224282727452804,0.056216455319438766,0.08867978818830327,0.0730347147392721,0.11059031694457912,0.015064877,0.0665943,0.1005171273655792,0.18067483849512073,0.06258029355858673,0.08527954305872587,0.08154871046208298,0.10708059421922797,0.017419584,0.03527155
650,0.1044866507225889,0.14135855908311223,0.06645251556275868,0.07041662545989197,0.08546958314267378,0.08810234813447604,0.011452242,0.0171956,0.11017874067252352,0.18635402462567316,0.06666955268219779,0.10658853365370771,0.08842414667736065,0.11566640225807423,0.020027827,0.043578267
700,0.11326621333937005,0.1743746976125569,0.06657938466323793,0.06464747876519641,0.08992279900130398,0.10643007264846778,0.017916791,0.07390684,0.10933445824772575,0.14860039241843534,0.0833648360319797,0.0986627077783679,0.09634964713985272,0.11043039860502935,0.01855759,0.027080225
750,0.12107792858086977,0.15502490546516295,0.0818083559061259,0.09538477063443539,0.10144314224349785,0.11000183207867334,0.016417049,0.024513075,0.125500053619347,0.2595625585754136,0.08716868855293436,0.13255537399435488,0.10633437108614067,0.16351466790748054,0.025004186,0.038754195
800,0.12959289429476942,0.20074813251714407,0.11146302277362193,0.19262391526279798,0.12052795853419568,0.1692687186071862,0.026379742,0.059981287,0.11308816314798595,0.19006216836357212,0.08403259341133439,0.108604451296193,0.09856037827966016,0.12546976550281513,0.020055884,0.03945118
850,0.1477332956917472,0.21973205101263268,0.10673506988584712,0.12243639268023655,0.12723418278879717,0.14623229993849443,0.020348947,0.030940035,0.1426104393022879,0.16459063763929468,0.10218060964942978,0.10354763169032927,0.12239552447585883,0.11540980201048617,0.033167563,0.053235874
900,0.18997386278868675,0.2969738090670344,0.1338635508811762,0.1966086495281116,0.1619187068349315,0.21056006591714196,0.025346432,0.037506126,0.16689255002803108,0.22924200300623948,0.14053062284663212,0.1829961598779142,0.1537115864373316,0.17801928959197347,0.034760352,0.09401391
950,0.1889830815948432,0.2591263659445116,0.1236786613351686,0.11750234228051543,0.1563308714650059,0.1688317014836197,0.0401229,0.093261786,0.22751928295102675,0.32067490057350834,0.14463728342048535,0.14642443161058236,0.18607828318575606,0.19948098976048195,0.037892763,0.0867982
1000,0.23240561653605485,0.2970272506914177,0.17756638354514948,0.1811775400289703,0.20498600004060216,0.21525620890345348,0.04203684,0.07105772,0.23039573530889396,0.30510605918273365,0.15495331309894925,0.19127369882538203,0.19267452420392162,0.2128175301359167,0.040157534,0.06765411
1050,0.2789402472742254,0.346040109298682,0.24077037489940867,0.42977017177038784,0.25985531108681703,0.32812533827847423,0.048268612,0.077845894,0.26592259270849405,0.3458179269445091,0.20158814405935607,0.22571012669232599,0.23375536838392505,0.2615857062959143,0.05511839,0.09473528
1100,0.2830400335507932,0.2958272741919977,0.2302049309781529,0.26681599864588534,0.2566224822644731,0.23604020451901322,0.057884406,0.10685003,0.3366727573031785,0.3736229625658999,0.26291431303707813,0.26396907624872257,0.2997935351701283,0.279875433211087,0.06717082,0.09807229
1150,0.4108102509244543,0.3938178486789598,0.3305638518032737,0.27088807689349576,0.370687051363864,0.2894118806991163,0.07572946,0.108034596,0.39570724031075455,0.43928013266456883,0.3350257079846138,0.3422180259733563,0.3653664741476841,0.3354352494500191,0.06173297,0.08766488
1200,0.5620783766835019,0.6244423256856065,0.47888435968230253,0.4767254136123535,0.5204813681829022,0.4793983377715929,0.104669355,0.14522837,0.5319006778284086,0.5987583745065448,0.3902865851313369,0.30103474272812164,0.46109363147987276,0.40348149060468524,0.10124807,0.14720093
1250,0.6270127515199883,0.5825917979620415,0.4606857446310517,0.3365073062221563,0.54384924807552,0.42204641533720216,0.16056095,0.19938882,0.7077324383253982,0.6468550629610985,0.5549428827183689,0.48284568400962247,0.6313376605218836,0.48684195445822387,0.12850946,0.16204329
1300,0.6875065708292215,0.5233022608428645,0.5566873299063461,0.4166998495251983,0.6220969503677839,0.4205074541422208,0.18290226,0.23978344,0.6881637015566267,0.5415407331719155,0.6200801945002101,0.46269152289941257,0.6541219480284184,0.44763438258775895,0.17560612,0.20980887
1350,0.8190614308650822,0.710605015652145,0.6369777165065967,0.4087011247172965,0.7280195736858395,0.49310361270527187,0.21136343,0.22510907,0.8551871139460847,0.5797710519719503,0.6699974879429874,0.43113933000345883,0.7625923009445361,0.45169166989176884,0.25057858,0.33438852
1400,0.9451198000229121,0.6595789274051007,0.7848183155995213,0.6052544295666717,0.8649690578112167,0.5454745074156981,0.25539035,0.3231233,1.00912359109181,0.684326660352087,0.7907718755276608,0.49538938238492347,0.8999477333097353,0.5213387342687139,0.25419143,0.27142045
