sigma,policy,L,ung_mean,ung_median,ung_std,gui_mean,gui_median,gui_std,ratio_mean,ratio_median
0,sinusoidal,200,712.2992903632912,411.5355366298131,907.1055964429231,0.7845206708090118,0.5363741263634503,0.7664132493294178,907.9420299133169,767.2546388841922
1,sinusoidal,200,127.6026155904088,74.25075107389888,164.40936199620026,0.7052309962260531,0.490451842311879,0.6740800285411824,180.93733297778556,151.3925418730158
2,sinusoidal,200,22.350808910665332,12.64903026307496,27.9966849169547,0.5442247054999672,0.39082074200241335,0.4893484128198067,41.06908173184115,32.365299237359444
3,sinusoidal,200,7.374888834717121,4.617612982674647,9.347040037211324,0.401556327206564,0.29096285746098144,0.329519563748385,18.365764240401113,15.870111473915106
5,sinusoidal,200,1.7999179377705925,1.118088144305926,2.2118298612387814,0.2449702954468261,0.1920655607304909,0.16065144314021246,7.347494660475222,5.821387968011835
7,sinusoidal,200,0.7331751566935125,0.4589785269917279,0.8104690730615413,0.19038735876710258,0.17572460467521753,0.10770566923039623,3.8509655338534974,2.6119195307909986
10,sinusoidal,200,0.35177482779678504,0.2844227764227015,0.30979418859970187,0.17393437055815028,0.14648372804364185,0.09455059412955255,2.0224572444649667,1.9416680625302183
15,sinusoidal,200,0.24125032776906438,0.20055337944429583,0.14480865207836605,0.19228071838507732,0.1700263168699786,0.10671702577200612,1.2546776910096438,1.1795431621192012
20,sinusoidal,200,0.24370201713198292,0.21951328256444147,0.13588086621460102,0.22605949557760016,0.20305824280072143,0.12980284440342202,1.0780437092868171,1.08103605909694
30,sinusoidal,200,0.3125337954181983,0.26831160342008353,0.18712011771107492,0.3092699219212183,0.2714156470053425,0.18782311540880636,1.0105534785817658,0.988563505385532
0,sinusoidal,500,13152.288685169278,254.0544015116671,109317.70613105207,0.6796741799957483,0.5554165860094588,0.4412892210086161,19350.87292156891,457.41234221503885
1,sinusoidal,500,2346.555496874149,49.567805969294795,19505.416672300198,0.6409339325513883,0.5399150446514552,0.4072815567119065,3661.1503584045436,91.80667673614009
2,sinusoidal,500,411.7656513973732,9.182019482254312,3410.63974188801,0.5613271118371375,0.4742280831892709,0.34296474128739834,733.557390537805,19.362032337906996
3,sinusoidal,500,130.8674383231552,3.105534416161489,1080.2502809946366,0.4894796723244723,0.4178225435187404,0.29349212970695193,267.3603128433987,7.432663613619015
5,sinusoidal,500,29.5175729888134,1.0009389900790981,240.9372974112055,0.4068938285463438,0.3541563155465145,0.24967160369805852,72.54367335643049,2.8262632801973453
7,sinusoidal,500,11.077346233091417,0.6262607853814562,88.48038555848673,0.3720882588036232,0.31311685616635787,0.23457981050397667,29.77074919995716,2.0000864630830546
10,sinusoidal,500,4.050321975249924,0.41370835495076436,30.555667174622243,0.3505497183231133,0.28543372816515483,0.22390882187377006,11.55420119755055,1.4494024851589666
