guidance_steps,num_passes,total_cost,cost_group,refinement_start_step,nmse_q_mean,nmse_q_std,nmse_p_mean,nmse_p_std,hamres_median,hamres_mean,hamres_p25,hamres_p75
10,5,50,A,40,0.03451845031729519,0.07783584715015562,0.009364132927874982,0.012369673495484422,,,,
25,2,50,A,40,0.03805333172834014,0.16807910177500687,0.007677183154818413,0.011311376198970848,,,,
50,1,50,A,40,0.020718879332583016,0.05501157865913336,0.007446894872479258,0.01158872163338065,,,,
10,10,100,B,40,0.01874286894031065,0.03790652230666177,0.008950557872572207,0.014492730789888298,,,,
20,5,100,B,40,0.03261581600126414,0.08858113601448234,0.008825079287357256,0.012232351512278132,,,,
25,4,100,B,40,0.01908124516537737,0.03220755977720205,0.00746649261476201,0.011737941840218617,,,,
50,2,100,B,40,0.03633406130209051,0.15544020652050902,0.008087516754551737,0.012351318398755874,,,,
100,1,100,B,40,0.022634929445919605,0.0660715935866534,0.007356064539339617,0.011599557600573733,,,,
15,10,150,C,40,0.032428943731552994,0.08226605825299568,0.00800325177647472,0.010895021527618861,,,,
25,6,150,C,40,0.0901112184852741,0.4812649225611029,0.010106861952166231,0.015218787307028848,,,,
50,3,150,C,40,0.047401262592528276,0.24134341799646572,0.006157016721832204,0.009154647150420619,,,,
75,2,150,C,40,0.042658591702041934,0.20725288300572775,0.007763031588030105,0.011736124377401944,,,,
25,10,250,D,40,0.02804864570404482,0.108895418074481,0.00678682028209869,0.009999825790460477,,,,
50,5,250,D,40,0.03392079606574645,0.10152098148572365,0.007384517959292138,0.01115434364460573,,,,
125,2,250,D,40,0.036338261841409515,0.1652055564074541,0.00757867871566013,0.011516972258962399,,,,
