trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,0.0005696909345434,0.0024690102084435,0.0053886712616352,0.0261284120266493,0.0059583621961786,0.0278750434585023,0.14846414,1.1759225,0.0002848339508546,0.0019581198134996,0.0006758079264644,0.0034781386674534,0.000960641877319,0.0049401022285979,0.014225803,0.05582671,0.00025357028001526147,0.0010989601061799283,0.00030889966596851716,0.0014977825433111654,0.00012678001403329666,0.0008715620335620758,3.873994768060537e-05,0.00019938048183004424
100,0.0002982635600454,0.0014312185839332,0.0014694543305943,0.0056930895292851,0.0017677178906397,0.0065693817048012,0.032610696,0.3666239,9.103883116136928e-05,0.0004860672030186,0.0002119649901067,0.0014228012988496,0.0003030038212681,0.0015939406949257,0.009559669,0.07593608,0.00013275755300490768,0.0006370375147041067,8.423485676482507e-05,0.0003263501090603516,4.0521518792207294e-05,0.0002163492330704655,1.215066042479476e-05,8.156052292209157e-05
150,0.0005520446930573,0.0027469112754596,0.0015588715247879,0.0041882161954115,0.0021109162178453,0.0058870604050182,0.039523054,0.60911316,0.0001486876269557,0.0008678210081224,0.0002388485557281,0.0005367600907958,0.0003875361826838,0.0012459989168434,0.008885406,0.04093384,0.0002457159117542787,0.001222654283332828,8.936059928597182e-05,0.0002400848968051466,6.618108331349852e-05,0.0003862684179959676,1.3691731319138612e-05,3.0769183106883344e-05
200,0.0012421216446659,0.0079638295513819,0.0027541913920964,0.0148628701488785,0.0039963130367624,0.0222991204198651,0.06882954,1.3986425,0.0002604472826748,0.0012608779547682,0.0005414155096546,0.0020633711314729,0.0008018627923295,0.0030089874741695,0.014640424,0.15905616,0.0005528701865396364,0.0035447123464519203,0.00015788099880744558,0.0008519977191796307,0.00011592547185254854,0.000561218647988308,3.103604988360902e-05,0.00011828048554731243
250,0.0016251116649333,0.0119675909867114,0.0036765946688523,0.0161591538737055,0.0053017063337856,0.0265398523477399,0.06918044,0.89637285,0.0003827941503627,0.0015014311281491,0.0009525758616585,0.0037265964153985,0.0013353700120212,0.0048948436332614,0.0358453,0.45391765,0.0007233396126681944,0.005326792500289201,0.00021075675430337477,0.0009263057610248066,0.00017038224414343275,0.0006682892222842515,5.460536581084599e-05,0.00021362304954686615
300,0.0028894628730976,0.0185921830496237,0.0076358616842945,0.0595815748216843,0.0105253245573922,0.0753575263073073,0.073632434,0.8262888,0.0005341222289936,0.002651942434855,0.0015212524633037,0.0064803729285589,0.0020553746922974,0.008141257277345,0.04321466,0.77172613,0.0012861042108951507,0.00827540825406785,0.0004377173906401213,0.0034154483854544047,0.00023773859641427187,0.0011803835115078666,8.720412787357539e-05,0.00037148026587463805
350,0.0046585600752233,0.0326831457274202,0.0106722782972414,0.0533113293208305,0.0153308383724647,0.0815238082075623,0.07107174,0.5711506,0.0012200697227929,0.0163893974989058,0.0030833002792526,0.0267957375425646,0.0043033700020456,0.0429691569857816,0.028301869,0.37446827,0.0020735319997483626,0.014547316643758497,0.0006117766404886511,0.003056013443756627,0.0005430548434032866,0.0072949451379454395,0.00017674680456434958,0.001536036246116549
400,0.0046572475582039,0.0286207427604568,0.0151204572188606,0.0839221426273643,0.0197777047770646,0.1083903198678607,0.1790538,2.583033,0.0007277110987639,0.002815481658727,0.0033075175137513,0.0149205495794719,0.0040352286125152,0.016852578726804,0.105824344,2.02228,0.002072947796476108,0.012739135057205161,0.0008667636152627283,0.004810744720970149,0.0003239052895087243,0.0012531750626388989,0.00018959981145199112,0.0008553041292348154
450,0.0052654076358592,0.0357930381326195,0.0272785744700138,0.2402858676992319,0.032543982105873,0.2725575972159685,0.15082318,2.1251583,0.0013189615262058,0.0069028183424495,0.0056302342984599,0.0203755402310712,0.0069491958246657,0.0246834347071276,0.13485448,2.6751587,0.002343640749153608,0.015931534366365855,0.0015637143430656405,0.013774123650423721,0.0005870717317933422,0.0030724546835070943,0.0003227470019373562,0.0011680054814470265
500,0.0058839691592041,0.0255389036768074,0.0243190144076362,0.0914387378332613,0.0302029835668403,0.1113388395524693,0.16738614,1.9277109,0.0013568935035096,0.0050215308910916,0.0067746803814745,0.0178284081297468,0.0081315738849841,0.0215913087553456,0.059530288,0.5976928,0.002618963400736515,0.01136740390963251,0.0013940608106278894,0.0052416252916319345,0.0006039553111575919,0.0022350908483034313,0.0003883511176085193,0.0010219939292340535
