trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.04949792610514136,0.08532781136457648,0.08820456087604261,0.08609659686973616,0.06885124349059199,0.05904794772638564,0.03753095,0.10478802,0.035812301718059825,0.10292414459330936,0.02782663351621627,0.03306682697157775,0.031819467617138046,0.05536990607856256,0.026194809,0.06987235
100,0.0485559905935275,0.1472586260760251,0.06090169671675698,0.07699901326367921,0.05472884365514224,0.08717618092160813,0.030427871,0.122244745,0.03138062054504199,0.05951750716587391,0.019652899677302035,0.02096159538566809,0.025516760111172015,0.032117230041008714,0.023311935,0.072923034
150,0.06002568649634645,0.1059143225552776,0.05187169224449423,0.042015632314853585,0.05594868937042033,0.06113226957249423,0.018956255,0.06622256,0.04006914400373452,0.06567213381405247,0.02159110265718743,0.015012207219171642,0.030830123330460976,0.035469470431263056,0.0418187,0.22385846
200,0.08547990430281338,0.1628595267211852,0.06291460789757675,0.09304482694110541,0.07419725610019506,0.11434975214434748,0.03335196,0.17233326,0.043369620386104694,0.07122625437069802,0.02559748882432299,0.02649659640347482,0.034483554605213844,0.039483819580129725,0.021081995,0.060295545
250,0.08131767092131081,0.13777915472717756,0.05289067710348323,0.06449988409324979,0.06710417401239703,0.08042970023830674,0.022335554,0.06882672,0.06548084351558423,0.10905044604157527,0.032492338449629704,0.030628751059366,0.048986590982606965,0.061819391581137695,0.016566897,0.062722705
300,0.10387931431265737,0.14826210671508014,0.06495033456181065,0.06885785376593401,0.08441482443723401,0.09376919738927893,0.16078301,1.7750663,0.06100766062275075,0.10303029439161879,0.032045826069513075,0.03197606654791658,0.04652674334613191,0.0578857879496598,0.05015709,0.18109667
350,0.11863178401791942,0.15812417035115273,0.08191129564533622,0.1418609197239078,0.1002715398316278,0.12991599881741514,0.023593102,0.0778603,0.05942704190331582,0.08171469418078395,0.033270893437207655,0.03693156252688032,0.04634896767026173,0.04912167200417823,0.018530793,0.04032076
400,0.11773083774994424,0.17585689180456052,0.07722592857018076,0.0923498162041082,0.0974783831600625,0.11968897158592212,0.02323953,0.06740889,0.056424950046512726,0.07677285832034228,0.03424250529181186,0.03299401222156129,0.04533372766916229,0.04687808641503853,0.016917415,0.033025287
450,0.11107795234769936,0.17826679665606826,0.07851997963063428,0.11972253639113935,0.09479896598916682,0.1383279705869983,0.032169353,0.091309234,0.07308535427676313,0.08845055898963856,0.049727044727871254,0.08924469398019327,0.06140619950231719,0.0738142630323182,0.026184566,0.055897582
500,0.14622528084310404,0.2174735567063196,0.08568020353521727,0.10387270458532404,0.11595274218916067,0.13945075384332264,0.02849715,0.07621022,0.092405011201668,0.14304635046101724,0.05021399409696146,0.05538360453083614,0.07130950264931472,0.08670627729362594,0.027266301,0.05120879
550,0.15018114142701003,0.18563951041085644,0.11794499829898111,0.18451668407033184,0.13406306986299557,0.16877088485413486,0.03296924,0.10627644,0.07986600966958889,0.09410766922895702,0.06054690965129126,0.08673333423669004,0.07020645966044008,0.07496174675580869,0.025255008,0.056221496
