trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,0.0005490923917459,0.0025506065884823,0.0053618184205577,0.0300080119299489,0.0059109108123036,0.0319753500254295,0.15723132,1.7971156,0.0002534912206723,0.0015867335782218,0.0006693413871475,0.0041962095794685,0.0009228326078199,0.0052939884476154,0.01670312,0.13569261,0.00024440183806128383,0.0011352787759710376,0.000307360356324932,0.0017201763498795547,0.00011282931833697409,0.0007062574693448418,3.836926041133659e-05,0.00024054310877341876
100,0.0002847470943952,0.0011512676482781,0.0013718530425667,0.0049175573877921,0.001656600136962,0.0055978567586444,0.032092813,0.30483463,8.697441995092989e-05,0.0004008082693775,0.0001761227305221,0.0009616329815742,0.0002630971504731,0.0011393750841584,0.00942509,0.06497598,0.00012674135409437937,0.0005124309379793191,7.863997004674497e-05,0.0002818935802012612,3.871244333350387e-05,0.00017840035523813036,1.0096042231240285e-05,5.512455526976049e-05
150,0.0005528967019202,0.00209479034406,0.0016072390909044,0.0047474854255575,0.0021601357928247,0.0061390939951561,0.041440416,0.68187445,0.0001383429692039,0.0006361514784688,0.0002200822867471,0.0005348814869229,0.000358425255951,0.0010594214372622,0.009799017,0.070714556,0.00024609514216298125,0.0009323942894444887,9.213321692985519e-05,0.0002721443916213409,6.15766608034434e-05,0.00028315196670058193,1.2615975545915368e-05,3.066149420165036e-05
200,0.0013802150894388,0.0080198999222001,0.002884300858744,0.0146907397059801,0.0042645159481829,0.0220533400933287,0.06317049,1.1839556,0.0002730539571292,0.0012332234306825,0.000544783427161,0.0022310579130484,0.0008178373842903,0.0032237070582898,0.013051071,0.13811938,0.0006143357836487102,0.0035696693516749814,0.00016533938118696182,0.0008421305304548552,0.00012153672135228922,0.0005489095782964758,3.122911205835018e-05,0.00012789294626370235
250,0.0014674303697856,0.011157364829037,0.0039449409232385,0.0236876933812314,0.0054123712930241,0.0345795745061218,0.06805864,0.7228259,0.0003361652444667,0.0013506413490265,0.0008102443160297,0.0023693549099631,0.0011464095604965,0.003418688846115,0.02643678,0.2828528,0.0006531554343016956,0.0049661596356608525,0.00022613940882415661,0.001357871025668514,0.00014962764896222182,0.0006011724679230423,4.6446366167550344e-05,0.00013582066982990786
300,0.0025359279543404,0.017167925733126,0.0069013066440083,0.0584606261123795,0.0094372345983488,0.0741068752073181,0.059505727,0.7271734,0.0004900485846658,0.0028990356877072,0.0013161283401392,0.0074239635067039,0.0018061769248051,0.0092292367728529,0.02704883,0.37144354,0.001128745294140953,0.007641469209825268,0.00039560982913505304,0.0033511912309426226,0.00021812135194740933,0.0012903650848777005,7.544561263834253e-05,0.0004255705601694847
350,0.0056807880989656,0.0474423100725429,0.0137854739843508,0.0916171386737876,0.0194662620833164,0.1307079461103952,0.09566275,0.849531,0.0011929134800184,0.0143424882768075,0.0031526108133512,0.0281289515229567,0.0043455242933696,0.0422895409425411,0.031161387,0.3908153,0.0025285272094361087,0.021116642586751746,0.0007902371664979707,0.005251851924018923,0.0005309675594621942,0.006383862806910477,0.00018071995486275175,0.0016124612743307783
400,0.0045007662574069,0.0294653757319899,0.0165337130054632,0.092576489234374,0.0210344792628702,0.1183131052806013,0.1603367,2.3941975,0.0007227572333064,0.0031831514573053,0.0036488299626944,0.0216186906896988,0.0043715871960008,0.0244313974356431,0.09255674,1.6107719,0.002003297737375115,0.013115082445719302,0.0009477769521715277,0.005306845642010532,0.00032170031664528395,0.001416825435368416,0.00020916517299483401,0.0012392677171214562
450,0.0061825565005058,0.0492000509885378,0.0256734549261371,0.2027805798665683,0.0318560114266429,0.2461074085011308,0.17594884,2.4224846,0.0011030821993567,0.0067024712562789,0.0052975048549067,0.0282100235774262,0.0064005870542634,0.0341254945642393,0.056663,0.6715673,0.002751865069258882,0.021899015675802814,0.0014717026268429303,0.011624174187734235,0.0004909835231886075,0.0029832798982680803,0.00030367365175858034,0.0016171086408760906
500,0.0048313077056519,0.0240449755916889,0.0205684897413198,0.0654677238001769,0.0253997974469718,0.0843259470521924,0.15428208,1.7577246,0.0013673497293527,0.0099300854372509,0.0064443849108667,0.0303939961541995,0.0078117346402195,0.0395550755567843,0.063600756,0.71608293,0.0021504222262970106,0.010702454302930802,0.0011790661003585788,0.0037528654155564688,0.000608609392790579,0.004419895757894244,0.00036941729225753597,0.0017423024719143115
550,0.0089135524112309,0.0490613308424302,0.0448710243346074,0.3443112529682099,0.0537845767458384,0.3875658105851575,0.21348609,1.9986364,0.001685112637233,0.0057738925029556,0.0091423880882255,0.022169727615647,0.0108275007254585,0.0267582434973986,0.06722483,0.70257026,0.0039674354001403575,0.02183727113300005,0.0025721822237156473,0.01973726469237377,0.0007500461344411222,0.0025699681177583033,0.0005240773633221106,0.0012708553041345235
600,0.0119053823999999,0.1207674557385919,0.0540228778064218,0.3356968494808256,0.0659282602064218,0.451512088601208,0.6353619,15.217558,0.0017505134493667,0.0069983160140575,0.0116657290033609,0.0462676709402902,0.0134162424527277,0.0512114290704552,0.071487226,0.744012,0.00529910336606692,0.05375377368942937,0.0030968021797636663,0.01924345346682806,0.0007791561329340058,0.0031149608387961093,0.0006687251118977938,0.002652243457556912
650,0.0114337899945196,0.0782466686288434,0.0812628347536124,0.5115536575923241,0.0926966247481321,0.574322551378087,0.27937648,2.4764051,0.0018024300844895,0.0070868779419689,0.0177443985002279,0.090370540535245,0.0195468285847175,0.0964547388010122,0.07189229,0.7362178,0.0050891968868519155,0.03482770827374939,0.0046583028157164705,0.029324251987732333,0.0008022643042376088,0.0031543798842776456,0.0010171781694230434,0.005180392053877219
700,0.0228310984563142,0.1630040013177961,0.1346377559268028,0.5925505910057544,0.157468854383117,0.7138540771305837,0.7907997,14.048402,0.0039928339260462,0.0248135685120837,0.0268985882068382,0.1147565678693609,0.0308914221328844,0.1298222488887379,0.07087641,0.6831147,0.01016215578937312,0.07255332277823492,0.007717961592617123,0.03396731230095146,0.0017772163032459833,0.011044556151889415,0.0015419320475667034,0.006578294306968399
750,0.0180517132552297,0.168626705746293,0.1291689117517186,0.5512642539413188,0.1472206250069483,0.6585672367198759,0.20171493,1.9011664,0.0037980156966808,0.0197011355350463,0.0390422734657252,0.1213683691078111,0.042840289162406,0.1339864289518992,0.07071913,0.6768931,0.00803484434687821,0.0750559968597871,0.00740446610237548,0.031600618340778854,0.0016905024203721834,0.008769004650292067,0.002238055477252169,0.006957308556464058
800,0.0173812243870751,0.1026447687456875,0.1542969327932939,0.7708978136784274,0.1716781571803691,0.8496960991451724,0.3732261,5.1985164,0.0043580250043122,0.0319887232968644,0.0519662748892625,0.3049700350745052,0.0563242998935747,0.3356420165857994,0.14898245,2.60305,0.007736408757094175,0.04568733882663339,0.00884490233040344,0.04419087110332752,0.0019397633938876902,0.014238228189847884,0.002978909674673718,0.017482072553881296
