trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,0.0006790647048356,0.0027331291188431,0.0046605397185629,0.0147323759182328,0.15093678,0.5347352,0.0004230594099086,0.0010920616121054,0.0016111418053587,0.0040315908819425,0.1270709,0.1605559,0.00030225270741169956,0.0012165198249790873,0.00026716032439140226,0.0008445172806262046,0.0001883043708947111,0.00048607824345568614,9.23569357526913e-05,0.0002311065226079225
100,0.0003705111186235,0.0026454613445191,0.0017594464524455,0.0117001014116178,0.014595902,0.030134548,0.0002755467524682,0.0021345480775288,0.0005557741559759,0.0034223741620221,0.0878409,0.06225685,0.0001649150484963024,0.001177498768585644,0.0001008583368815458,0.0006706954724771601,0.00012264626825536146,0.0009500905155860118,3.185914352526192e-05,0.00019618384275813306
150,0.0005363504167862,0.0015033168003654,0.0015179463856619,0.0036091430110984,0.066496134,0.5299771,0.0002389455653358,0.0005771067306268,0.0005307475429476,0.0013108106804072,0.08845874,0.059916783,0.00023873036610593638,0.0006691285377848351,8.701461060120274e-05,0.00020689016205130265,0.000106355025570427,0.00025687106185219024,3.0424520400298956e-05,7.514078363037469e-05
200,0.0011900444062541,0.0049112968717448,0.0031006511292788,0.0155701290994024,0.22213812,2.5351117,0.0003314656839995,0.0008375801258781,0.0007311124546105,0.0013136539671785,0.08532382,0.0870158,0.0005296905304738689,0.002186025522776742,0.00017774142299942122,0.0008925405622967262,0.00014753586762718677,0.00037280815645127297,4.1910219059470796e-05,7.530377192401217e-05
250,0.0013373776436351,0.0052322244955779,0.0030876611561637,0.0130106957140881,0.033909082,0.21723618,0.0006343715854953,0.0013770383459544,0.0018468006427156,0.0055140359152346,0.080309756,0.060929365,0.0005952687729786372,0.0023288708841922518,0.00017699678704718522,0.0007458238524797782,0.00028235973369787615,0.0006129218104115871,0.00010586581996693928,0.00031608605714751115
300,0.0015518189804466,0.0042846154096615,0.0052253199575382,0.0310388605239509,0.040025767,0.31362364,0.0022005545425385,0.0092580385133578,0.0067013134737914,0.0339926996667341,0.34640235,2.542267,0.0006907169300845962,0.0019070886744166774,0.0002995357317403651,0.0017792686141671161,0.0009794700910723973,0.004120766675189863,0.00038414544014628424,0.0019485942011678676
350,0.0030711484152137,0.0112319984555761,0.0121306179704816,0.0665556251790497,0.37268555,3.9350884,0.0008904864856676,0.0021310279707068,0.0029739744864871,0.0050778955481261,0.09248232,0.06986006,0.0013669727151939396,0.004999379173541057,0.0006953743617190671,0.0038152281681209147,0.00039635685567213037,0.0009485237108179957,0.00017047982347989603,0.00029108478927014576
400,0.0086174339078966,0.0729089200662636,0.0293655257608983,0.1586703499714797,0.29174656,2.0124032,0.001243805605068,0.0028841881452955,0.0047995903219652,0.008931242876277,0.083101615,0.06297311,0.0038356326150594264,0.03245186847080566,0.0016833465353718316,0.009095603670286738,0.0005536197198125107,0.0012837564217261781,0.00027513124762242096,0.0005119736957805224
450,0.0029829757853845,0.009728634903536,0.0109189613455173,0.0266249851555819,0.03451708,0.24377307,0.0016620268215363,0.0041510557509285,0.0074542132737968,0.0180786943006832,0.09917,0.07828502,0.0013277269468662553,0.004330229826516464,0.0006259174754946815,0.0015262480529347146,0.000739770603630219,0.001847641072199146,0.00042730459486875244,0.0010363413092921445
500,0.0131292060316092,0.1222439830508805,0.0786914989007243,0.7545098972597042,0.17805502,1.9418669,0.002967435411086,0.0109211665947028,0.0132713168169593,0.0432238029319829,0.18834034,0.95128894,0.00584382907985274,0.05441097818633308,0.004510903810008897,0.04325145178047808,0.0013208099032142075,0.004861027451194487,0.000760763671168371,0.0024777570646473063
550,0.0068806300727929,0.02605510094957,0.0303355621937762,0.0755197182542481,0.035236932,0.118339665,0.0033078439507271,0.0166587629132896,0.0173919295579193,0.05987291395817,0.092725895,0.11527675,0.003062578651770013,0.011597164081439413,0.0017389528092647297,0.004329084965501281,0.0014723262491528387,0.007414840083450358,0.0009969732741423535,0.00343214908170669
600,0.0106425581388407,0.0495974846334899,0.0678695924411602,0.2793362633207096,0.2949648,3.541918,0.0039418539309395,0.0191132448569337,0.0320396278512393,0.2179746928448943,0.25742397,2.3700168,0.004737018414216927,0.022075913980703455,0.0038905498993330604,0.01601264472134028,0.0017545250318029097,0.008507333637417598,0.0018366365028547227,0.012495160038570602
650,0.0324846419872574,0.3191014618782627,0.0981876822390105,0.6038202863014126,0.6564633,6.9062614,0.0048227261482718,0.0202704860819134,0.0332620967402917,0.1314860658776347,0.092070945,0.07702292,0.014458962334561882,0.14203253402057806,0.005628501122677416,0.03461333521520499,0.0021466025623776905,0.009022423423247694,0.0019067131902514225,0.007537294419550622
700,0.0112643085757606,0.0299535665655639,0.0982701371009623,0.2693823452647179,0.08596005,0.5216337,0.0088296386377298,0.0577645863217568,0.0429058923793433,0.1260481341475087,0.449829,2.768898,0.0050137604559623355,0.013332376909900058,0.00563322775714401,0.015442047293275835,0.003930085255081677,0.02571110305680624,0.0024595331911263156,0.0072255709512895816
750,0.0151341599672175,0.0969984169110112,0.075637988461997,0.2240785322956244,0.25306264,1.7067229,0.0068354212972067,0.0254805803509372,0.0908244918554616,0.406335737430362,0.2669088,1.4095694,0.006736237050636707,0.04317413924951342,0.004335864675358099,0.012845055936076853,0.0030424561586962413,0.011341444110773886,0.005206414315093859,0.02329275019185743
800,0.0176095659425508,0.1200014177430752,0.1961791899881468,0.806989003864294,0.44850835,3.0420034,0.0077354124047026,0.0230532637907951,0.0714792157478362,0.1382354253902721,0.23484915,1.706656,0.007838043922146433,0.05341280904132384,0.011245756758025678,0.046259758970396504,0.0034430435356428116,0.010261041909299107,0.0040974675938012205,0.007924194046142885
