trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,0.0005855944075095378,0.0023241288324888252,0.0050667807165980195,0.02208231313653348,0.005652375124107557,0.023738842907654312,0.120620966,0.8726685,0.000257673277287062,0.0014113063433514187,0.0006244601047211664,0.0027501259994614723,0.0008821333820082284,0.0038541640528416874,0.013724755,0.05936211
100,0.00030880489302296155,0.0015967256418327781,0.0013979102091193556,0.006053530730550459,0.0017067151021423169,0.006874937187918228,0.03378705,0.3712967,0.00010775353468891284,0.0007228937692535558,0.0002300438892615014,0.002124006795077766,0.00033779742395041425,0.0024350094130601288,0.012936806,0.17648464
150,0.0005715430555141374,0.002481670263850392,0.0015351117739997664,0.003970604298068138,0.0021066548295139037,0.005788950918465183,0.04011397,0.6879949,0.0001645128137674325,0.0009001032199280958,0.00024387350926759034,0.0007495309534349028,0.0004083863230350228,0.0015670192643638479,0.009945266,0.07199802
200,0.0012193436455024097,0.0076841980835749895,0.0026429014070784244,0.013792051411067926,0.003862245052580834,0.020501847859079308,0.059259657,1.1578355,0.0003089648578426878,0.0021851308623268926,0.0005288996339851496,0.002941205674949595,0.0008378644918278374,0.004927140460149613,0.0112574715,0.10285621
250,0.0017908567855783484,0.014279130170547053,0.003891688211612209,0.021019045938625292,0.005682544997190558,0.03358180107720113,0.061737735,0.64413965,0.0003915460326552125,0.0018536402582156198,0.0008696433198730885,0.003423998055643747,0.001261189352528301,0.005009703588549197,0.02301319,0.26905602
300,0.002375164007886272,0.016076581253297865,0.007181463409293348,0.06439846432983207,0.00955662741717962,0.07918091190048109,0.0611076,0.72784007,0.0005079625539337498,0.0025766416155542085,0.0013582165950725665,0.005862621408111285,0.0018661791490063163,0.0075370802354607505,0.044037346,0.72179747
350,0.004877298393817021,0.04482707811670914,0.011763345928039797,0.07415767262080383,0.01664064432185682,0.11314237231032934,0.10121281,1.1482499,0.0010673074932165366,0.012466414929545649,0.0028729732055362963,0.024090340166017993,0.0039402806987528325,0.036338200100303863,0.038470786,0.6497422
400,0.004059142846755053,0.024821261273000016,0.015905739092875227,0.08320892663161589,0.01996488193963028,0.10493508407129888,0.15356643,2.2322526,0.0007789157348158347,0.003940550648815216,0.003658631066283136,0.018322978310869247,0.0044375468010989716,0.02112395382002694,0.09748581,1.6036617
450,0.005393230450748543,0.041534223556029315,0.026366831693173092,0.22413665968234642,0.031760062143921644,0.26362488456016214,0.15638089,2.2257533,0.0009881099997225877,0.005105393740541573,0.00491328383482939,0.02083316247482073,0.0059013938345519774,0.024492782746811253,0.13205048,2.657616
500,0.004490002408739568,0.019365208207280764,0.018463906042859208,0.05116203228897745,0.02295390845159877,0.06603061468021194,0.15863672,1.9381162,0.000994364492334582,0.0032896476495745982,0.005439029964831576,0.014170685053432126,0.006433394457166159,0.016339168945912096,0.066730835,0.7935619
550,0.008394830036875562,0.0454307198764607,0.04699591248182098,0.43455516415887785,0.055390742518696544,0.47224622109225134,0.26591808,3.1636224,0.0019432092908960549,0.011009739853873012,0.009776509700059286,0.030616292060232617,0.011719718990955339,0.03887924765641295,0.06049452,0.54476905
