trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.045971617216372336,0.0892370570587644,0.10381769036621223,0.13744420342002833,0.07489465379129229,0.08660059271289869,0.09173247,0.5519105,0.03285108761037155,0.08305119406559437,0.023948437359446753,0.021533351772568685,0.02839976248490915,0.043190596555912265,0.04855469,0.29887894
100,0.04851140968914218,0.10358857535844439,0.057669551377973305,0.08451121403210635,0.053090480533557735,0.0709526437345412,0.020450754,0.044942707,0.02887078214795462,0.0471347808171318,0.022109476920851127,0.025018358586184345,0.02549012953440287,0.026887573018824832,0.025314175,0.07267551
150,0.06571204218709538,0.19511617813118198,0.05091302147843877,0.04784564911241169,0.05831253183276708,0.10123583786779793,0.026370877,0.10265416,0.038286186161098,0.06169400907852187,0.02088769283273846,0.01609071134873165,0.029586939496918235,0.03299141047019541,0.013887128,0.020535367
200,0.07000888766172984,0.09227640664508654,0.066538605358304,0.12090732018679451,0.06827374651001693,0.08947063407631127,0.027006788,0.072554536,0.03967526203147289,0.059666649366868336,0.024349179475001724,0.024435111217172976,0.03201222075323731,0.03277483288189008,0.03930492,0.14452015
250,0.0830447096926925,0.11754549069893355,0.06228930373992922,0.09720812907801794,0.07266700671631086,0.09339306458917959,0.030837381,0.110026136,0.050650563625242985,0.09056396226926197,0.02701733796575982,0.027403901073321402,0.0388339507955014,0.05035194975601583,0.037133258,0.16058709
300,0.10460293072884314,0.1841079900644637,0.06588206027113568,0.1119781989952899,0.08524249549998941,0.1155030003308667,0.021702977,0.116767295,0.05224192352952106,0.07689556404803995,0.032297898922680854,0.03592837362219058,0.04226991122610095,0.045540807821784456,0.054680347,0.5537682
350,0.1141979876267494,0.1917528547106353,0.06416143471025954,0.14098261085634195,0.08917971116850446,0.13682780068735717,0.011979662,0.02009662,0.060320268733622215,0.08249598592438652,0.03546943354933654,0.044652819406739146,0.04789485114147938,0.0506192238277247,0.015036978,0.023664488
400,0.1414702384134795,0.1887728244737619,0.06719344957832435,0.06080889633735612,0.10433184399590191,0.11262503828120274,0.019104011,0.0418673,0.07396691204228166,0.11432591662609846,0.03648503338676013,0.046089165007473155,0.05522597271452089,0.07091880374239651,0.051350817,0.41094187
450,0.12656699592852363,0.21129062945964314,0.07729825003264613,0.1406959020332815,0.10193262298058489,0.15597966309335268,0.028607843,0.08948666,0.065522317305724,0.07560869527982733,0.03896018180770689,0.03580997325357999,0.052241249556715455,0.04967215422687785,0.018834865,0.037581664
500,0.14719882297736844,0.20781343922060386,0.0913743664861321,0.1247916038423976,0.11928659473175028,0.1445827431746425,0.040986147,0.19787192,0.07462931430927981,0.0815015857742698,0.04938497830102415,0.0773487993889118,0.06200714630515197,0.06370602973626538,0.034470458,0.082263015
550,0.15523626120655962,0.22101995582134848,0.1091076343213556,0.22809012621211489,0.1321719477639576,0.18735723400731288,0.028329886,0.1007599,0.09183965578415364,0.13750954740658294,0.06177194856828768,0.08218503667262558,0.07680580217622066,0.10236704393900592,0.024230963,0.048162878
600,0.17560437628203027,0.20791995071463953,0.12763798639843862,0.17784286370999972,0.15162118134023442,0.1680264141512404,0.038803246,0.09666393,0.08069336667654035,0.0903802871305213,0.04809244141100127,0.035253161357875075,0.0643929040437708,0.056282082707612424,0.02591301,0.049266
650,0.14659406632238312,0.19531890334127153,0.12055663758562711,0.16458388715146535,0.1335753519540051,0.16311639648778686,0.053415693,0.29469293,0.0918902223061071,0.12205231917565372,0.06738915466382324,0.08330028325346593,0.07963968848496517,0.09300507730169198,0.030471548,0.07305562
700,0.18061979520641983,0.25420418397519534,0.12839048172500778,0.17470809767267748,0.1545051384657138,0.19894552809195076,0.044496685,0.15739182,0.14006342159583654,0.22503610893150014,0.08059130697722015,0.12771984694838648,0.11032736428652834,0.16007675930603782,0.025740996,0.044824604
750,0.1557766426159839,0.1920135646698337,0.115965758199848,0.1628656479740312,0.13587120040791598,0.15590322853600416,0.02735952,0.049549382,0.0992702232856123,0.11027827388003741,0.07872561109567361,0.08810043087855639,0.08899791719064297,0.08841097811799219,0.029583428,0.06710525
800,0.19323588449321022,0.2554562639754071,0.1433073143267041,0.22291245399045131,0.16827159940995715,0.20002304670212112,0.03830165,0.1032426,0.1330455828011807,0.1824586906258057,0.09332489974249175,0.12332715041108328,0.11318524127183621,0.1386119285919931,0.028548528,0.0654839
850,0.19694789385229364,0.24405034843484336,0.14872973612803297,0.19264368798850118,0.17283881499016332,0.1935194181924178,0.039119657,0.070809156,0.11595367693584356,0.1229881810403932,0.09404500779705682,0.09934413587474986,0.10499934236645019,0.10054142385068604,0.02980401,0.04532527
900,0.2043227177406623,0.19734535109360066,0.18329052196488313,0.25374627975433245,0.1938066198527727,0.20514446802058758,0.058465358,0.18773077,0.1636873683284416,0.24626611209958207,0.11478338331603773,0.13257767321205444,0.13923537582223966,0.1652785261378562,0.04187429,0.08702317
950,0.22503858153048625,0.2674633969090901,0.18592943428069222,0.2672025662284758,0.2054840079055893,0.23716672132042244,0.043383475,0.06801356,0.15315814098908442,0.17262616457736663,0.13871727785079874,0.16418673742442438,0.14593770941994158,0.15253701698627803,0.032178383,0.063384786
1000,0.2864258504980885,0.28470835713849874,0.2673412086102087,0.35692623697994663,0.2768835295541486,0.29464527089857073,0.080968685,0.24153297,0.1950503581761982,0.21365142359462008,0.16111587580751954,0.18108822214932932,0.17808311699185886,0.1769250747802589,0.046521015,0.06789242
1050,0.2826153937851737,0.30231146584089874,0.24959478864488763,0.2564948389711218,0.2661050912150307,0.2513750199307418,0.05897198,0.08910155,0.2289061773849578,0.2474755294046493,0.19732322885127498,0.2086836814972379,0.21311470311811642,0.2019581047730093,0.0574162,0.092914425
