trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
50,0.0007690501410105,0.0031793356028097,0.0056823099374859,0.0273714443989688,0.0064513600784964,0.0296064118355203,0.1519391,1.4400914,0.0003657582759881,0.0021014802619428,0.0008637603893856,0.0046938201949369,0.0012295186653737,0.0063889937262944,0.0164672,0.08541133,0.00034230535853287786,0.0014151269928721838,0.0003257321807911405,0.0015690380098175838,0.00016279955118916553,0.0009353719818176003,4.951411633840931e-05,0.00026906809117398424
100,0.0003418940772567,0.0017634205476921,0.0013888125349303,0.0051527009685882,0.001730706612187,0.0061560480520476,0.033656463,0.34347227,0.0001340597256211,0.0009782581687454,0.000209245390014,0.0012596433361317,0.0003433051156352,0.0019552743683378,0.009205911,0.06674681,0.00015217756093490435,0.0007849011015443617,7.961215433332585e-05,0.000295372927898659,5.967018273119767e-05,0.00043542416200602287,1.1994762334261019e-05,7.220767177630292e-05
150,0.0006464811526261,0.0027364994128681,0.001593521976617,0.004472425484385,0.0022400031292432,0.0064303456428414,0.035058968,0.45602593,0.0001728812281222,0.0009495364685308,0.0002389671117445,0.0007493907777804,0.0004118483398668,0.0016283953245775,0.0077394266,0.016256068,0.0002877497199904992,0.0012180199478489342,9.134689840795968e-05,0.0002563768823738531,7.694969108024122e-05,0.0004226400906362236,1.3698527412662678e-05,4.2958003874596706e-05
200,0.0014568816722939,0.0084561664597016,0.0027792602198848,0.0142660154742376,0.0042361418921787,0.0219241109902768,0.066852026,1.3808675,0.00031056609267,0.0014748176205306,0.0005018765687724,0.001721218798455,0.0008124426614424,0.0029182338620034,0.011218418,0.10736721,0.000648460193400749,0.003763852234652061,0.00015931804184720027,0.0008177836800080567,0.00013823342852505618,0.0006564435105661598,2.8769523491803425e-05,9.86669785716603e-05
250,0.0017023588048345,0.0109525869666505,0.0034431528965133,0.0152524416576202,0.0051455117013479,0.0253979844701164,0.06513054,0.7284802,0.0003642697617677,0.001421635608519,0.0007520667615162,0.0022398523480021,0.001116336523284,0.0032630867460898,0.026104767,0.32096198,0.0007577224292226206,0.004875012705355758,0.0001973749609080334,0.0008743294783607698,0.00016213701130168067,0.0006327721181323575,4.311140170534041e-05,0.0001283970775954688
300,0.0034240367003203,0.0254040852765132,0.0080118273634142,0.074261131989141,0.0114358640637345,0.097199720165304,0.06682358,0.75763524,0.0006839512357756,0.0043401735035059,0.0014918310152655,0.007279600389136,0.0021757822510412,0.0100406635304081,0.055277403,1.1443552,0.0015240438143510724,0.011307396039678936,0.00045926921057067325,0.004256937889161321,0.0003044277095815202,0.0019318176643988156,8.551757565503234e-05,0.00041729510289444474
350,0.0058490750703861,0.0474490224676583,0.0129814501855121,0.0776974897830592,0.0188305252558982,0.1201261450800724,0.08082569,0.7970437,0.0016102454470056,0.0213230200346357,0.0035462923878716,0.0339664001504724,0.0051565378348773,0.0551454078671289,0.034419347,0.5268649,0.0026034319900435413,0.02111963028377443,0.000744147384651333,0.004453923328270762,0.0007167226370167983,0.009490907846878682,0.00020328731905382865,0.0019470866102620703
400,0.0049540489973308,0.0272149022893801,0.0172859944064503,0.1018241180933721,0.0222400434037811,0.1268374750511866,0.14995056,2.302492,0.0009363388094578,0.0041815323168218,0.0038473156037459,0.0214122086339147,0.0047836544132038,0.0248089863027967,0.110703275,2.0950203,0.002205054557291357,0.01211339337817806,0.000990900657848969,0.005836955817014693,0.0004167657930061081,0.0018612062368856116,0.00022054314452872012,0.0012274313598891454
450,0.0071608994121513,0.0540395186013974,0.0296396130638603,0.2397356359686513,0.0368005124760117,0.2911066110071085,0.16842166,2.2323723,0.0012342575706055,0.0053684673335911,0.0051594161025433,0.0207864287512472,0.0063936736731488,0.0242962815303713,0.12471724,2.4253554,0.003187326950455443,0.024053069888901955,0.00169905828920138,0.013742582220351395,0.0005493698755101927,0.0023895127734874892,0.0002957578655827283,0.0011915592149130663
500,0.0059136191996159,0.0244828378477189,0.0219518058627586,0.0726774082531254,0.0278654250623745,0.0934531311223611,0.16146448,1.895689,0.0015108949541609,0.0075031358599967,0.006745134675652,0.0256020746269016,0.008256029629813,0.0321752003923545,0.06601257,0.7840172,0.00263216067770514,0.010897347442591923,0.001258363178820857,0.004166152664142198,0.0006725015852802525,0.0033396569010472324,0.00038665744244886503,0.0014676108295296373
550,0.0093137528776652,0.0508186363858718,0.0508565305291626,0.4256903376714182,0.0601702834068278,0.4682020305907811,0.27851602,2.9668849,0.0020674606148624,0.0109607718293696,0.0093650717570084,0.0259563721727422,0.0114325323718709,0.0345251048922549,0.07017949,0.77491355,0.004145565221386887,0.022619450437081835,0.0029152947971832544,0.024402231408865684,0.0009202297864391335,0.00487865579989303,0.0005368424602381931,0.001487920547500894
600,0.0128465748534748,0.1095816266294233,0.0644565099302887,0.3935780407374811,0.0773030847837635,0.4996375965005957,0.7213626,16.750673,0.00234650673827,0.009636585701081,0.0141425423563168,0.0495998517997959,0.0164890490945868,0.0556916664566159,0.107343726,1.5056748,0.0057180295232246835,0.048774944560459506,0.003694898690279483,0.022561429230600144,0.0010444336298904074,0.00428925858996273,0.0008107057190358647,0.0028432570682360783
650,0.0160388849960724,0.1198004451507224,0.0778729926464853,0.4532337819364247,0.0939118776425577,0.545978979193044,0.25609225,2.1360493,0.0023231243212507,0.0090870913198183,0.0172738623879072,0.049388059336501,0.0195969867091579,0.0571396226705495,0.09669287,1.4006433,0.007138931503002222,0.053323355842355286,0.0044639838373010336,0.025981129122232816,0.001034026081390852,0.004044677825771228,0.0009902052032009618,0.0028311162977214207
