trajectory_length,gt_median,gt_p95,gt_p99,gt_mean
50,0.00013771888916380703,0.0011366949882358308,0.0028166798502206798,0.0003118650056421757
100,0.00013234707876108587,0.0009334147820482028,0.001887143289204684,0.0002738817420322448
150,0.0001369766250718385,0.0007990557234734291,0.0018096842267550524,0.0002514431544113904
200,0.00013638671953231096,0.0007230445742607114,0.0014885037892963737,0.00023896869970485568
250,0.00013537314953282475,0.0007154518330935386,0.0014014689729083328,0.00022775796242058277
300,0.00013331641093827784,0.0006991781527176485,0.0013178418669849634,0.0002203013573307544
350,0.00013300016871653497,0.0007072278560372069,0.0012662830029148602,0.00021775250206701458
400,0.00013608764857053757,0.0006468602747190733,0.0012202017859090119,0.00021587434457615018
450,0.00013994250912219286,0.0006802983727538954,0.0012560167105402794,0.00021506928896997124
500,0.0001410169352311641,0.0006456629169406368,0.001199923352105543,0.00021579713211394846
550,0.0001467221009079367,0.0006296252540778358,0.0012099473027046765,0.00021959458536002785
600,0.0001474933378631249,0.0006321768363704903,0.0012698507274035362,0.00022423072368837893
650,0.00015005399473011494,0.0006537966459291054,0.0012168829492293293,0.0002273062418680638
700,0.00015412575157824904,0.0006666238332400097,0.001208220754051581,0.000230998222832568
750,0.0001572163891978562,0.0006741971097653731,0.0012182585557457058,0.00023573175712954253
800,0.00015857390826568007,0.0006906255963258444,0.0011951359861996022,0.0002381235535722226
850,0.00016503891674801707,0.0006901963963173327,0.001189034251729026,0.00024194388242904097
900,0.00016689047333784401,0.0006993037881329653,0.0011935336957685648,0.0002446935686748475
950,0.00017132671200670302,0.0006858397449832407,0.0011635303299408406,0.0002468056627549231
1000,0.0001767679350450635,0.0006884398404508828,0.0011532988864928482,0.000250179844442755
