trajectory_length,unguided_p25,unguided_median,unguided_p95,unguided_p99,unguided_mean,unguided_std,guided_p25,guided_median,guided_p95,guided_p99,guided_mean,guided_std
50,3.3277783393859863,5.9186811447143555,17.02685079574583,67.00000205993648,10.021470147550106,41.653123825561785,2.5026609301567078,2.8924375772476196,4.436871862411499,5.305996356010437,3.0193102620840073,0.759439669823316
100,0.34940123558044434,0.7408368289470673,5.289822816848754,17.5038498878479,6.206956266626715,142.7498986026893,2.0877005457878113,2.3343899250030518,3.18051620721817,3.864088907241821,2.9552051287889483,17.351946344782412
150,0.3050848916172981,0.6491847634315491,4.077798128128051,9.849484882354734,3.105235919818282,46.31323632048434,2.0374711751937866,2.240148663520813,2.7900240063667296,3.1804070806503293,2.278912276625633,0.5941476744402745
200,0.23486024141311646,0.49804918467998505,3.230663537979124,8.142129154205321,5.120497148402035,90.01162661842906,1.97381791472435,2.1644504070281982,2.8178156733512876,3.326366837024689,2.593704880952835,10.704828290117298
250,0.3472191393375397,0.9375047385692596,6.2796032905578585,17.121325988769495,12.545077608644963,169.8623523702517,2.0154409408569336,2.240536093711853,2.989315950870514,3.543693988323211,3.7635811748504637,28.962486584386003
300,0.22073033079504967,0.4469141513109207,2.5853273868560747,8.081776151657087,20.072266704894602,397.0215640315759,1.947352111339569,2.130529999732971,2.664265418052673,3.17021761894226,7.322043925523758,126.34830351147696
350,0.21828020736575127,0.488867849111557,2.988819932937622,7.851086888313294,12.949574786990881,221.6185816107934,1.9474925696849823,2.1032897233963013,2.6360750317573545,3.210538659095763,5.206292459726334,73.36560885870414
400,0.2101559042930603,0.4595220983028412,2.496683037281035,8.948845272064194,34.35709254202992,545.7614688709938,1.926027089357376,2.0805749893188477,2.5977494716644287,3.1014986371994016,13.90637851011753,231.4293729978478
450,0.2802736386656761,0.6164364218711853,3.316029024124145,40.04464485168379,38.94425360293686,546.5292168228677,1.9361673593521118,2.0633105039596558,2.430646407604217,2.8776223540306085,15.055283258318902,223.5820955581081
500,0.2193395271897316,0.4592769593000412,3.3397065877914427,433.30512298583704,36.74117953356355,494.9940318900422,1.9215659201145172,2.0507302284240723,2.5930246114730835,3.3679457569121984,15.12252952492237,237.41179338595018
550,0.2159697599709034,0.5006880760192871,3.479043292999265,1035.4395349121094,36.6652877189666,401.4773024706952,1.9316771626472473,2.0517256259918213,2.523973083496094,66.52113929748445,13.473337566018104,150.19337177110557
600,0.21908259019255638,0.5008517503738403,3.2759836554527277,433.23548614501783,34.056223445408044,400.4635873168478,1.9283156096935272,2.0590425729751587,2.558321714401245,33.71473114013646,13.188644402861595,158.33705129575523
650,0.22417474538087845,0.5022146999835968,4.0984294414520255,818.4166949462864,38.52438635391742,447.09624429188733,1.9344868063926697,2.0770273208618164,2.6474109649658204,28.396557579039705,15.880886496424676,210.60480324268582
700,0.2391185760498047,0.5237753689289093,3.477517700195312,237.37750091552417,28.81735352370888,339.4567499917303,1.9523708522319794,2.078615665435791,2.5871255874633783,3.4799771165847333,11.788284078478814,145.54332444904207
750,0.2612326964735985,0.5575795769691467,3.9160387277603115,44.04507385253847,18.420356587558985,217.05298466708678,1.9637865126132965,2.099902391433716,2.6841960787773127,3.493642621040343,6.179736679553986,58.69323014598504
800,0.2744133844971657,0.5614540576934814,3.5059842944145183,63.81756576537872,21.741708911038934,237.73778039381838,1.9706873297691345,2.093164086341858,2.60865204334259,3.859295642375942,7.019047156095505,61.703009485083555
850,0.2846256121993065,0.6412966251373291,4.330164909362791,189.2123777770972,20.44642708555609,214.87404746443767,1.9845177233219147,2.1179131269454956,2.6528784036636353,4.392918658256526,6.163796247839928,48.640523413844555
900,0.3082481101155281,0.6200851202011108,5.211192846298216,454.7294006347641,20.932312559597193,216.7340601238442,2.0164125561714172,2.141238570213318,2.809284937381744,8.915913028716858,6.379823608756065,50.398680221626535
950,0.3438175693154335,0.7444729208946228,5.737006592750544,596.8109313964843,22.209459882728755,205.1657263784612,2.0610928535461426,2.193538546562195,2.8281070232391357,19.978251934051038,6.484862525701523,46.82700343360417
1000,0.3619815409183502,0.7408867478370667,5.26492044925689,1006.4200378417952,26.995335669897496,241.40893820818084,2.0615809559822083,2.1982070207595825,2.8756799221038816,137.668046722411,7.357635557413102,53.24169027229085
