trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,0.000940189632311081,0.0035309874369701603,0.006650640459926987,0.019493585130242408
100,0.00021345930309546034,0.0010159838548359954,0.022430193859374142,0.04102631260463063
150,0.001154238691479852,0.005826302048323421,0.028062691706278384,0.041643736433241346
200,0.0017279740486746183,0.007282515273579725,0.04569613712967331,0.05197054885191731
250,0.002315301231534903,0.010771745038132628,0.06078603490023454,0.05806438527110119
300,0.0042204571113469485,0.015225687831595584,0.06443013411161892,0.056346595019437826
350,0.0038628775653302932,0.007285732557601148,0.06859203700845423,0.052152377631325346
400,0.0224663596616579,0.15923269114899974,0.09430613425273485,0.10872788957658311
450,0.015567763994573524,0.05829555422937902,0.08256838927924029,0.05534856546736353
500,0.016720625068266787,0.05169677296347333,0.09767134995875931,0.07187534803504488
550,0.022851856709636666,0.052032513664564656,0.10324843908239066,0.07106911035414475
600,0.02495719116428966,0.03823647902778476,0.11162490062510329,0.07192825096185664
650,0.05411231836130961,0.2097412557341351,0.1289797557762326,0.09863376348341481
700,0.039649250487688546,0.06429481208754878,0.13135826260712702,0.07781366284772637
750,0.08218271239359563,0.36276258987834775,0.16761568514858946,0.13319167078553437
800,0.05666856489231537,0.07331112655152514,0.1884245217465266,0.15673032321885683
850,0.09943421103754126,0.23069772217366155,0.1871102476583118,0.12720498996340163
900,0.08916176628318788,0.13990237853570264,0.22887515125451205,0.18825015017828708
950,0.1084638856605345,0.15633469538962838,0.24177255931696867,0.22029227503863233
1000,0.12613872118170028,0.16061025067383586,0.26671635387102993,0.25982403311808716
