trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,0.00013549636130773908,0.0008348280094690635,0.0038013366597864145,0.004147587558477031
100,0.00015080785695254076,0.0004219423920902829,0.016951719904769246,0.022356967850631966
150,0.0011269252269449932,0.007188874138882007,0.03059486181782463,0.03467382861797795
200,0.0007761534602436747,0.0012999338340698597,0.044159757887653715,0.042346737007377754
250,0.0016844935322245381,0.0026817116176038823,0.05015610907069714,0.04558743686753885
300,0.011416430851453439,0.03522767417717481,0.054688800513437,0.04656632958038978
350,0.010346407699949895,0.019570306668280957,0.06762057788304231,0.0522266103833452
400,0.0439074233983138,0.15761645768620067,0.07808936657311805,0.05367083905463766
450,0.0252616200946035,0.05781692615850748,0.0647239410445703,0.04234282672739097
500,0.02941875863956456,0.05409910526515049,0.08716578016721974,0.06164692541712222
550,0.039612784981563676,0.06472942727101634,0.08693544939395777,0.05413872996911091
600,0.08483890060048184,0.17987910339090007,0.08137316585953817,0.05400830172932568
650,0.08718964534411015,0.18415627624389985,0.11332589037833168,0.0714433851467552
700,0.20754767076142724,0.6458047645648385,0.1036337349010284,0.0776300662819299
750,0.13059336213548,0.2663113810797411,0.11493166620908549,0.07774512967219835
800,0.19929466454537123,0.28955378716774355,0.1255267772822043,0.10420429925173212
850,0.1985143563574642,0.28110413310679994,0.13536171763590168,0.09847829851121864
900,0.291552795314357,0.5224948583491588,0.1427879285222615,0.09867664097492111
950,0.27798096985886445,0.42657601492844305,0.16011187373045765,0.13281643579677255
1000,0.2545662258611985,0.24524296228223685,0.15446092460404284,0.0997046179980812
