trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,0.00025769820868096893,0.0014903062372931383,0.00044892543360193195,0.0023207736230509107,0.0007066236422829009,0.0036651372570103147,0.009355066,0.08120579,0.00023905991435653977,0.0014361875413569278,0.0003525723897147427,0.002752520424503724,0.0005916323040712824,0.004058148838497871,0.011259416,0.07018524
100,0.00011178342323338216,0.00034146061698652223,0.0001960760681346611,0.0004152392719613326,0.00030785949136804327,0.0006718324127003541,0.0030127543,0.0052855,0.0001017637957990122,0.0002770907658624414,0.00014951071233437874,0.0003462023379083183,0.0002512745081333909,0.0005508418245888796,0.006816133,0.007896201
150,0.00026952337312869133,0.0008539791100559184,0.00040172501077795597,0.0009905049621002006,0.0006712483839066473,0.0017138800544325076,0.0054975287,0.010413667,0.00024183382645790314,0.0007530719826195955,0.00033737686431279036,0.0008767448690565839,0.0005792106907706935,0.0015099526151007095,0.008911208,0.012683115
200,0.000527059569290338,0.002966509567328602,0.0008605282921798662,0.004732584953226992,0.001387587861470204,0.007533915111254537,0.0063998722,0.00888833,0.0004975458798429284,0.0028851902417084724,0.0007757292197968801,0.004433090899519065,0.0012732750996398083,0.007137546238324823,0.010252436,0.0123094255
250,0.0007930978334609362,0.0038105251119023497,0.0015924063704590105,0.007539055824114005,0.0023855042039199466,0.010872722132766044,0.008854239,0.013426755,0.0007545064105600259,0.00349989593039446,0.00143351014835241,0.007108434078176725,0.0021880165589124355,0.010069245219118492,0.012117268,0.017509406
300,0.0012272330738728968,0.006835320388148079,0.0021899423548676663,0.00562840552858623,0.0034171754287405627,0.011278438348642426,0.009194154,0.015614519,0.001088830268632874,0.005472749672771352,0.002083495488164757,0.005236986570698646,0.0031723257567976317,0.009587662713824205,0.012676896,0.016779954
350,0.001317241924506002,0.0050048256035763105,0.0032510235824892773,0.008923591724588812,0.00456826550699528,0.01282607928196774,0.011123847,0.025271814,0.0012684616085583812,0.004879874724693544,0.0030539382033063817,0.0077809076699411105,0.004322399811864763,0.011484946778512231,0.01491074,0.026992977
400,0.0021624291400848413,0.01602245420755533,0.006875388815890965,0.051301304351862885,0.009037817955975806,0.06689832532462171,0.011912788,0.02605451,0.0019814991621175944,0.014751225930002491,0.0064327420492052085,0.04505724131854909,0.008414241211322802,0.05942655098868842,0.014772048,0.023019856
450,0.002825453784883882,0.017810859321710393,0.0075445043990176874,0.019970881078966,0.01036995818390157,0.03261413390869245,0.017856907,0.08063584,0.002682063498417528,0.015915656538630748,0.007458456976439614,0.020480130159508853,0.010140520474857142,0.03181956879977348,0.021737864,0.108975
500,0.0030767710508210213,0.016130615731923332,0.011919043511693386,0.02787959432662193,0.014995814562514408,0.037507647549598434,0.018307945,0.032957505,0.0029415056746396394,0.016239649564405646,0.011361863070010992,0.0263310728262416,0.01430336874465063,0.03602736625525046,0.021506794,0.03396464
550,0.0027688908739199685,0.007191159431065404,0.01553975634221987,0.03184114846994643,0.01830864721613984,0.03701270072242269,0.018968903,0.031406175,0.0027944429659457312,0.008191777269985523,0.015282941293038189,0.03274154153130402,0.01807738425898392,0.03861881879237455,0.023206504,0.03812242
600,0.006127601204000035,0.04433348123648664,0.028546425059509318,0.07677736637653516,0.03467402626350935,0.11342318833242132,0.037866578,0.3068403,0.005565733978733651,0.04145997846324629,0.02624829651370129,0.06860093017320572,0.03181403049243495,0.10236832464936166,0.041905444,0.3100234
650,0.004248790594521951,0.013874566390989728,0.03074525075777622,0.06294423564707483,0.034994041352298166,0.07347508985456012,0.029752608,0.053920075,0.0039354132907346556,0.011942420431524992,0.029276594063179683,0.05973597326047729,0.033212007353914344,0.06890141708262497,0.033994686,0.053826455
