trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.027056828992997776,0.05425384969999272,0.0334733530917874,0.040140879647799374,0.03026509104239259,0.033795767850768654,0.03201791,0.2019186,0.05079753972531135,0.1864811840314341,0.02613034325411561,0.055654926589953566,0.03846394148971348,0.10024060469194443,0.04420187,0.35801524
100,0.029156725268278835,0.06405628461293457,0.029350031250355138,0.07920532324901178,0.029253378259316985,0.05509393387697332,0.02898281,0.18267128,0.04404344917121612,0.08483961561341707,0.019813324089047187,0.026205049341459983,0.03192838663013165,0.04687182197636765,0.022786114,0.11575824
150,0.06691842724910012,0.13546873493481082,0.02849552406282463,0.02539787265843335,0.04770697565596239,0.07021116608709004,0.014652801,0.053064846,0.03960473852827128,0.05381744003983845,0.024509905529642325,0.022024968374695097,0.0320573220289568,0.030475075523830723,0.020641837,0.056966726
200,0.05787133565092151,0.10339853721021251,0.03243224779383541,0.028573984854111115,0.04515179172237846,0.05859553843146176,0.025911963,0.07699288,0.05073022318453568,0.07029015400842067,0.035689875948249926,0.13806116312325,0.0432100495663928,0.07903959792254665,0.03665755,0.14671253
250,0.06324862924230373,0.08626349485459792,0.040726456650274336,0.03322890960926337,0.05198754294628904,0.05188928682294063,0.018105056,0.050977353,0.06580154731818587,0.09552959261780684,0.037194195708949766,0.04539417116233674,0.051497871513567814,0.05904303914629708,0.02326166,0.037977964
300,0.09139567586965136,0.1603647174657912,0.047654424599836424,0.0657603752790548,0.0695250502347439,0.09867153498980213,0.025315154,0.075606205,0.08108762159830793,0.11907800651969783,0.037285310668116634,0.0312864681628313,0.059186466133212275,0.06514419877149033,0.036763027,0.1011979
350,0.07565551895241296,0.08908057627652792,0.04591673124503739,0.04830256273870843,0.06078612509872517,0.05844979683456045,0.022032939,0.07910744,0.08949787765612789,0.1427426244230448,0.04509507726375727,0.04769668192390989,0.06729647745994259,0.08021134410075748,0.04804432,0.34966272
400,0.09177852878895287,0.11122063529128652,0.055273319189588506,0.05711179181408543,0.07352592398927067,0.07163417228918349,0.028951177,0.07427059,0.09896879992523626,0.14735768158944315,0.05495278942355222,0.057110192070021326,0.07696079467439422,0.08862580643653357,0.022648081,0.045404937
450,0.10991031971854767,0.17086122770907697,0.06740125341872406,0.10035036658587305,0.08865578656863587,0.11203290029891379,0.027552119,0.103980534,0.09126372698347181,0.10718010028346478,0.05812098466396609,0.061067215773255724,0.07469235582371896,0.0720907018333291,0.02073762,0.04160998
500,0.10897209861258733,0.17170616993828836,0.0746713235208375,0.08696136603266483,0.09182171106671241,0.10968835218576757,0.022631474,0.034317195,0.1254587756672602,0.21226947891025325,0.06344691749261994,0.06709328662309849,0.09445284657994005,0.11964891190255228,0.028602147,0.055088293
