trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,0.0002139322880838205,0.001205519681126664,0.00040006644926830916,0.0017237517275302452,0.0006139987373521296,0.00275934304044728,0.006175685,0.039292302,0.00019529312494881256,0.0011158246834058927,0.0002970115034377255,0.0020115166558731068,0.0004923046283865381,0.0030308357658233027,0.008834229,0.036387134
100,9.932158068869782e-05,0.0004238338032234514,0.00017763618584790264,0.00046179500938802197,0.00027695776653660045,0.0007728719007927964,0.002751905,0.004728783,8.990778453508497e-05,0.00033840367010634377,0.00013553700732960827,0.00040263199714532814,0.00022544479186469325,0.0006508285820203101,0.0068812342,0.008168955
150,0.00023897007938520395,0.0007484538367619707,0.0003551025019804228,0.000794044316501213,0.0005940725813656267,0.0014259083308783733,0.0048590037,0.007101632,0.00021690957168945242,0.0007470916047889738,0.00028392516695819714,0.0006960812955529756,0.0005008347386476495,0.0013271910797800393,0.008015307,0.009756484
200,0.0008240999013545985,0.011475077013192937,0.0016421544342036048,0.022567333223483976,0.002466254335558204,0.034011226424404205,0.006461826,0.014928998,0.000751528272808573,0.010446690296978716,0.0014674929307227772,0.020445956622670236,0.0022190212035313505,0.030868227056000324,0.010335322,0.015360033
250,0.0005191715651608451,0.0012654800836841384,0.0012040282089138166,0.0024557522753751015,0.001723199774074662,0.0033812838466221657,0.007855053,0.01140622,0.00048431429096687826,0.0013398061567502849,0.0010214148921479113,0.002115287005618149,0.0015057291831147897,0.0030447892398435257,0.010932533,0.012640716
300,0.0006706759085313959,0.00244550030633645,0.0015292549310055863,0.004172149571846601,0.002199930839536982,0.006111113637315633,0.0077022067,0.012229816,0.0006528491156011036,0.002610066939894449,0.0014833328892254617,0.0044480557885928675,0.0021361820048265653,0.0065840668392090585,0.011836067,0.014598428
350,0.000946247490119528,0.0032973692385747846,0.00250140263187523,0.006342714515200625,0.003447650121994758,0.008824034439445011,0.008316801,0.011855232,0.0008340660799104402,0.0027791681050417807,0.0022935936851502074,0.0061582554195036806,0.0031276597650606473,0.008366370901799142,0.012010511,0.015372204
400,0.0010846571939505565,0.0033048305413897975,0.0040377589474801835,0.009667506803514442,0.00512241614143074,0.01230501236280263,0.009418653,0.013760087,0.0009996250283614192,0.0030360784144309416,0.0036938009578476507,0.009161450126812489,0.0046934259862090695,0.011537788419044497,0.012834473,0.016518788
450,0.0016769748119096776,0.007974823827495283,0.006292327186221724,0.018887165463945327,0.007969301998131402,0.024332124655312513,0.011049722,0.014682846,0.0016168895873876505,0.008076878153196174,0.00595319618246374,0.019327081987596428,0.00757008576985139,0.024862996253984703,0.01425576,0.016723573
500,0.0018201964035849307,0.00728141590836456,0.009518039028349601,0.02412330957115655,0.011338235431934534,0.029352708575335864,0.012986048,0.017095944,0.0017676916971606491,0.006810565299077096,0.00914989480599651,0.022632069734537963,0.010917586503157158,0.02755340533845817,0.016551314,0.020771286
550,0.0026498310493351333,0.013607268215327019,0.016741853835798057,0.06382169711463086,0.01939168488513319,0.0766122340955061,0.016057689,0.022874475,0.0025255649919799306,0.013828070933131986,0.015885961805545502,0.0650013514752694,0.018411526797525432,0.07807075694298915,0.019567022,0.02655878
600,0.002985287515642996,0.009724601735784842,0.0204455926969102,0.0462319562394835,0.0234308802125532,0.053746405278833224,0.018969443,0.028474802,0.002752827851952382,0.008573529388538677,0.019100985990060413,0.04126342948415284,0.0218538138420128,0.04805641343471524,0.02295485,0.030571228
650,0.0030293931447663096,0.009380773352675766,0.024230812767149036,0.04267264265127638,0.027260205911915348,0.048327488557603535,0.025910728,0.048060797,0.0030165042265918856,0.00993353057865152,0.02337315712559606,0.04209192993915785,0.026389661352187944,0.04808642242163825,0.029863693,0.05168441
700,0.004066472114966546,0.011714636117061266,0.03490813542714306,0.07286846631548592,0.0389746075421096,0.08067014950275142,0.031264614,0.056748446,0.004068645658985968,0.012235936981255658,0.034351621025392236,0.0734242096040191,0.03842026668437821,0.08166071305327725,0.036097016,0.06823073
750,0.004991483425111017,0.01821853029015282,0.05621867824293946,0.15448157543579089,0.06121016166805048,0.16874824353836212,0.042484872,0.09550357,0.004602922897536342,0.015613725282118464,0.053350160887914284,0.13756122143459137,0.05795308378545063,0.14928105844118997,0.045759697,0.0972045
800,0.0052074970129946385,0.012807455871065748,0.06895007089022205,0.15105096076148636,0.07415756790321669,0.1600825330156938,0.054176703,0.1103815,0.005210578212270761,0.014087252173472014,0.06866566541037207,0.1485728995595138,0.07387624362264283,0.1583582223988645,0.057527084,0.11200004
850,0.007592915079054501,0.04465516149857806,0.08567486271654719,0.20114391862308942,0.09326777779560169,0.2324001788567869,0.067754686,0.12667207,0.0074141362710137436,0.04173646582806071,0.08358831534243881,0.19884924226672723,0.09100245161345255,0.2270512891651483,0.071750835,0.1369515
900,0.008937262010968458,0.02924769384980079,0.12565625934307842,0.3052006019841898,0.1345935213540469,0.32939052574534067,0.09869911,0.27546492,0.009219893222693136,0.03310363216334065,0.1258702791605471,0.3245713014525999,0.13509017238324023,0.35239124647985887,0.1092917,0.3487169
950,0.01434894101666219,0.07950082467447894,0.152301488762151,0.35763793303331315,0.1666504297788132,0.40819837531670544,0.15393318,0.78159136,0.013676721485932965,0.0749552155064115,0.1505678744628042,0.34838329552937075,0.1642445959487372,0.39372957912935586,0.14120708,0.4318048
