trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,0.00024506039138353524,0.0015533839181510727,0.0004607818690334317,0.00234684637301623,0.0007058422604169669,0.003720073564096876,0.0063527557,0.027505293,0.00022886401072589493,0.0015601334971527894,0.000371096503619471,0.0030267371995863347,0.0005999605143453659,0.004445972082744193,0.009592561,0.03685172
100,0.00011278075097320004,0.0005381803124361325,0.0002092332665090677,0.0008954526039743047,0.0003220140174822678,0.0013929347547715412,0.0027292955,0.004618848,0.00010666895536468755,0.0004733287489806379,0.0001693104777810096,0.0008050599953133093,0.0002759794331456972,0.0012398947195520393,0.006881897,0.008221884
150,0.0002574347496520907,0.0007211727565419003,0.00036015448505202297,0.000750693801770813,0.0006175892347041137,0.001335912086126755,0.0048218374,0.0073544676,0.00023976264386465736,0.0007086843805226413,0.00029991902086691713,0.0006576985478170601,0.0005396816647315746,0.0012310397220644277,0.0087105045,0.0112338355
200,0.0004096547693202085,0.0032546913647739633,0.0007626520678436353,0.005585943659259516,0.0011723068371638434,0.008737124355096323,0.0056534763,0.007890477,0.00038766051376630506,0.003062686110853009,0.0007072647286220661,0.005171076042511331,0.0010949252423883712,0.008131081719214252,0.0097368555,0.011851731
250,0.0005451539726048747,0.0016716327712507344,0.001272373162484684,0.0029099185650134606,0.0018175271350895585,0.004180567306834663,0.007828968,0.012116276,0.0004885712077524705,0.001628046796494417,0.0011137323069740804,0.0026271900249748917,0.0016023035147265507,0.0038837299776654033,0.011530431,0.01447914
300,0.0006607866105312601,0.002560588763067306,0.0015595989649272411,0.0038353377258671124,0.0022203855754585012,0.005812666703397834,0.0075547695,0.0108707445,0.0006333980373931845,0.0025241582820441314,0.0015064040338794737,0.004051024808135033,0.002139802071272658,0.006025216513480231,0.011404705,0.014215091
350,0.0008788707182038835,0.0035985394435567165,0.0023552186973413926,0.005354687216252393,0.0032340894155452756,0.00833838539652028,0.008142804,0.010948118,0.000824020432311978,0.002926683972595545,0.002256760333837093,0.005156904838511187,0.003080780766149071,0.0076594908846607315,0.012901006,0.0155988205
400,0.0014733361937537492,0.006468507427389831,0.004866147189856443,0.017847377894567116,0.006339483383610192,0.023197110690179122,0.009325615,0.013113088,0.001338010868489385,0.005956809645995697,0.004558372650873962,0.01701161987676284,0.005896383519363347,0.021971013947799593,0.013201777,0.016171096
450,0.001334782006370167,0.005475939984333318,0.005765448861272081,0.013284901931661703,0.007100230867642246,0.01699095448421099,0.010745099,0.014085511,0.001144106940418212,0.0040454693639325355,0.005407799838751136,0.012093255670407931,0.0065519067791693485,0.014470257777913094,0.0146535,0.018634504
500,0.001527596775734323,0.0035946499992912427,0.008864763691661313,0.02000196421022691,0.010392360467395636,0.022735750610177897,0.01211466,0.016524745,0.0014294108923255287,0.0031147602396589427,0.008559470694979346,0.01859041918670774,0.009988881587304876,0.020957033181125042,0.015597838,0.01784871
550,0.0028656601620130253,0.01679695221100653,0.015770074667692917,0.04625964175786931,0.018635734829705944,0.05764347415860121,0.020412948,0.15980454,0.0026552920741951358,0.013567719532228045,0.01550841792168616,0.04477827030696786,0.018163709995881298,0.05389367679762698,0.022090137,0.09903318
600,0.0028812577308727698,0.009213711017031202,0.019423090847383393,0.037309158998077206,0.02230434857825616,0.04384703506650303,0.019621871,0.044670735,0.002762336711507772,0.008540894186873059,0.018410068275395722,0.03435196458176088,0.021172404986903495,0.04041332278865103,0.022632785,0.03497844
650,0.0029659470924716653,0.008740169108695954,0.02412514554883676,0.04571315284370045,0.027091092641308427,0.051521560825403434,0.023436295,0.035507716,0.002769095816607454,0.008030579320089142,0.023127390068051874,0.04423378687836291,0.025896485884659332,0.04978256928780707,0.028357038,0.042767912
700,0.004116547624564871,0.016954180638654382,0.038003604499139684,0.1143008319694351,0.04212015212370455,0.12739304482972796,0.029861057,0.05927409,0.003967749861348855,0.016434541428864167,0.03691609477846892,0.11241134089297876,0.040883844639817764,0.12518184913649621,0.03431364,0.0658537
750,0.004785102567238709,0.02000226579649199,0.05422963149438368,0.1323347720950382,0.059014734061622394,0.14859462343190194,0.04158458,0.07345192,0.004587929213793288,0.020074152311559013,0.05294462108266077,0.14026282808172372,0.057532550296454064,0.15650965073938736,0.04425477,0.073522374
800,0.00493838250121921,0.01919677314021487,0.06169506069956384,0.11619733639206359,0.06663344320078303,0.12866345638650037,0.046341594,0.082185596,0.004875066748869585,0.020488156880923272,0.06062505703246999,0.11263570506516037,0.06550012378133957,0.12572534609325658,0.049365893,0.08036362
850,0.0072751297215942435,0.027990009843640407,0.08489124041109583,0.2141276967717153,0.09216637013269008,0.2300591046837192,0.0676088,0.15153918,0.007185652727897329,0.030636631953327578,0.08459818761301219,0.23337508862660145,0.0917838403409095,0.2519736089657564,0.07893052,0.30049586
900,0.007807145341055314,0.023911501859864525,0.11978251120497914,0.25567833183455185,0.12758965654603446,0.27533332444987396,0.090181254,0.2264431,0.008093952130560128,0.030883271623929218,0.11907207251516357,0.2782681516596714,0.12716602464572369,0.30472171525493574,0.09389075,0.2458029
