trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.04675598159735481,0.08522438161373379,0.0355301447827968,0.03571739062781539,0.0411430631900758,0.04622608353544661,0.011279776,0.02770163,0.03623052635971835,0.06220891133533405,0.01855097617674516,0.01671290683757564,0.027390751268231758,0.03389395897309322,0.02217366,0.12744083
100,0.031852685603899804,0.06630654683129418,0.02170817491987463,0.0197992981669686,0.02678043026188722,0.03563260990789585,0.011438657,0.03298786,0.027961192147836763,0.0441170178355242,0.018017331212340428,0.018224789328120366,0.022989261680088593,0.02463935981458824,0.01757498,0.056243356
150,0.03936529810707917,0.06769113521119606,0.026658853615593604,0.022101772148518165,0.033012075861336386,0.03648376139925425,0.017808247,0.052971892,0.05661769260621971,0.11320544891582582,0.026033676649979253,0.053388262380137816,0.04132568462809948,0.06321837320760416,0.03923105,0.14981979
200,0.05168936754484939,0.08685701014497106,0.030900894546299136,0.029706242868018828,0.04129513104557427,0.050654357127754956,0.031571068,0.1548381,0.06597558780147407,0.17292641673977563,0.026840720413184825,0.024993248642543573,0.04640815410732945,0.08950826715261077,0.029209023,0.08751168
250,0.08972664252236368,0.22108341533866127,0.03698476150835445,0.03746322760897131,0.06335570201535906,0.11472566849504148,0.019087313,0.047449432,0.06752956605729157,0.12700113989693337,0.031100823253193983,0.02397030012379463,0.04931519465524278,0.06629577914910297,0.018213594,0.032706898
300,0.09394521872534431,0.16422578536824703,0.03798237652689512,0.031970527773039284,0.06596379762611972,0.08725894891732659,0.032452438,0.1969237,0.061525228790305045,0.09814741322415323,0.030275579556280657,0.02555612402981914,0.04590040417329286,0.05375370195964146,0.028373856,0.06351516
350,0.07480254191141789,0.12452023790596568,0.04173261390650515,0.053478453781091354,0.05826757790896151,0.07920458248174328,0.015347126,0.037945367,0.08551797801671325,0.16602042383010135,0.038755575191672546,0.03953465926753761,0.062136776604192895,0.09020556700380519,0.03051149,0.07226467
400,0.07216572105660189,0.08491217761357567,0.04213123031452243,0.04186130339297518,0.05714847568556216,0.05462669351609594,0.027377486,0.09042506,0.08784042038104435,0.10314334579103006,0.04656010959798823,0.0541537546579186,0.06720026498951627,0.06453736771033443,0.047787186,0.24485908
450,0.08749073713157582,0.09454278947510351,0.053983963134755515,0.050407837959664886,0.07073735013316568,0.060704964479933975,0.02261365,0.045897424,0.07556387704641093,0.07440642061412459,0.053057950456114396,0.13205456276871796,0.06431091375126266,0.08302859006029516,0.024771953,0.042931188
500,0.10157240079500646,0.15741867224516098,0.06023152446658476,0.06824323692063361,0.08090196263079562,0.09472255247195664,0.026090441,0.083253175,0.10607292046941356,0.14024902294010658,0.05519465674954893,0.04207528066963582,0.08063378860948126,0.08077527913519993,0.032442834,0.07570253
550,0.11831106477782038,0.21485808554063696,0.06587253301103989,0.06417666042567413,0.09209179889443013,0.11851455727314908,0.020158838,0.044329815,0.11692292929039538,0.14108329979937106,0.07249705722459727,0.06804925031640856,0.09470999325749635,0.0907319891268882,0.03134369,0.06779469
600,0.1343712083828683,0.30383634821032784,0.07822421833053911,0.11178263397385875,0.10629771335670371,0.1710528184920798,0.02733614,0.041401826,0.13435248261074567,0.19576990732292773,0.07632899795612227,0.08585151710923399,0.10534074028343397,0.12017499058678803,0.02920381,0.045727283
650,0.13961930419259294,0.19692536452014078,0.10076858044444427,0.16412005289837878,0.1201939423185186,0.15220618558372814,0.024760466,0.03837025,0.14161825250748078,0.23003529723100974,0.09362117097497416,0.1231880884590344,0.11761971174122747,0.1487018865684252,0.03286622,0.06074319
700,0.1294467560875999,0.1554583512996971,0.09336209265558897,0.09344329073751517,0.11140442437159442,0.11329178186994074,0.02311511,0.046448026,0.11168185043722145,0.1344214845409642,0.08145446340281705,0.09700239642039457,0.09656815692001924,0.10255898854609267,0.028191615,0.042800095
750,0.13551886885692185,0.15126942030578283,0.10488478144018952,0.11976987278070642,0.12020182514855568,0.11708675545221892,0.033144355,0.056893833,0.13239859622854133,0.14870010454355082,0.10231109807220133,0.1372480602289078,0.11735484715037131,0.11739495809819542,0.029639477,0.035373718
800,0.1307214045240538,0.1549458937801401,0.12503170943689226,0.1901229625256003,0.12787655698047307,0.14700884681378446,0.033062827,0.063502856,0.1410799912560157,0.14380659573370638,0.1267092576183557,0.21936802418743354,0.1338946244371857,0.15504729615447665,0.037698187,0.057746045
850,0.16551291975197951,0.18199593673099504,0.12788120522942376,0.17944760810664928,0.14669706249070164,0.15556618458802093,0.038899675,0.06256408,0.15889997354189056,0.16659078249238443,0.12517848353863087,0.16738426694931668,0.14203922854026071,0.13853428214629193,0.03452546,0.056450885
900,0.17017286214791377,0.18254542668705345,0.15496367463810148,0.19307744050375047,0.16256826839300764,0.15797459301831618,0.039246768,0.06313887,0.17293519421939813,0.27778946855077247,0.13096446405042692,0.1522795547081376,0.15194982913491253,0.19102397993900647,0.047704745,0.07436228
950,0.16244931575887944,0.18642755447273507,0.13551556371458875,0.152045831638076,0.14898243973673408,0.14593621205792878,0.04135815,0.06488779,0.16476500845687567,0.1486075459065539,0.14449093291550558,0.13966520368315002,0.1546279706861906,0.12875092264569132,0.04302022,0.06837537
1000,0.19584534582531643,0.20486363270021055,0.14940680877501988,0.129545610522301,0.1726260773001681,0.15417906638597345,0.053710327,0.13162075,0.1975873654650463,0.2771020958634945,0.15007509488270454,0.1457949665179327,0.17383123017387545,0.1856254715672701,0.052954063,0.06379852
1050,0.2535733264734058,0.49552400381599054,0.19368280403649635,0.2121140988251564,0.2236280652549511,0.31379291856492897,0.05709723,0.11126514,0.23292549867463713,0.3835554194040017,0.1777340964213756,0.19955974176401908,0.20532979754800634,0.2666004480575153,0.05853467,0.13204275
1100,0.2310240734001229,0.24487861491052967,0.1829877930640094,0.1685869081368608,0.20700593323206615,0.18811579433054584,0.05890119,0.08060412,0.22735642357148134,0.28398428977983103,0.17894570771849697,0.17853273874462294,0.20315106564498916,0.1969822977989712,0.05908087,0.07238011
1150,0.302404098806488,0.3732239968096302,0.23401414600955686,0.2158572612502892,0.2682091224080224,0.25927000559651653,0.07406827,0.114916,0.2909279217860943,0.3130934211364572,0.2486651591993926,0.3523442159554447,0.26979654049274343,0.2708572396828635,0.07945623,0.09994002
1200,0.3035024585136938,0.2935085626955236,0.2855495475395142,0.247246134385686,0.294526003026604,0.24803451365183274,0.1169986,0.16293868,0.3100807001040483,0.3114996018811328,0.2685498512070632,0.22614830218604534,0.28931527565555576,0.23984893788416606,0.118771784,0.17006977
1250,0.47490922132592156,0.35705611380631785,0.4025520902282855,0.3402453179316065,0.4387306557771035,0.31561038295829646,0.12033699,0.13963345,0.4379510842620131,0.37080554648982367,0.3514159086030342,0.30152011379773147,0.39468349643252365,0.30560951581827894,0.1307602,0.15540145
1300,0.5628954563538242,0.42621458028708087,0.45745739582357714,0.34861657044490757,0.5101764260887007,0.34364547768975157,0.1072573,0.09454495,0.5482886133864555,0.3656383425349944,0.42430686148493224,0.2418637931024397,0.4862977374356938,0.2758357644685102,0.11233814,0.10522787
1350,0.5826754584311237,0.31831639492292346,0.4907873625484717,0.30955254780320185,0.5367314104897978,0.2863980306441414,0.12313004,0.096327186,0.6224990762881972,0.4808436369879638,0.44154626901268307,0.22236878161683996,0.5320226726504401,0.305562397370901,0.12992217,0.12541237
1400,0.616725123563099,0.31726718945489285,0.4743755002826024,0.24062149051582735,0.5455503119228508,0.23464734462602832,0.157171,0.17159478,0.6153322437456322,0.33005998099798195,0.48075210465267626,0.2803322174020572,0.5480421741991541,0.2639979932674576,0.16734463,0.26437813
1450,0.6633185119442453,0.26066492439866734,0.5119964212003582,0.25035813506842486,0.5876574665723017,0.2233280118478094,0.16388349,0.15004627,0.6454108657011867,0.26655424102265135,0.5008365936774285,0.21622984134237525,0.5731237296893075,0.2112369989560426,0.16336924,0.21382806
1500,0.7020723580323569,0.2862263680275073,0.5229466825524169,0.20976950563750388,0.6125095202923869,0.2078782239503473,0.22842017,0.22960663,0.7096202990013721,0.3355069719122889,0.5207925795782183,0.2308994055430982,0.6152064392897952,0.2498278006316943,0.24677067,0.32234046
