trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
50,0.0002379463685539736,0.0011672669335549433,0.00042441150841948904,0.0020368251719661305,0.0006623578769734627,0.0030183897364217806,0.008968896,0.11053656,0.000217319890242046,0.001089704073757563,0.0003180064640572392,0.0023768797351312303,0.0005353263542992853,0.0033008712277889977,0.012551795,0.13643196
100,0.00010195498064874914,0.00036741653581122565,0.00019225190891435995,0.0005599134093871155,0.00029420688956310914,0.0008660159461120213,0.0029346824,0.0048958664,9.900020551206851e-05,0.00033385476313302516,0.0001494448760891666,0.0004835696357441968,0.0002484450816012351,0.0007677658353948083,0.006878739,0.008487444
150,0.00026192375214674013,0.0007964391802234869,0.00037428826265147806,0.0008201115862663139,0.0006362120147982182,0.0015019691013102784,0.0055000405,0.008283397,0.00023886688961339387,0.0007233767041027841,0.0003066620297822837,0.0007571526102850345,0.0005455289193956776,0.0013768472678569337,0.008392809,0.00985363
200,0.00043829105135137855,0.0032695973373615198,0.000818478014225585,0.005736574689882145,0.0012567690655769636,0.008938320178072928,0.006874727,0.009956362,0.00040767242239117123,0.002852361884550523,0.0007298575017346887,0.004776756465323654,0.00113752992412586,0.007556284851760123,0.010892669,0.014587897
250,0.0008333385263977831,0.009296332455696252,0.0016019493560645213,0.01292683010818844,0.0024352878824623037,0.022149863205680593,0.009243896,0.014827415,0.0007742785189898886,0.008339818929286825,0.001423622059860778,0.011705164360947286,0.0021979005788506666,0.01996325219303191,0.012375202,0.015763443
300,0.000798728964638438,0.006123069120421999,0.001704735629195271,0.006933241936519578,0.0025034645938337087,0.012695608069591004,0.009286165,0.014851392,0.000747771250684881,0.005582586782626575,0.00165464177277022,0.006766887680439815,0.002402413023455101,0.011869737513833863,0.013135515,0.016314473
350,0.0011348231907273023,0.005781723647876934,0.002898085508313158,0.011225566327886655,0.00403290869904046,0.01641698953806369,0.010082001,0.018095437,0.0011041557783301168,0.005649784241333554,0.0028118796051709192,0.011312369559198452,0.0039160353835010365,0.016494135591768364,0.0143545745,0.019915164
400,0.0013078519341558246,0.006248229900171683,0.004865030886663035,0.025766878306114734,0.006172882820818859,0.0316134963806402,0.011593341,0.017384375,0.0012200982586865522,0.004978471574753698,0.004447837466618553,0.019954423772704462,0.005667935725305105,0.024428784811124673,0.014823535,0.019149596
450,0.0014962044929428104,0.005626495486326942,0.006430524567848993,0.022853988565602557,0.007926729060791803,0.027740020032191046,0.013054236,0.018842068,0.0013803848794756725,0.005510427415289407,0.006162089948994085,0.024932179615416685,0.007542474828469757,0.029949763259113672,0.017381836,0.02242929
500,0.0019698433869133353,0.005309899531871143,0.009240131715150594,0.020013853487870104,0.011209975102063929,0.02372629401783063,0.015002838,0.020631354,0.001914718680228354,0.005275990643706743,0.008997020444210033,0.01903033916496633,0.010911739124438387,0.02278054850213277,0.01801174,0.02358289
550,0.002655267871934703,0.008598881967237272,0.014815676087987102,0.028777412193305294,0.017470943959921804,0.03474003902846932,0.017831828,0.0286296,0.0025316660510769804,0.00849292997733001,0.014264229856165744,0.028912502654498223,0.016795895907242724,0.03466267173627883,0.021294756,0.031880207
600,0.0031268937981061063,0.009716654949630093,0.02069698074172324,0.048224046719682924,0.023823874539829343,0.05580671587563109,0.022523567,0.059230886,0.0029865683821161675,0.009201841900206894,0.019687049032006358,0.043583481913953614,0.022673617414122525,0.05075556902960784,0.026185181,0.047321193
650,0.00299707635378534,0.010331247282388425,0.02313881308310423,0.05018375895251109,0.02613588943688957,0.058635589370575045,0.023647275,0.035151783,0.0030027258629206637,0.011178067920529965,0.022586100989219482,0.05028962139050294,0.025588826852140145,0.05942020597892411,0.02792374,0.038858194
700,0.004655381937179608,0.01847262457964147,0.03477433772713096,0.0820902232601883,0.03942971966431057,0.09457197030449317,0.03346595,0.06818575,0.004497277338916805,0.01891691421795076,0.0342190706978043,0.08324282037604651,0.0387163480367211,0.09510291119256963,0.0371734,0.075806625
750,0.005266615415464953,0.01956521023701065,0.052073289265591086,0.13825932122036827,0.057339904681056035,0.1541155998362934,0.042550605,0.07367858,0.004980158479599155,0.01888858279381002,0.049606976656602186,0.13640968611974502,0.054587135136201344,0.15183385672003266,0.046201456,0.07376821
800,0.005426994990490623,0.02090520295026145,0.05975702182739081,0.10662495399146585,0.06518401681788143,0.12102732105299993,0.05334026,0.09205486,0.005022037925183565,0.015873521156097872,0.05882372864944009,0.1083024416093557,0.06384576657462365,0.1199587805612236,0.0575458,0.091612995
850,0.006434098752968246,0.024702531903276072,0.07388401530798357,0.17254306581610557,0.08031811406095178,0.18558721441293421,0.076308735,0.15829517,0.006268926783030516,0.02685959950957909,0.07179505076320604,0.19047482355116716,0.07806397754623655,0.20371977309924635,0.08141046,0.16830234
900,0.010292331017163266,0.04538151668745418,0.12713641128605485,0.5734558189811338,0.13742874230321808,0.6095860390726945,0.13890904,0.79465026,0.010241367223724838,0.04402668735333712,0.12362455706884737,0.4844650321862496,0.13386592429257219,0.5173586170351518,0.15111579,0.99260926
950,0.009385425491047362,0.0337005022266474,0.12708521006730966,0.24228852013262048,0.13647063555835706,0.263057313363588,0.17341967,0.5373128,0.008849861369523504,0.031082847260061837,0.12405401918509626,0.23576985848827786,0.13290388055461977,0.2564197014307037,0.17887543,0.55523765
1000,0.013910870412775594,0.043564283849539184,0.17406176251536362,0.295721762911786,0.1879726329281392,0.32180702768486213,0.23757374,0.5860846,0.013062994183661567,0.040651731740313085,0.16892823710573435,0.3004486689268179,0.18199123128939593,0.3248113190824103,0.2322628,0.5358406
1050,0.013785955261514986,0.04247074222066239,0.2119484067325796,0.3956855615537761,0.22573436199409458,0.42161230571062847,0.36087427,2.1071649,0.013047423981122337,0.04082655194022464,0.20432754652291338,0.3712133498595068,0.21737497050403573,0.3943666536537467,0.36915267,2.3878076
1100,0.02031813613407365,0.07986026233053586,0.3015159370376229,0.4791699281618499,0.32183407317169654,0.5362099902777793,0.42959765,1.3292985,0.019616805181714766,0.07906243504212906,0.29523310944111564,0.47641009171599574,0.3148499146228305,0.5323097099034757,0.43800145,1.7315503
1150,0.023740440915855553,0.06177037593998645,0.4451252949810702,0.6764373141068745,0.4688657358969257,0.7178835494770724,0.5389364,1.5132352,0.021338157682717813,0.057762301659079106,0.4125857576277756,0.6534575431100397,0.43392391531049346,0.693883430814028,0.54469615,1.5550582
1200,0.02880271431092109,0.08480364949442698,0.6250845204345173,0.7658681607394301,0.6538872347454385,0.8261234811790512,0.87869036,2.5309255,0.02565765053306793,0.08325769098285148,0.5651310505102167,0.7149287758221172,0.5907887010432846,0.7743458271861824,0.86625755,2.4604514
1250,0.025440701538889162,0.03181541104609613,0.9600008155284541,0.8656478120382081,0.9854415170673432,0.8934161792910027,1.847959,5.011242,0.023879348256510308,0.03211949830111118,0.8949457537272281,0.8360985920990819,0.9188251019837385,0.8633616331335056,1.7507561,4.5793185
1300,0.032534702983914,0.028547114146528302,1.3234477743476556,0.8802934550393181,1.3559824773315694,0.9057833977416397,8.083689,15.140151,0.03247405603886997,0.02955093431152576,1.3432464236175665,0.9166834262813588,1.3757204796564364,0.9433308081908948,7.30524,13.896702
1350,0.04588746689233877,0.03945699830467564,1.654984272923981,1.049012774555993,1.7008717398163198,1.0820678793544598,15.914428,26.990986,0.044643222374370364,0.037476770535143075,1.679793104499886,1.043705566616132,1.724436326874256,1.0753709364993678,14.288852,24.705868
1400,0.060101537972192344,0.047019405575155215,1.9416637189195225,1.1489249715399064,2.0017652568917153,1.1860595013134063,26.326748,39.459488,0.05710476175117958,0.04282268986602031,1.9704091389368028,1.106487372314935,2.0275139006879823,1.1399140947792454,23.495249,35.937847
1450,0.07789516736777193,0.06355550825097625,2.2668889251584643,1.309815735727801,2.344784092526236,1.3595609700354971,36.47207,48.86732,0.07154278183120354,0.05498243638220344,2.2517686755044046,1.1651395210780564,2.3233114573356084,1.2045761204421137,32.672894,45.261276
1500,0.1339434207746185,0.0934490539573415,2.6240818689454697,1.5401141872244373,2.758025289720088,1.607783822654469,76.07717,79.46574,0.11974887849473995,0.08401291287931319,2.402458967636874,1.1872215755902946,2.5222078461316135,1.237734400801778,69.186874,74.73691
