trajectory_length,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
50,0.033016948432797504,0.06742723341012755,0.034741116021566966,0.03636677922711731,0.03387903222718223,0.039440210738586744,0.009685614,0.030151105,0.05771900784213955,0.19231978009655823,0.02484313067395348,0.04816251311070188,0.04128106925804651,0.1019009989117468,0.012974412,0.028248008
100,0.03250375644029559,0.0758584268807357,0.023893248413796347,0.024335176669793183,0.028198502427045972,0.04268147097348643,0.012282981,0.031725854,0.024549981912208294,0.05422724671124796,0.017533892502063393,0.016690470487514996,0.021041937207135843,0.029049962183778484,0.023266664,0.072729014
150,0.04184140041893798,0.07834210072127576,0.02527982502615801,0.030044929721304226,0.033560612722548,0.04289922977208622,0.0322802,0.14268765,0.04797729270400335,0.0748959574903088,0.02078102932399547,0.015363017080812993,0.03437916101399941,0.03969589179896762,0.027325936,0.09570138
200,0.04718609275069822,0.07483338726118352,0.0266406650768036,0.02020629523530724,0.03691337891375091,0.041033727137937896,0.015733989,0.035105612,0.04332030172842053,0.061663091861085394,0.026864252006479163,0.02176393527599944,0.03509227686744985,0.03523898332818451,0.018775262,0.038079403
250,0.061532922425273424,0.08757953771238143,0.03455045553103566,0.031088954511504226,0.04804168897815455,0.049390841365238046,0.01865051,0.04323295,0.06806440680420282,0.0972161045949305,0.0328741631368934,0.023928555097598163,0.05046928497054811,0.05235354099097728,0.027965188,0.07493454
300,0.08901425907518007,0.2662980458948205,0.04751684574454663,0.12085840888816861,0.06826555240986336,0.14865872333232732,0.01894369,0.052005146,0.07100241382344102,0.09775414544275353,0.04409734268763651,0.11631781262129395,0.057549878255538756,0.0808527720239418,0.021923985,0.04381536
350,0.08801895863515483,0.14040385161542338,0.04064830615269839,0.04421608006085511,0.06433363239392662,0.08297729572980854,0.017601304,0.033393484,0.09411052040195127,0.14286669297822768,0.0423424325604502,0.047460939412261996,0.06822647648120073,0.07968841321122044,0.033628467,0.12926006
400,0.09480394909264338,0.16284601642222343,0.05140944236263199,0.05207977386771866,0.07310669572763767,0.09573306723255581,0.016561514,0.025933562,0.08537513713538676,0.10826256926039304,0.05189690289153393,0.05775835067753764,0.06863602001346035,0.07481538956593636,0.025516296,0.05906282
450,0.10870062337832444,0.17159931924956742,0.051436116958225205,0.0469716187093356,0.08006837016827481,0.09936376461088849,0.028762827,0.08702864,0.0950711835856395,0.12251399753712176,0.05061236136094312,0.04633860215072432,0.07284177247329132,0.0758323139710616,0.024536436,0.044530865
500,0.1047337805645034,0.17810677460769125,0.058127868640412,0.05768481550453894,0.08143082460245771,0.10175473615102677,0.02140193,0.037976023,0.11677151253184646,0.17818958506125832,0.05644757793575627,0.0671135087144906,0.08660954523380138,0.10401771779204738,0.038864776,0.08631378
550,0.11710987529035004,0.14961008186208818,0.06891896926319747,0.061529488540913696,0.09301442227677374,0.08802105341097204,0.01837755,0.032776125,0.13870154230528167,0.296672101861774,0.076721943098574,0.08737775583126792,0.10771174270192783,0.16430999276024094,0.034812793,0.096155845
