sample_id,timestep,q0,q1,p0,p1,tau0,tau1
0,0,0.4024129,0.89240086,7.0454006,1.7157917,0.27220038,0.43693602
0,1,0.4034164,0.8923415,7.045923,1.7136946,0.27231035,0.43657416
0,2,0.4042276,0.8918723,7.0350056,1.7162843,0.27242184,0.4362132
0,3,0.40284145,0.8918849,7.054432,1.7133303,0.27253482,0.4358531
0,4,0.4032911,0.89183843,7.0502167,1.7140532,0.2726493,0.4354939
0,5,0.40356052,0.8918458,7.0482864,1.7148786,0.27276528,0.43513554
0,6,0.40387702,0.89196455,7.051733,1.7164612,0.27288273,0.43477806
0,7,0.403255,0.8913075,7.039263,1.715096,0.2730017,0.4344215
0,8,0.40465212,0.89194286,7.0544167,1.715682,0.27312213,0.43406582
0,9,0.40364492,0.8920747,7.050934,1.7153506,0.27324402,0.43371102
0,10,0.40477085,0.8914002,7.0479565,1.713615,0.2733674,0.43335715
0,11,0.4039725,0.8919102,7.0548115,1.7143369,0.27349225,0.43300417
0,12,0.40435815,0.8917426,7.0396805,1.7156458,0.27361855,0.4326521
0,13,0.4043659,0.8912617,7.0456295,1.7139063,0.27374628,0.43230093
0,14,0.40503263,0.890972,7.0472507,1.7176924,0.2738755,0.43195066
0,15,0.40449667,0.89155185,7.060688,1.7160506,0.27400613,0.43160135
0,16,0.40466368,0.8904203,7.048416,1.7110615,0.2741382,0.43125293
0,17,0.40540683,0.8912331,7.0556755,1.7136025,0.27427173,0.43090546
0,18,0.405748,0.89130294,7.04364,1.7108374,0.27440667,0.4305589
0,19,0.40571725,0.89043653,7.061699,1.7145324,0.27454305,0.43021327
0,20,0.40623403,0.8897859,7.0483456,1.7107759,0.27468082,0.4298686
0,21,0.40570796,0.8910564,7.052925,1.711278,0.27482003,0.42952487
0,22,0.40554297,0.8903836,7.0580025,1.7139978,0.27496064,0.42918208
0,23,0.4064976,0.8900081,7.0424976,1.7179217,0.27510262,0.42884025
0,24,0.4066769,0.89083636,7.0386124,1.7141585,0.27524602,0.42849937
0,25,0.40641356,0.8900367,7.04714,1.7131782,0.2753908,0.42815942
0,26,0.4075266,0.8894876,7.0533905,1.7126508,0.27553698,0.42782047
0,27,0.4072975,0.8900696,7.0411396,1.715786,0.27568454,0.42748246
0,28,0.40640008,0.8896774,7.04599,1.7151275,0.27583346,0.42714542
0,29,0.4079367,0.88958466,7.052597,1.7151179,0.27598375,0.42680934
