guidance_method,guidance_steps,guidance_lr,guidance_after_steps,chunk_length,lambda_init,mse_qpos_baseline,mse_qpos_guided,mse_mom_baseline,mse_mom_guided,mse_total_baseline,mse_total_guided,improvement_abs,improvement_pct
adam,10,0.001,35,,0.5,0.05041742347894885,0.030852030516889384,0.7885585179162257,0.5187153980455748,0.8389759413951745,0.5495674285624641,0.2894085128327104,34.495448385735436
adam,10,0.001,35,,1.0,0.05041742347894885,0.030852003919618,0.7885585179162257,0.5187082535318638,0.8389759413951745,0.5495602574514817,0.28941568394369277,34.496303131459186
adam,10,0.001,40,,0.5,0.05041742347894885,0.03098280675506231,0.7885585179162257,0.5172521902469875,0.8389759413951745,0.5482349970020498,0.2907409443931247,34.654264806406395
adam,10,0.001,40,,1.0,0.05041742347894885,0.030982881310438203,0.7885585179162257,0.5172541049291391,0.8389759413951745,0.5482369862395774,0.2907389551555971,34.65402770335857
adam,10,0.005,35,,0.5,0.05041742347894885,0.01529026211916083,0.7885585179162257,0.2587357422093394,0.8389759413951745,0.27402600432850027,0.5649499370666742,67.33803786163296
adam,10,0.005,35,,1.0,0.05041742347894885,0.015292157332169041,0.7885585179162257,0.25895745008017973,0.8389759413951745,0.2742496074123488,0.5647263339828257,67.31138595508644
adam,10,0.005,40,,0.5,0.05041742347894885,0.015351448338533018,0.7885585179162257,0.2609210160220522,0.8389759413951745,0.2762724643605852,0.5627034770345893,67.07027571003312
adam,10,0.005,40,,1.0,0.05041742347894885,0.015382315681562153,0.7885585179162257,0.26162190756758047,0.8389759413951745,0.27700422324914264,0.5619717181460319,66.98305522462317
adam,20,0.001,35,,0.5,0.05041742347894885,0.024692195741715363,0.7885585179162257,0.4276372985405763,0.8389759413951745,0.4523294942822917,0.3866464471128828,46.085522603891285
adam,20,0.001,35,,1.0,0.05041742347894885,0.024692971195206293,0.7885585179162257,0.4276460443470207,0.8389759413951745,0.452339015542227,0.3866369258529475,46.08438773702972
adam,20,0.001,40,,0.5,0.05041742347894885,0.02416152820770585,0.7885585179162257,0.41940418028927334,0.8389759413951745,0.4435657084969792,0.3954102328981953,47.1301039026993
adam,20,0.001,40,,1.0,0.05041742347894885,0.024163376273295022,0.7885585179162257,0.4194201394554161,0.8389759413951745,0.44358351572871113,0.3953924256664634,47.12798140658787
adam,20,0.005,35,,0.5,0.05041742347894885,0.012494396937784404,0.7885585179162257,0.21218296446875495,0.8389759413951745,0.22467736140653935,0.6142985799886351,73.22004716453343
adam,20,0.005,35,,1.0,0.05041742347894885,0.012494566875372233,0.7885585179162257,0.21219444222257175,0.8389759413951745,0.22468900909794398,0.6142869322972305,73.21865884207627
adam,20,0.005,40,,0.5,0.05041742347894885,0.01178601470367048,0.7885585179162257,0.19991205656985678,0.8389759413951745,0.21169807127352724,0.6272778701216473,74.76708677468342
adam,20,0.005,40,,1.0,0.05041742347894885,0.011783235817275153,0.7885585179162257,0.19982532109180545,0.8389759413951745,0.2116085569090806,0.6273673844860939,74.77775625398908
adam_integration,10,0.001,35,20.0,0.5,0.05041742347894885,0.05059445889226678,0.7885585179162257,0.7868202134508587,0.8389759413951745,0.8374146723431255,0.001561269052049008,0.1860922316142578
adam_integration,10,0.001,35,40.0,0.5,0.05041742347894885,0.05087148945433438,0.7885585179162257,0.7931933822702117,0.8389759413951745,0.8440648717245461,-0.005088930329371633,-0.606564512554317
adam_integration,10,0.001,35,20.0,1.0,0.05041742347894885,0.0505876118376665,0.7885585179162257,0.7867858986071462,0.8389759413951745,0.8373735104448127,0.0016024309503618328,0.19099843884641926
adam_integration,10,0.001,35,40.0,1.0,0.05041742347894885,0.050847185620921026,0.7885585179162257,0.7930495843919063,0.8389759413951745,0.8438967700128274,-0.0049208286176528615,-0.5865279771276602
adam_integration,10,0.001,40,20.0,0.5,0.05041742347894885,0.05040568804012684,0.7885585179162257,0.788739524447225,0.8389759413951745,0.8391452124873517,-0.00016927109217723668,-0.02017591730887389
adam_integration,10,0.001,40,40.0,0.5,0.05041742347894885,0.05080745834622387,0.7885585179162257,0.7941279685764254,0.8389759413951745,0.8449354269226493,-0.005959485527474828,-0.7103285366639365
adam_integration,10,0.001,40,20.0,1.0,0.05041742347894885,0.05040478511891166,0.7885585179162257,0.7887362329487095,0.8389759413951745,0.8391410180676212,-0.00016507667244669566,-0.019675972134812533
adam_integration,10,0.001,40,40.0,1.0,0.05041742347894885,0.05080733381051721,0.7885585179162257,0.794053246702419,0.8389759413951745,0.8448605805129361,-0.005884639117761603,-0.7014073738486167
adam_integration,10,0.005,35,20.0,0.5,0.05041742347894885,0.051706086394712886,0.7885585179162257,0.7821217800125365,0.8389759413951745,0.8338278664072494,0.005148074987925133,0.6136141376550256
adam_integration,10,0.005,35,40.0,0.5,0.05041742347894885,0.05359440047945091,0.7885585179162257,0.823015826885565,0.8389759413951745,0.8766102273650158,-0.03763428596984131,-4.4857407838486285
adam_integration,10,0.005,35,20.0,1.0,0.05041742347894885,0.051471659545108454,0.7885585179162257,0.7807041015592878,0.8389759413951745,0.8321757611043963,0.006800180290778224,0.8105334080819848
adam_integration,10,0.005,35,40.0,1.0,0.05041742347894885,0.05139655673198094,0.7885585179162257,0.8191362390385192,0.8389759413951745,0.8705327957705001,-0.03155685437532563,-3.7613539099641136
adam_integration,10,0.005,40,20.0,0.5,0.05041742347894885,0.05105762409176923,0.7885585179162257,0.7998068312577006,0.8389759413951745,0.8508644553494698,-0.011888513954295243,-1.417026802285325
adam_integration,10,0.005,40,40.0,0.5,0.05041742347894885,0.054075928202832774,0.7885585179162257,0.8361857035734407,0.8389759413951745,0.8902616317762735,-0.05128569038109898,-6.1128916635932935
adam_integration,10,0.005,40,20.0,1.0,0.05041742347894885,0.050845845276758755,0.7885585179162257,0.7962840803120109,0.8389759413951745,0.8471299255887696,-0.008153984193595143,-0.971897260848205
adam_integration,10,0.005,40,40.0,1.0,0.05041742347894885,0.05365431756084031,0.7885585179162257,0.8288632223967407,0.8389759413951745,0.882517539957581,-0.04354159856240647,-5.189850675574677
adam_integration,20,0.001,35,20.0,0.5,0.05041742347894885,0.05135729386605682,0.7885585179162257,0.8007274932616201,0.8389759413951745,0.8520847871276769,-0.013108845732502372,-1.562481721550087
adam_integration,20,0.001,35,40.0,0.5,0.05041742347894885,0.05255922358461761,0.7885585179162257,0.7994167501340729,0.8389759413951745,0.8519759737186905,-0.013000032323515986,-1.5495119325945854
adam_integration,20,0.001,35,20.0,1.0,0.05041742347894885,0.051293866160070374,0.7885585179162257,0.7999137219210374,0.8389759413951745,0.8512075880811077,-0.01223164668593324,-1.4579257976805187
