trajectory_length,baseline_mse_qpos,baseline_mse_mom,baseline_mse_total,guided_mse_qpos,guided_mse_mom,guided_mse_total,mse_improvement_pct,training_energy_mean,training_energy_std,baseline_energy_mean,baseline_energy_std,guided_energy_mean,guided_energy_std
100,0.000546121986850895,0.0018695763731216121,0.002415698359972507,0.0001793870009213323,0.00030617836746217776,0.0004855653683835101,79.89958612262184,1.9074936562776565,15.381012955787586,1.6423181295394897,14.727926254272461,1.6450508832931519,14.728023529052734
200,0.001211786765354344,0.0031216572320491675,0.0043334439974035115,0.00029792789624674215,0.0006470125937345349,0.0009449404899812771,78.19423787298369,4.1687063321843745,15.984979375522267,2.2468419075012207,15.19305419921875,2.248021125793457,15.192581176757812
300,0.0027002410470601053,0.007391400085920589,0.010091641132980694,0.0005432218769593686,0.0015367253303234748,0.002079947207282843,79.3894057480371,2.831238444522023,14.81896545989089,2.4425716400146484,15.179407119750977,2.442840337753296,15.17850112915039
400,0.00523070717649267,0.016894842629421952,0.02212554980591462,0.0014544169730248279,0.004837604301053582,0.006292021274078409,71.5621924459639,1.5231911429949105,15.282563980960019,3.0611000061035156,15.01578426361084,3.063114643096924,15.014283180236816
500,0.004770972602303749,0.022811495552150098,0.027582468154453844,0.0013425686015077335,0.006917145108654788,0.008259713710162521,70.0544793021766,1.772611318230629,16.640416723317944,2.5400309562683105,14.621695518493652,2.5417587757110596,14.619439125061035
600,0.00929476509397737,0.05266062857665692,0.06195539367063429,0.002082288041268177,0.013764938693867699,0.015847226735135875,74.42155428890904,3.019004010260105,14.592394301924971,3.088480234146118,14.213113784790039,3.0914268493652344,14.210525512695312
700,0.016175776162218995,0.11429492090284188,0.13047069706506087,0.0033546087175312543,0.026797532888812533,0.030152141606343788,76.88972138218281,3.4602784245461224,14.721524110899896,4.011729717254639,14.404864311218262,4.015946388244629,14.40372371673584
800,0.021616871366458505,0.17873055879815242,0.20034743016461093,0.004749569363937948,0.05223276484483085,0.0569823342087688,71.5582405215028,3.07785917699337,15.405342195622096,3.161588430404663,13.693219184875488,3.166149854660034,13.692769050598145
900,0.031239496245851803,0.3329840380783578,0.3642235343242096,0.007373197219084258,0.11022293669813514,0.1175961339172194,67.71319729917768,1.7543398821353913,14.899631253983815,4.434121131896973,14.194485664367676,4.43800687789917,14.193255424499512
1000,0.04003762453088565,0.49696304494856086,0.5370006694794465,0.010478759265716104,0.19044476321011047,0.20092352247582657,62.58412067333244,4.214323109537363,16.422599836066407,5.162364959716797,14.084826469421387,5.166266918182373,14.083070755004883
